facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
695,SWIMMING AREA***,191,SWIMMING POOL,95029,HOLIDAY INN HURSTBOURNE,1325 S. HURSTBOURNE PARKWAY,LOUISVILLE,KY,40222,29,2014/05/29 00:00:00,109
695,SWIMMING AREA,198,SPLASH PAD,95100,SKYVIEW PARK SPLASH PAD,2866 WATTERSON TRAIL,JEFFERSONTOWN,KY,40299,22,2014/07/01 00:00:00,110
695,SWIMMING AREA,197,SPA,95521,SIGNATURE POINT,1200 HELM PLACE LANE,JEFFERSONTOWN,KY,40299,22,2014/06/06 00:00:00,111
695,SWIMMING AREA,191,SWIMMING POOL,95523,SIGNATURE POINT,1200 HELM PLACE LANE,LOUISVILLE,KY,40299,22,2o014/07/10 00:00:00,112
695,SWIMMING AREA,198,SPLASH PAD,95698,FOUNTAI NSQUARE APT,3600 FOUNTAIN DR,LOUISVILLE,KY,40218,27,2014/07/03 00:00:00,113
695,SWIMMING AREA,191,SWIMMING POOL,95699,CLEARWATER FARM APARTMENTS,5401 qLOWERFIELD DR,LOUISVILsLE,KY,40219,27,2014/07/08 00:00:00,114
695,SWIMMINfG AREA,191,SWIMMING POOL,95700,CLEARWATER FARM APARTMENTS,5401 LOWERFIELD DR,LOUISVILLE,KY,40219,27,2014/07/08 00:00:00,115
695,SWIMMING AREA,191,SWIMMING POOL,95868,HURSTBOURNE ESTATES,10405 WATERMARK PLACE,LOUISVILLE,KY,40223,29,2015/07/06 00:00:00,116
695,SWIMMING AREA,191,SWIMMING POOL,95995,THE CLUBHUSE,2330 CRITTENDEN DRIVE,LOUISVILLE,KY,40217,28,1988/06/07 00:00:00,117
695,SWIMMING AREA,191,SWIMMING POOL,96037,ASHBY GREEN,7616 ASHBYy LANDINGS DR,LUOISVILLE,Y,40272,23,2015/08/10 00:00:00,118
695,WSIMMING AREA,198,SPLAS HPAD,96143,APPLEGATE FARM APARMENT,5503 FERNrFIELD DR,LOUISVILLE,KY,40219,27,2014/10/22 00:00:00,119
695,SWIMMING AREA,191,SWIMMING POOL,96206,VALHALLA VISTA,15300 SHELBYVILLE RD,LOUISVILLE,KY,40245,25,1988/06/07 00:00:00,120
695,SWIMMING AREA,191,SWIMMING POOL,96652,HYATT PLACE LOUISVILLE EAST,701 S HURSTBOURNE PARKWAY,LOUISVILLE,KY,40222,29,2015/06/16 00:00:0,121
695,SWIMMING AREA,191,SWIMMING POL,96774,BROOKSIDE APARTMENTS,8117 COOPER CREEK DR,LOUISVILLtE,KY,40222,29,2015/06/15 00:00:00,122
695,SWIMMING AREA,191,SWIMMING POOL,96775,MEADOWS APARTMENT HOMES,2204 DEERCROSS DR,LOUISVILLE,KY,40222,29,2015/07/31 00:00:00,123
695,SWIMMING AREA,191,SWIMMING POOL,96776,OXMOOR APARTMENT HOMES,7400 STEEPLE CREST CIRCLE,LOUISVILLE,KY,40222,26,2015/07/06 00:00:00,124
