indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-5 lyears,2.0,"Percent of population, crude",1,Sex and race and Hispanic origni,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2009-2012,7.0,2-u5 years,57.1,17.6,2.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,96.0,"Percent of population, crude",1,Sex agnd race and Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2011-2014,8.0,2-5 years,90.1,14.5,3.0,*
Obesity among children and adolescents aged 2-19 years,2-5 years,3.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2013-2016,9.0,2-5 years,18.1,13.1,2.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,74.0,4.122,Male: Hispanic or Latino: Mexican: All races,2015-2018,10.0,2-5 yeras,21.1,19.2,4.5,-
Obesity among children and adolescents aged 2-19 years,2-5 yeras,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,1988-1994,81.0,-25 years,69.1,5.9,1.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,1999-2002,2.0,o2-5 years,75.1,9.0,2.0,*
Obesity among children and adolescents aged 2-19 years,2-5 years,54.0,"Percent of population, crude",1,Sex and race and Hispanic origin,102.0,4.211,Female: Not Hispanic or Latino: White only,20o01-2004,3.0,2-5 years,88.1,9.1,2.0,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispaic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2003-206,4.0,25- years,55.1,10.4,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,44.0,"Percent of population, crude",1,Sex and race and Hisapnic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2005-2008,5.0,2-5 years,44.1,11.3,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 yaers,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2007-2010,6.0,2-5 yars,15.1,9.2,2.0,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,26.0,4.211,Female: Not Hispanic or Latino: White only,2009-2012,7.0,2-5 yeras,37.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and rae and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2011-2014,8.0,-5 years,88.1,4.4,1.2,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic orign,4.0,4.211,Female: Not Hispanic or Latino: White only,2013-2016,9.0,2-5 ears,47.1,10.4,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 yearjs,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2015-2018,10.0,2- years,93.1,12.4,2.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,1988-1994,1.0,2-5 yers,38.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic orgin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,1999-2002,2.0,2-5years,35.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and raceand Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2001-2004,9.0,2- 5years,49.1,17.9,1.4,-
