indicatorvalue,panel,panelnum,unit,unitnum,stubname,stubnamenum,stublabelnum,stublabel,yearvalue,yearnum,age,agenum,estimate,se,flagvalue
Obesity among children and adolescents aged 2-19 years,6-11 years,3.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2005-2008,5.0,6-11 years,0.2,18.7,2.7,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2007-2010,6.0,6-11 years,0.2,23.3,3.3,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2009-2012,7.0,6-11 years,0.2,27.6,3.3,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2011-2014,8.0,6-11 years,0.2,21.2,2.3,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2013-2016,9.0,6-11 years,0.2,15.5,1.8,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2015-2018,10.0,6-11 years,0.2,18.3,2.5,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,1988-1994,1.0,6-11 years,0.2,10.7,2.0,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,1999-2002,2.0,6-11 years,0.2,14.0,1.5,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,2001-2004,3.0,6-11 years,0.2,16.9,2.3,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,2003-2006,4.0,6-11 years,0.2,15.5,2.8,-
