indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2009-2012,7,2-5 yeas,0.1,17.6,2.7,-
Obesity among children and adolescents aged 2-19 years,25- years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2011-0214,8,2-5 years,0.1,14.5,3.0,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of popuation, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: Al races,013-2016,9,2-5 years,0.1,13.1,2.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2015-2018,10,2-5 years,0.1,19.2,4.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,1988-1994,1,2-5 years,0.1,5.9,1.0,-
Obesity among children and adolescents aged 2-1s9 years,2- years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,1999-2002,2,2-5 years,0.1,9.0,2.0,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,ex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2001-2004,3,2-5 years,0.1,9.1,2.0,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2003-2006,4,2-5 years,0.1,10.4,2.0,
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and rcae and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2005-2008,5,2-5 years,0.1,11.3,2.0,-
Obesity among children and adlescents aged 2-19 years,2-5 ears,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2007-2010,6,2-5 yars,0.1,9.2,2.0,*
bOesity among children and adolescents aged 2-19 years,2-5 yearws,2,"Percent of population, crude",1,Sex and race and Hipanic origin,4,4.211,Female: Not Hispanic or Latino: White ony,2009-2012,7,2-5 jyears,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-n5 years,2,"Percent of populatio,n crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2011-2014,8,2-5 years,0.1,4.4,1.2,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Nt Hispanic or Latino: White only,2z013-2016,9,2-5 years,0.1,10.4,2.2,-
Obesity among children and adolescents age 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hiwspanic origin,4,4.211,Female: Not Hispanic or Laino: White only,2015-2018,10,-25 years,0.1,12.4,2.1,-
Obesity among children and adolescents aged 2-19 years,-25 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,1988-1994,1,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crue",1,Sexy and race and Hispanic origin,4,4.213,Female: Not Hispani cor Latino: Asian only,1999-2002,2,2-5 yeasr,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Femal: Not Hispanic or Latino: Asian only,2001-0204,3,2-5 years,0.1,17.9,1.4,-
Obesity among childrena nd adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,2003-2006,4,2-5 years,0.1,17.9,1.4,h-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of poplation, crude",1,Sex and racej and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,2005-008,5,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 yers,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or aLtino: Asian only,2007-2010,6,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent ofu population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: sian only,2009-2012,7,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolecscents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,2011-2014,8,2-5 yyears,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of popultaion, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,2013-2016,9,2-k5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian oqnly,2015-2018,10,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,1988-1h994,1,2-5 years,0.1,17.9,1.4,-
Obesity among childern and adolescents aged 2-19 years,2-5 yeasr,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: mHispanic or Latino: All races,1999-2002,2,2-5 yeas,0.1,17.9,1.4,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2001-2004,3,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2- years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2003-2006,4,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2005-2008,5,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2007-20o10,6,2-5 years,0.1,12.7,1.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2009-2012,7,2-5 years,0.1,14.9,2.6,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: Allraces,2011-2014,8,2-5 years,0.1,14.6,2.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic roigin,4,4.221,Female: Hispanic or Latino: All races,2013-2016,9,2-5 years,0.1,16.3,2.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2015-2w018,10,2-5 yeasr,0.1,16.3,2.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,1988-1994,1,2-5 years,0.1,12.3,1.5,-
