indicatorvalue,panel,panelnum,unit,unitnum,stubname,stubnamenum,stublabelnum,stublabel,yearvalue,yearnum,age,agenum,estimate,se,flagvalue
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2013-2016,9,6-11 years,0.2,25.8,2.5,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2015-2018,10,6-11 years,0.2,27.0,3.1,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,1988-1994,1,6-11 years,0.2,11.4,1.7,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,1999-2002,2,6-11 years,0.2,19.1,2.0,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2001-2004,3,6-11 years,0.2,20.0,2.1,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2003-2006,4,6-11 years,0.2,22.0,2.1,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2005-2008,5,6-11 years,0.2,21.5,1.9,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2007-2010,6,6-11 years,0.2,22.2,1.7,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2009-2012,7,6-11 years,0.2,24.6,1.8,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2011-2014,8,6-11 years,0.2,21.5,1.6,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2013-2016,9,6-11 years,0.2,20.8,1.6,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2015-2018,10,6-11 years,0.2,24.3,1.7,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,1988-1994,1,6-11 years,0.2,11.1,1.8,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,1999-2002,2,6-11 years,0.2,16.4,2.1,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2001-2004,3,6-11 years,0.2,18.4,1.8,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2003-2006,4,6-11 years,0.2,19.2,2.2,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2005-2008,5,6-11 years,0.2,22.2,2.5,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2007-2010,6,6-11 years,0.2,20.7,1.6,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2009-2012,7,6-11 years,0.2,18.5,1.7,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2011-2014,8,6-11 years,0.2,20.4,2.0,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2013-2016,9,6-11 years,0.2,20.8,1.9,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2015-2018,10,6-11 years,0.2,22.8,1.9,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,1988-1994,1,6-11 years,0.2,11.7,1.7,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,1999-2002,2,6-11 years,0.2,15.3,2.1,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2001-2004,3,6-11 years,0.2,18.2,2.2,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2003-2006,4,6-11 years,0.2,16.7,2.7,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2005-2008,5,6-11 years,0.2,16.8,2.5,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2007-2010,6,6-11 years,0.2,18.9,2.0,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2009-2012,7,6-11 years,0.2,15.8,2.3,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2011-2014,8,6-11 years,0.2,15.7,2.5,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2013-2016,9,6-11 years,0.2,17.1,2.0,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2015-2018,10,6-11 years,0.2,17.1,2.1,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,1988-1994,1,6-11 years,0.2,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,1999-2002,2,6-11 years,0.2,12.9,3.0,*
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2001-2004,3,6-11 years,0.2,11.4,2.2,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2003-2006,4,6-11 years,0.2,9.2,2.1,*
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2005-2008,5,6-11 years,0.2,9.5,1.9,*
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2007-2010,6,6-11 years,0.2,12.5,2.6,*
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2009-2012,7,6-11 years,0.2,12.2,2.9,*
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2011-2014,8,6-11 years,0.2,12.2,2.5,*
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2013-2016,9,6-11 years,0.2,12.2,2.6,-
