agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
1000.0,OKLA. HORSE RACING COMM.,220,Oklahoma Quarter Horse Revolvi,TITLE 47 SECTION 1104.12,2011,7,$8380.00
3000.0,OKLA. HUMAN RIGHTS COMM.,440,Federal Funds,"TITLE 62, SEC 34.48, 34.9",2011,7,$361014.29
1000.0,ENERGY RESOURCES BOARD,200,Energy Resources Revolving Fun,"TITLE 52, SEC. 288.7.A",2011,7,$9775350.45
1000.0,OKLA. INDIAN AFFAIRS COMMISSION,200,Ok. Indian Affairs Commission,"TITLE 74, SEC. 1205",2011,7,$7463.58
1000.0,WORKERS COMPENSATION COURT,200,Adm Of Worker's Comp Rev Fund,"TITLE 85, SEC. 95",2011,7,$175384.29
700.0,OK. INDUSTRIAL FINANCE AUTH.,200,Indust Development Loan Fund,"TITLE 74, SEC. 860 A",2011,7,$2181783.41
1000.0,OK. INDUSTRIAL FINANCE AUTH.,805,Indust Fin Auth Bond Redem Fnd,"TITLE 74, SECTION 860 E",2011,7,$10867.12
1000.0,OK. INDUSTRIAL FINANCE AUTH.,810,Indus Finance Auth Inter Fund,"TITLE 74, SEC. 860 D",2011,7,$0.00
1000.0,OKLAHOMA INSURANCE DEPARTMENT,200,Ins Commissioner Rev Fund,"TITLE 36, SEC. 1435.23",2011,7,$6790835.20
1000.0,OKLAHOMA INSURANCE DEPARTMENT,205,Private Grant Fund,,2011,7,$0.00
56600.0,OKLAHOMA INSURANCE DEPARTMENT,215,GKFF Grant Fund,,2011,7,$0.00
1100.0,OKLAHOMA INSURANCE DEPARTMENT,220,Bail Bondsmen Revolving Fund,"TITLE 59, SEC. 1337",2011,7,$0.00
10500.0,OKLAHOMA INSURANCE DEPARTMENT,225,Real Estate Appraisers Bd,"TITLE 59, SEC 858-730 (1991)",2011,7,$389392.31
1000.0,OKLAHOMA INSURANCE DEPARTMENT,230,Insurance Dept Anti - Fraud,"TITLE 36, CH. 1, ART. 3, SEC. 307.5",2011,7,$0.00
10500.0,OKLAHOMA INSURANCE DEPARTMENT,235,Captive Ins. Regul & Supervisi,"TITLE 36, SECTION 6470.24",2011,7,$0.00
1000.0,OKLAHOMA INSURANCE DEPARTMENT,410,Federal Grant Fund,"TITLE 62, SEC 34.48 & 34.9",2011,7,$5451.69
10500.0,COMPSOURCE OKLAHOMA,200,State Insurance Fund,"TITLE 85, SECTION 375",2011,7,$757570.33
700.0,OFFICE OF JUVENILE AFFAIRS,200,OJA Revolving Fund,"TITLE 62, SECTION 34.9",2011,7,$969349.48
1100.0,OFFICE OF JUVENILE AFFAIRS,202,Health Insur Portability,"HB 2487, SECTION 9",2011,7,$0.00
700.0,OFFICE OF JUVENILE AFFAIRS,205,Parental Responsibility Fund,"TITLE 62, SEC. 34.9",2011,7,$268534.07
1000.0,OFFICE OF JUVENILE AFFAIRS,210,Santa Claus Commission Rev Fd,"TITLE 62, SECTION 155; TITLE 10, SECTION 361",2011,7,$87793.53
1000.0,OFFICE OF JUVENILE AFFAIRS,400,Delinquency Prevention Fund,"TITLE 62, SECTION 34.48 & 34.9",2011,7,$516069.16
1100.0,OFFICE OF JUVENILE AFFAIRS,405,Fed Grant Fund-Pass Through,"TITLE 62, SEC. 34.48 & 34.9",2011,7,$44826.73
2500.0,OFFICE OF JUVENILE AFFAIRS,410,Fed Grant Fund - Reimbursement,"TITLE 62, SEC. 34.48 & 34.9",2011,7,$2782849.70
10500.0,OFFICE OF JUVENILE AFFAIRS,415,Juv Acct Inct Blk Grant Fund,"TITLE 62, SEC. 34.48 & 34.9",2011,7,$1077207.48
1000.0,DEPARTMENT OF LABOR,200,Dept. Of Labor Revolving Fund,"TITLE 40, SECTION 141.19",2011,7,$433793.31
1000.0,DEPARTMENT OF LABOR,205,Worker's Comp Enforcemt Fund,"TITLE 85, SEC. 63.1 C",2011,7,$0.00
2500.0,DEPARTMENT OF LABOR,210,Safety Standards Revolving Fun,,2011,7,$0.00
1000.0,DEPARTMENT OF LABOR,215,Safety Consult & Reg Fund,"REPEALED BY SB 878, 2011",2011,7,$245600.23
1000.0,DEPARTMENT OF LABOR,216,Elevator Safety Revolving Fund,"TITLE 59, CH 56A, SEC 3025",2011,7,$0.00
1000.0,DEPARTMENT OF LABOR,410,Federal Fund,"TITLE 62, SEC. 34.48",2011,7,$637310.83
1400.0,COMM. OF THE LAND OFFICE,200,Revolving Fund,"TITLE 64, SEC. 1011",2011,7,$29174.37
1100.0,COMM. OF THE LAND OFFICE,400,Grants,"TITLE 62, SEC. 34.48,34.9",2011,7,$0.00
1000.0,COUNCIL ON LAW ENFC. ED. & TRNG.,205,Firearms Instructor Rev. Fund,"21 O.S., SEC. 1290.14F",2011,7,$21913.48
1000.0,COUNCIL ON LAW ENFC. ED. & TRNG.,210,Peace Officer Revolving Fund,,2011,7,$3140.17
1000.0,COUNCIL ON LAW ENFC. ED. & TRNG.,215,Cleet Training Center Rev Fund,"TITLE 70, SECTION 3311.6",2011,7,$277214.97
1000.0,COUNCIL ON LAW ENFC. ED. & TRNG.,220,CLEET Private Security Revl Fd,,2011,7,$36429.94
1000.0,COUNCIL ON LAW ENFC. ED. & TRNG.,499,Surplus Property Fund,,2011,7,$0.00
1100.0,OK. LAW ENFORCE. RET. SYSTEM,200,Ok Law Enf Ret Rev Fund,"TITLE 47, SEC. 2-301 AND TITLE 62, SEC. 7.5",2011,7,$373805.32
1000.0,LANGSTON UNIVERSITY,290,Educ & Gen Op Rev Fund,"TITLE 70, SEC. 3901",2011,7,$472348.27
2500.0,LANGSTON UNIVERSITY,295,Capitol Improvements Rev Fund,,2011,7,$66785.59
1300.0,LANGSTON UNIVERSITY,340,Bond Transfer Fund,"TITLE 62, SEC. 7.5",2011,7,$0.00
1000.0,LANGSTON UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$1130214.76
10500.0,LANGSTON UNIVERSITY,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$0.00
1000.0,LANGSTON UNIVERSITY,475,Rev Bond Fd/Cap Improvements,"TITLE 70, SEC. 4001",2011,7,$4192.97
1000.0,LANGSTON UNIVERSITY,479,Capital Bond Projects,,2011,7,$23109.58
2500.0,LANGSTON UNIVERSITY,480,ODFA Rev Bonds Series 1999 A,"SENATE CONCURRENT RESOLUTION NO. 12, 1997",2011,7,$0.00
1000.0,LANGSTON UNIVERSITY,486,Stadium Revenue Bond Fund,"TITLE 70, SECTION 4002.1",2011,7,$0.00
1000.0,LANGSTON UNIVERSITY,490,American Recov. & Reinv. Act,,2011,7,$0.00
1000.0,LANGSTON UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$123286.27
1000.0,LANGSTON UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$781353.49
700.0,OKLAHOMA STATE SENATE,200,State Senate Revolving Fund,"TITLE 62, SECTION 159.1",2011,7,$2872.68
1000.0,OK. HOUSE OF REPRESENTATIVES,200,House Of Rep Revolving Fund,"TITLE 62, SECTION 159.2",2011,7,$622238.51
4000.0,LEGISLATIVE SERVICE BUREAU,200,Revolving Fund,"TITLE 62, SEC. 34.9, 34.49",2011,7,$662453.81
1000.0,LEGISLATIVE SERVICE BUREAU,205,Criminal Code Revolving Fund,"TITLE 62, SECTION 34.9",2011,7,$0.00
1000.0,LEGISLATIVE SERVICE BUREAU,210,Ok Crim Justice Res Ctr Rev Fd,"TITLE 22, SEC. 1517",2011,7,$0.00
10000.0,LEGISLATIVE SERVICE BUREAU,405,OCJRC - VAWA Fed Fund,"TITLE 22, SEC. 1517",2011,7,$0.00
1100.0,LEGISLATIVE SERVICE BUREAU,406,OCJRC - SAC Fed Fund,,2011,7,$0.00
1000.0,LEGISLATIVE SERVICE BUREAU,443,Interagency Reimbursement Fund,"TITLE 74, SECTION 581",2011,7,$0.00
1000.0,DEPARTMENT OF LIBRARIES,200,Revolving Fund,"TITLE 65, SEC. 3-107",2011,7,$1036218.62
1000.0,DEPARTMENT OF LIBRARIES,400,Federal Library Funds,"TITLE 65, SEC. 3-101 & 3-107",2011,7,$788361.12
16000.0,DEPARTMENT OF LIBRARIES,405,Federal Pass Through Funds,"TITLE 65, SEC. 3-101 & 3-107",2011,7,$4191.29
1600.0,DEPARTMENT OF LIBRARIES,410,Fed Grt Funds Special Projects,"TITLE 65, SEC. 3-101 & 3-107",2011,7,$10128.97
700.0,DEPARTMENT OF LIBRARIES,415,Fed Grt Librarians 21st Centur,"TITLE 65, SEC. 3-101 & 3-107",2011,7,$18770.79
1000.0,DEPARTMENT OF LIBRARIES,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.48,34.9",2011,7,$8907.50
1000.0,OKLAHOMA LOTTERY COMMISSION,200,Ok Education Lottery Rev Fund,"TITLE 3A, CH 7, SEC 713",2011,7,$1019414.09
1000.0,OKLAHOMA LOTTERY COMMISSION,205,Fidelity Revolving Fund,"TITLE 3A, CH 7, SEC 719",2011,7,$101043.48
700.0,"LP GAS RESEARCH, MARKETING, & SAFETY",205,Lp Gas Res Mrkt & Sfty Rev Fnd,"TITLE 52, CH 8, SEC 420.26",2011,7,$881930.19
6000.0,"LP GAS RESEARCH, MARKETING, & SAFETY",215,Lp Gas Res Mrkt & Sfty Reimbur,"O.S. 52, SEC 420.29",2011,7,$388899.77
1000.0,LIQUEFIED PETROLEUM GAS BD,200,Liquified Petroleum Gas Fund,"TITLE 52, CH 8, SEC 420.11",2011,7,$508885.03
1000.0,MARGINALLY PROD. OIL & GAS WELLS,200,Revolving Fund,"TITLE 52, SEC 705",2011,7,$669499.65
1000.0,BD OF LIC ALCOHOL & DRUG COUNS,200,Revolving Fund,"TITLE 59, CH 43B, SEC 1883",2011,7,$84024.15
1000.0,BD. OF MED. LICENSURE & SUPV.,200,Revolving Fund,"TITLE 62, SEC. 155",2011,7,$3098874.30
1000.0,BD. OF MED. LICENSURE & SUPV.,210,Allied Prof. Peer Assist. Fund,,2011,7,$200000.00
1200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,200,Dept Of Mental Health Rev Fund,"TITLE 43A, SEC. 2-303",2011,7,$959128.13
1000.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,202,Health Insur Portability,"HB 2487, SECTION 8 & 15",2011,7,$0.29
