agency_number,agency_name,class_field,class_description,statutory_reference,calendar_year,monthvalue,total_amount
58000,DEPARTMENT OF CENTRAL SERVICES,445,Payroll Trust Fund,"TITLE 62, SEC. 34.69",2012,3,$1909599.49
58000,DEPARTMENT OF CENTRAL SERVICES,490,American Recov. & Reinv. Act,,2012,3,$79489.67
58000,DEPARTMENT OF CENTRAL SERVICES,494,Sales Fund Surplus,"TITLE 74, SECTION 62.5A",2012,3,$0.00
58200,STATE BOND ADVISOR,285,Bond Oversight Revolving Fund,"TITLE 62, SECTION 695.8A",2012,3,$739206.87
58500,DEPARTMENT OF PUBLIC SAFETY,200,Dept Of Public Safety Rev Fund,"TITLE 47, SEC. 2-144.1 & 6-117 I",2012,3,$7344773.04
58500,DEPARTMENT OF PUBLIC SAFETY,210,Patrol Vehicle Revolving Fund,"TITLE 47, SECTION 2-143",2012,3,$3924234.97
58500,DEPARTMENT OF PUBLIC SAFETY,215,Asset Forfeiture Funds Fed,"TITLE 63, SEC. 2-503E",2012,3,$6935246.25
58500,DEPARTMENT OF PUBLIC SAFETY,220,Asset Forfeiture Funds State,,2012,3,$3960403.51
58500,DEPARTMENT OF PUBLIC SAFETY,225,Computer Imaging System Revolv,"TITLE 47, SECTION 2-142",2012,3,$1931055.02
58500,DEPARTMENT OF PUBLIC SAFETY,230,Boating Safety Education Fund,TITLE 63 SECTION 4236,2012,3,$1754.25
58500,DEPARTMENT OF PUBLIC SAFETY,235,OK Homeland Security Rev Fund,TITLE 74 SEC. 51.2,2012,3,$281609.14
58500,DEPARTMENT OF PUBLIC SAFETY,240,"Motorcycle Safety, Ed Prg Revl",TITLE 47 SEC. 40-123,2012,3,$323779.25
58500,DEPARTMENT OF PUBLIC SAFETY,245,DPS Restricted Revolving Fund,TITLE 47 SEC. 2-145,2012,3,$6100706.56
58500,DEPARTMENT OF PUBLIC SAFETY,250,DPS Patrol Academy Revolv. Fnd,TITLE 47 SEC. 2-146,2012,3,$89851.57
58500,DEPARTMENT OF PUBLIC SAFETY,405,Federal Matching Fund,"TITLE 62, SEC. 34.48",2012,3,$2886231.55
58500,DEPARTMENT OF PUBLIC SAFETY,424,State Emergency Fund,"TITLE 63, SEC.683.17",2012,3,$0.81
58500,DEPARTMENT OF PUBLIC SAFETY,490,American Recov. & Reinv. Act,,2012,3,$0.00
58800,OKLA. REAL ESTATE COMM.,200,Revolving Fund,"TITLE 59, SEC. 858-205",2012,3,$1842472.87
58800,OKLA. REAL ESTATE COMM.,210,Okla R.E. Educ. & Recov. Fund,"TITLE 59, SEC. 858-601",2012,3,$309404.97
60500,REGENTS FOR HIGHER EDUCATION,200,Ardmore Higher Ed.Revolv.Fd.,"RPEALED BY LAWS 2005, SB 64",2012,3,$0.00
60500,REGENTS FOR HIGHER EDUCATION,201,Idabel Higher Ed Revolv. Fund,"TITLE 70, SEC. 4426",2012,3,$0.00
