agency_number,agency_name,class_field,class_description,statutory_reference,calendar_year,monthvalue,total_amount
700,OK. CAPITOL COMPLEX & CENTENNIAL COMM.,230,Ok Cap Complex & Cent Comm Fnd,"TITLE 73, SECTION 98.5",2012,3,$0.00
1000,OKLAHOMA STATE UNIVERSITY,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2012,3,$5008440.32
1000,OKLAHOMA STATE UNIVERSITY,293,Comp Univ Capital Projects Rev,TITLE 62 SECTION 46.1,2012,3,$17687.00
1000,OKLAHOMA STATE UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$5913879.98
1000,OKLAHOMA STATE UNIVERSITY,340,Bond Transfer Fund,"TITLE 62, SEC. 7.5",2012,3,$0.00
1000,OKLAHOMA STATE UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$4554325.64
1000,OKLAHOMA STATE UNIVERSITY,450,Master Lease Purchase Fund,"TITLE 70, SECTION 3206.6",2012,3,$137237.74
1000,OKLAHOMA STATE UNIVERSITY,470,Const. Energy Research Bldg,"TITLE 70, SEC. 3412",2012,3,$194.03
1000,OKLAHOMA STATE UNIVERSITY,479,Capital Bond Project,,2012,3,$44996.93
1000,OKLAHOMA STATE UNIVERSITY,485,Rev Bond Funds '85 Cap Imprvmt,"TITLE 70, SECTION 4006",2012,3,$951.17
1000,OKLAHOMA STATE UNIVERSITY,486,1998 Athletic Fac Reven Bd Fd,"TITLE 70, SEC. 4004",2012,3,$0.00
1000,OKLAHOMA STATE UNIVERSITY,487,1998 ODFA Athletic Fac Pjt Fd,"TITLE 70, SEC. 4004",2012,3,$0.09
1000,OKLAHOMA STATE UNIVERSITY,488,1998 Utility Sys Revenue Bd Fd,"TITLE 70, SEC. 4004",2012,3,$0.00
1000,OKLAHOMA STATE UNIVERSITY,490,American Recov. & Reinv. Act,,2012,3,$851174.86
1000,OKLAHOMA STATE UNIVERSITY,495,Federal Construction Fund,,2012,3,$9082.15
1000,OKLAHOMA STATE UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$12213615.85
1000,OKLAHOMA STATE UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$5578505.17
1100,OSU-EXPERIMENT STATION,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2012,3,$8063151.96
1100,OSU-EXPERIMENT STATION,293,Higher Ed Capital Excellence F,,2012,3,$0.00
1100,OSU-EXPERIMENT STATION,295,Ok St Univ Agric Expe Station,"TITLE 70, SEC. 3901",2012,3,$0.00
1100,OSU-EXPERIMENT STATION,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$1302887.41
1100,OSU-EXPERIMENT STATION,450,Master Lease Purchase Fund,,2012,3,$0.00
1100,OSU-EXPERIMENT STATION,490,American Recov. & Reinv. Act,,2012,3,$1442427.43
1100,OSU-EXPERIMENT STATION,495,Federal Construction Fund,,2012,3,$93.60
1200,OSU-EXTENSION DIVISION,225,OSU Extension Service License,"TITLE 47, CH 74, SEC 1136",2012,3,$7790.00
1200,OSU-EXTENSION DIVISION,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2012,3,$11912408.80
1200,OSU-EXTENSION DIVISION,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$1200569.89
1200,OSU-EXTENSION DIVISION,490,American Recov. & Reinv. Act,,2012,3,$0.00
1200,OSU-EXTENSION DIVISION,495,Botanical Garden Research Ctr,,2012,3,$1048.92
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2012,3,$648767.70
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",295,Capital Improvements Rev Fund,"TITLE 70, SEC 3901",2012,3,$4318897.10
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$96589.65
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",479,Capital Bond Projects,,2012,3,$0.00
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",487,Student Success Center,TITLE 70 SECTION 4001,2012,3,$0.00
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",490,American Recov. & Reinv. Act,,2012,3,$210571.81
1400,OSU COLLEGE OF VETERINARY MEDICINE,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2012,3,$885737.77
1400,OSU COLLEGE OF VETERINARY MEDICINE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$321.64
1400,OSU COLLEGE OF VETERINARY MEDICINE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$3373610.04
1400,OSU COLLEGE OF VETERINARY MEDICINE,450,Master Lease Purchase Fund,,2012,3,$0.00
1400,OSU COLLEGE OF VETERINARY MEDICINE,479,Capital Bond Projects,,2012,3,$0.00
1400,OSU COLLEGE OF VETERINARY MEDICINE,490,American Recov. & Reinv. Act,,2012,3,$497812.81
1400,OSU COLLEGE OF VETERINARY MEDICINE,495,McElroy Hall Antimicrobial Act,,2012,3,$0.00
1500,OSU-OKLAHOMA CITY,290,Educational And Gen Operations,"TITLE 70, SEC. 3901",2012,3,$1051277.78
1500,OSU-OKLAHOMA CITY,295,Capital Improvements Rev Fund,"TITLE 70, SEC 3901",2012,3,$1676214.38
1500,OSU-OKLAHOMA CITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$2221736.14
1500,OSU-OKLAHOMA CITY,479,Capital Bond Projects,,2012,3,$0.00
1500,OSU-OKLAHOMA CITY,485,Revenue Bond Fund,"TITLE 70, SEC. 3412 AND 4006",2012,3,$0.01
1500,OSU-OKLAHOMA CITY,487,Student Center Revenue Bonds,"TITLE 70, SECTION 4004",2012,3,$0.00
1500,OSU-OKLAHOMA CITY,490,American Recov. & Reinv. Act,,2012,3,$59400.32
1600,OSU-TULSA,290,Edu & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2012,3,$594693.63
1600,OSU-TULSA,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$1814042.42
1600,OSU-TULSA,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$147141.64
1600,OSU-TULSA,450,Master Lease Purchase Fund,"TITLE 70,SECTION 3206.6",2012,3,$0.00
1600,OSU-TULSA,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2012,3,$0.00
1600,OSU-TULSA,479,Capital Bond Projects,,2012,3,$0.00
1600,OSU-TULSA,490,American Recov. & Reinv. Act,,2012,3,$0.00
2000,OKLAHOMA ACCOUNTANCY BOARD,200,Accountancy Fund,"TITLE 59, SEC. 15.7",2012,3,$2580979.83
2200,OKLAHOMA ABSTRACTORS BOARD,200,OK ABS BRD REVOLVING FUND,,2012,3,$283057.10
2500,OKLAHOMA MILITARY DEPARTMENT,200,OK MILITARY DEPT REVOLVING FUN,,2012,3,$247.99
2500,OKLAHOMA MILITARY DEPARTMENT,205,45Th Infantry Div. Museum Fd.,"TITLE 44, SEC. 235.1",2012,3,$11978.54
2500,OKLAHOMA MILITARY DEPARTMENT,210,Oklahoma Military Dept,"TITLE 44, SEC. 233.7",2012,3,$443881.98
2500,OKLAHOMA MILITARY DEPARTMENT,220,Income Tax Checkoff Revolving,TITLE 68 SEC 2368.14,2012,3,$125574.02
2500,OKLAHOMA MILITARY DEPARTMENT,225,Patriot License Plate Revolvin,TITLE 47 SECTION 1104.11,2012,3,$29288.47
2500,OKLAHOMA MILITARY DEPARTMENT,230,Military Justice Fund,,2012,3,$5000.00
2500,OKLAHOMA MILITARY DEPARTMENT,400,Army Federal Reimbursement,"TITLE 62, SEC. 41.8",2012,3,$1466378.48
2500,OKLAHOMA MILITARY DEPARTMENT,405,Air Guard Reimbursement Fds,"TITLE 62, SEC. 41.8",2012,3,$719958.24
2500,OKLAHOMA MILITARY DEPARTMENT,410,Army Advance Funds,,2012,3,$0.03
2500,OKLAHOMA MILITARY DEPARTMENT,415,Counter Drug,,2012,3,$34499.82
2500,OKLAHOMA MILITARY DEPARTMENT,424,State Emergency Fund,"TITLE 62, SEC. 139.47",2012,3,$273239.72
2500,OKLAHOMA MILITARY DEPARTMENT,490,American Recov. & Reinv. Act,,2012,3,$0.00
3000,ALCOHOLIC BEV. LAWS ENFORCE.,200,ABLE Comm. Revolving Fund,,2012,3,$104977.98
3000,ALCOHOLIC BEV. LAWS ENFORCE.,205,Seized And Forfeited Property,"TITLE 37, SEC. 539",2012,3,$147516.80
3000,ALCOHOLIC BEV. LAWS ENFORCE.,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 581",2012,3,$89502.49
3000,ALCOHOLIC BEV. LAWS ENFORCE.,491,Sales Fund - Surplus Property,,2012,3,$0.00
