object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
1.0,693745.0,2020/03/26 03:59:59+00,BEACH BEAUTY SALON,7916 FEGENBUSH LANE,40228.0,2020/03/27 03:59:59+00,7,FIELD
2.0,694103.0,2020/03/30 03:59:59+00,XTREAM AUTO,3713 BARDSTOWN ROAD,40218.0,2020/03/31 03:59:59+00,7,FIELD
3.0,694502.0,2020/04/02 03:59:59+00,WEST END TOKEN CLUB,708 S 16TH ST,40210.0,2020/04/03 03:59:59+00,7,FIELD
4.0,694505.0,2020/04/02 03:59:59+00,CRICKET CELL PHONE STORE,5751 PRESTON HWY,40219.0,2020/04/06 03:59:59+00,7,FIELD
5.0,694607.0,2020/04/03 03:59:59+00,UPS HUB,8100 AIR COMMERCE DR,40219.0,2020/04/13 03:59:59+00,7,FIELD
6.0,694829.0,2020/04/07 03:59:59+00,FEDEX SHIP CENTER,4901 CRITTENDEN DR,40209.0,2020/04/07 03:59:59+00,7,FIELD
7.0,694957.0,2020/04/03 03:59:59+00,RESIDENT,5117 POPLAR LEVEL RD,40219.0,2020/04/07 03:59:59+00,7,FIELD
8.0,695019.0,2020/04/06 03:59:59+00,KY TRAILER,3400 ROBARDS COURT,40218.0,2020/04/09 03:59:59+00,7,FIELD
9.0,695082.0,2020/04/08 03:59:59+00,SOUL FOOD DINING,4900 POPLAR LEVEL RD,40219.0,2020/04/10 03:59:59+00,7,FIELD
7.0,695169.0,2020/04/09 03:59:59+00,THIRD STREET GAS STATION,5620 S 3RD ST,40214.0,2020/04/11 03:59:59+00,7,FIELD
11.0,695201.0,2020/04/09 03:59:59+00,BANADIR RESTAURANT,5600 S 3RD ST,40214.0,2020/04/11 03:59:59+00,7,FIELD
4.0,695277.0,2020/04/11 03:59:59+00,TALECRIS PLASMA RESOURCES,5037 PRESTON HWY,40213.0,2020/04/13 03:59:59+00,7,FIELD
9.0,695362.0,2020/04/11 03:59:59+00,ROSES #530,3220 CRUMS LN,40216.0,2020/04/14 03:59:59+00,7,FIELD
4.0,695385.0,2020/04/08 03:59:59+00,RESIDENT,1015 REEVES RD,40219.0,2020/04/09 03:59:59+00,7,FIELD
15.0,695464.0,2020/04/09 03:59:59+00,UNKNOWN,6707 CAROLYN ROAD,40214.0,2020/04/10 03:59:59+00,7,FIELD
7.0,695466.0,2020/04/14 03:59:59+00,DARE TO CARE,3802 W MARKET ST,40212.0,2020/04/14 03:59:59+00,7,FIELD
17.0,695525.0,2020/04/14 03:59:59+00,RESTHAVEN MEMORIAL PARK,4400 BARDSTOWN ROAD,40218.0,2020/04/15 03:59:59+00,7,FIELD
7.0,695544.0,2020/04/14 03:59:59+00,SAVE-A-LOT,4443 CANE RUN RD,40216.0,2020/04/15 03:59:59+00,7,FIELD
19.0,695740.0,2020/04/11 03:59:59+00,URBAN FLATS,735 S 2ND ST,40202.0,2020/04/16 03:59:59+00,7,FIELD
20.0,695787.0,2020/04/16 03:59:59+00,MCDONALD'S,4306 BARDSTOWN RD,40218.0,2020/04/17 03:59:59+00,7,FIELD
21.0,695987.0,2020/04/20 03:59:59+00,KROGER L-376,4501 OUTER LOOP,40219.0,2020/04/20 03:59:59+00,7,FIELD
4.0,696106.0,2020/04/21 03:59:59+00,WENDYS,4041 TAYLORSVILLE RD,40220.0,2020/05/01 03:59:59+00,7,FIELD
2.0,696229.0,2020/04/22 03:59:59+00,BEST DOGS LLC,8708 BAYBERRY PLACE,40242.0,2020/04/24 03:59:59+00,7,FIELD
8.0,696258.0,2020/04/20 03:59:59+00,RESIDENT,1524 MCKAY AVE,40213.0,2020/04/22 03:59:59+00,7,FIELD
15.0,696310.0,2020/04/23 03:59:59+00,DRAKE'S,3939 SHELBYVILLE RD,40207.0,2020/04/25 03:59:59+00,7,FIELD
26.0,696394.0,2020/04/24 03:59:59+00,GREATER ISRAEL BAPTIST CHURCH,1509 MAGAZINE ST,40203.0,2020/04/26 03:59:59+00,7,FIELD
