row_idx,source_table,source_variant,source_row_idx,partition
0,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,0,all
1,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1,all
2,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,2,all
3,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,3,all
4,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,4,all
5,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,5,all
6,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,6,all
7,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,7,all
8,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,8,all
9,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,9,all
10,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,10,all
11,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,11,all
12,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,12,all
13,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,13,all
14,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,14,all
15,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,15,all
16,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,16,all
17,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,17,all
18,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,18,all
19,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,19,all
20,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,20,all
21,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,21,all
22,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,22,all
23,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,23,all
24,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,24,all
25,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,25,all
26,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,26,all
27,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,27,all
28,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,28,all
29,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,29,all
30,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,30,all
31,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,31,all
32,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,32,all
33,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,33,all
34,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,34,all
35,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,35,all
36,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,36,all
37,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,37,all
