row_idx,source_table,source_variant,source_row_idx,partition
0,305b_Assessed_2008_Estuary,NO,0,all
1,305b_Assessed_2008_Estuary,NO,1,all
2,305b_Assessed_2008_Estuary,NO,2,all
3,305b_Assessed_2008_Estuary,NO,3,all
4,305b_Assessed_2008_Estuary,NO,4,all
5,305b_Assessed_2008_Estuary,NO,5,all
6,305b_Assessed_2008_Estuary,NO,6,all
7,305b_Assessed_2008_Estuary,NO,7,all
8,305b_Assessed_2008_Estuary,NO,8,all
9,305b_Assessed_2008_Estuary,NO,9,all
10,305b_Assessed_2008_Estuary,NO,10,all
11,305b_Assessed_2008_Estuary,NO,11,all
12,305b_Assessed_2008_Estuary,NO,12,all
13,305b_Assessed_2008_Estuary,NO,13,all
14,305b_Assessed_2008_Estuary,NO,14,all
15,305b_Assessed_2008_Estuary,NO,15,all
16,305b_Assessed_2008_Estuary,NO,16,all
17,305b_Assessed_2008_Estuary,NO,17,all
18,305b_Assessed_2008_Estuary,NO,18,all
19,305b_Assessed_2008_Estuary,NO,19,all
20,305b_Assessed_2008_Estuary,NO,20,all
21,305b_Assessed_2008_Estuary,NO,21,all
22,305b_Assessed_2008_Estuary,NO,22,all
23,305b_Assessed_2008_Estuary,NO,23,all
24,305b_Assessed_2008_Estuary,NO,24,all
25,305b_Assessed_2008_Estuary,NO,25,all
26,305b_Assessed_2008_Estuary,NO,26,all
27,305b_Assessed_2008_Estuary,NO,27,all
28,305b_Assessed_2008_Estuary,NO,28,all
29,305b_Assessed_2008_Estuary,NO,29,all
30,305b_Assessed_2008_Estuary,NO,30,all
31,305b_Assessed_2008_Estuary,NO,31,all
32,305b_Assessed_2008_Estuary,NO,32,all
33,305b_Assessed_2008_Estuary,NO,33,all
34,305b_Assessed_2008_Estuary,NO,34,all
35,305b_Assessed_2008_Estuary,NO,35,all
36,305b_Assessed_2008_Estuary,NO,36,all
37,305b_Assessed_2008_Estuary,NO,37,all
38,305b_Assessed_2008_Estuary,NO,38,all
39,305b_Assessed_2008_Estuary,NO,39,all
40,305b_Assessed_2008_Estuary,NO,40,all
41,305b_Assessed_2008_Estuary,NO,41,all
42,305b_Assessed_2008_Estuary,NO,42,all
43,305b_Assessed_2008_Estuary,NO,43,all
44,305b_Assessed_2008_Estuary,NO,44,all
45,305b_Assessed_2008_Estuary,NO,45,all
46,305b_Assessed_2008_Estuary,NO,46,all
47,305b_Assessed_2008_Estuary,NO,47,all
48,305b_Assessed_2008_Estuary,NO,48,all
49,305b_Assessed_2008_Estuary,NO,49,all
50,305b_Assessed_2008_Estuary,NO,50,all
51,305b_Assessed_2008_Estuary,NO,51,all
52,305b_Assessed_2008_Estuary,NO,52,all
53,305b_Assessed_2008_Estuary,NO,53,all
54,305b_Assessed_2008_Estuary,NO,54,all
55,305b_Assessed_2008_Estuary,NO,55,all
56,305b_Assessed_2008_Estuary,NO,56,all
57,305b_Assessed_2008_Estuary,NO,57,all
58,305b_Assessed_2008_Estuary,NO,58,all
59,305b_Assessed_2008_Estuary,NO,59,all
60,305b_Assessed_2008_Estuary,NO,60,all
61,305b_Assessed_2008_Estuary,NO,61,all
62,305b_Assessed_2008_Estuary,NO,62,all
63,305b_Assessed_2008_Estuary,NO,63,all
64,305b_Assessed_2008_Estuary,NO,64,all
65,305b_Assessed_2008_Estuary,NO,65,all
66,305b_Assessed_2008_Estuary,NO,66,all
67,305b_Assessed_2008_Estuary,NO,67,all
68,305b_Assessed_2008_Estuary,NO,68,all
69,305b_Assessed_2008_Estuary,NO,69,all
70,305b_Assessed_2008_Estuary,NO,70,all
71,305b_Assessed_2008_Estuary,NO,71,all
72,305b_Assessed_2008_Estuary,NO,72,all
73,305b_Assessed_2008_Estuary,NO,73,all
74,305b_Assessed_2008_Estuary,NO,74,all
75,305b_Assessed_2008_Estuary,NO,75,all
76,305b_Assessed_2008_Estuary,NO,76,all
77,305b_Assessed_2008_Estuary,NO,77,all
78,305b_Assessed_2008_Estuary,NO,78,all
79,305b_Assessed_2008_Estuary,NO,79,all
80,305b_Assessed_2008_Estuary,NO,80,all
81,305b_Assessed_2008_Estuary,NO,81,all
82,305b_Assessed_2008_Estuary,NO,82,all
83,305b_Assessed_2008_Estuary,NO,83,all
84,305b_Assessed_2008_Estuary,NO,84,all
85,305b_Assessed_2008_Estuary,NO,85,all
86,305b_Assessed_2008_Estuary,NO,86,all
87,305b_Assessed_2008_Estuary,NO,87,all
88,305b_Assessed_2008_Estuary,NO,88,all
89,305b_Assessed_2008_Estuary,NO,89,all
90,305b_Assessed_2008_Estuary,NO,90,all
91,305b_Assessed_2008_Estuary,NO,91,all
92,305b_Assessed_2008_Estuary,NO,92,all
93,305b_Assessed_2008_Estuary,NO,93,all
94,305b_Assessed_2008_Estuary,NO,94,all
95,305b_Assessed_2008_Estuary,NO,95,all
96,305b_Assessed_2008_Estuary,NO,96,all
97,305b_Assessed_2008_Estuary,NO,97,all
98,305b_Assessed_2008_Estuary,NO,98,all
99,305b_Assessed_2008_Estuary,NO,99,all
100,305b_Assessed_2008_Estuary,NO,100,all
101,305b_Assessed_2008_Estuary,NO,101,all
102,305b_Assessed_2008_Estuary,NO,102,all
103,305b_Assessed_2008_Estuary,NO,103,all
104,305b_Assessed_2008_Estuary,NO,104,all
105,305b_Assessed_2008_Estuary,NO,105,all
106,305b_Assessed_2008_Estuary,NO,106,all
107,305b_Assessed_2008_Estuary,NO,107,all
108,305b_Assessed_2008_Estuary,NO,108,all
109,305b_Assessed_2008_Estuary,NO,109,all
110,305b_Assessed_2008_Estuary,NO,110,all
111,305b_Assessed_2008_Estuary,NO,111,all
112,305b_Assessed_2008_Estuary,NO,112,all
113,305b_Assessed_2008_Estuary,NO,113,all
114,305b_Assessed_2008_Estuary,NO,114,all
115,305b_Assessed_2008_Estuary,NO,115,all
116,305b_Assessed_2008_Estuary,NO,116,all
117,305b_Assessed_2008_Estuary,NO,117,all
118,305b_Assessed_2008_Estuary,NO,118,all
119,305b_Assessed_2008_Estuary,NO,119,all
120,305b_Assessed_2008_Estuary,NO,120,all
121,305b_Assessed_2008_Estuary,NO,121,all
122,305b_Assessed_2008_Estuary,NO,122,all
123,305b_Assessed_2008_Estuary,NO,123,all
124,305b_Assessed_2008_Estuary,NO,124,all
125,305b_Assessed_2008_Estuary,NO,125,all
126,305b_Assessed_2008_Estuary,NO,126,all
127,305b_Assessed_2008_Estuary,NO,127,all
128,305b_Assessed_2008_Estuary,NO,128,all
129,305b_Assessed_2008_Estuary,NO,129,all
130,305b_Assessed_2008_Estuary,NO,130,all
131,305b_Assessed_2008_Estuary,NO,131,all
132,305b_Assessed_2008_Estuary,NO,132,all
133,305b_Assessed_2008_Estuary,NO,133,all
134,305b_Assessed_2008_Estuary,NO,134,all
135,305b_Assessed_2008_Estuary,NO,135,all
136,305b_Assessed_2008_Estuary,NO,136,all
137,305b_Assessed_2008_Estuary,NO,137,all
138,305b_Assessed_2008_Estuary,NO,138,all
139,305b_Assessed_2008_Estuary,NO,139,all
140,305b_Assessed_2008_Estuary,NO,140,all
141,305b_Assessed_2008_Estuary,NO,141,all
142,305b_Assessed_2008_Estuary,NO,142,all
143,305b_Assessed_2008_Estuary,NO,143,all
144,305b_Assessed_2008_Estuary,NO,144,all
145,305b_Assessed_2008_Estuary,NO,145,all
146,305b_Assessed_2008_Estuary,NO,146,all
147,305b_Assessed_2008_Estuary,NO,147,all
148,305b_Assessed_2008_Estuary,NO,148,all
149,305b_Assessed_2008_Estuary,NO,149,all
150,305b_Assessed_2008_Estuary,NO,150,all
151,305b_Assessed_2008_Estuary,NO,151,all
152,305b_Assessed_2008_Estuary,NO,152,all
153,305b_Assessed_2008_Estuary,NO,153,all
154,305b_Assessed_2008_Estuary,NO,154,all
155,305b_Assessed_2008_Estuary,NO,155,all
156,305b_Assessed_2008_Estuary,NO,156,all
157,305b_Assessed_2008_Estuary,NO,157,all
158,305b_Assessed_2008_Estuary,NO,158,all
159,305b_Assessed_2008_Estuary,NO,159,all
160,305b_Assessed_2008_Estuary,NO,160,all
161,305b_Assessed_2008_Estuary,NO,161,all
162,305b_Assessed_2008_Estuary,NO,162,all
163,305b_Assessed_2008_Estuary,NO,163,all
164,305b_Assessed_2008_Estuary,NO,164,all
165,305b_Assessed_2008_Estuary,NO,165,all
166,305b_Assessed_2008_Estuary,NO,166,all
167,305b_Assessed_2008_Estuary,NO,167,all
168,305b_Assessed_2008_Estuary,NO,168,all
169,305b_Assessed_2008_Estuary,NO,169,all
170,305b_Assessed_2008_Estuary,NO,170,all
171,305b_Assessed_2008_Estuary,NO,171,all
172,305b_Assessed_2008_Estuary,NO,172,all
173,305b_Assessed_2008_Estuary,NO,173,all
174,305b_Assessed_2008_Estuary,NO,174,all
175,305b_Assessed_2008_Estuary,NO,175,all
176,305b_Assessed_2008_Estuary,NO,176,all
177,305b_Assessed_2008_Estuary,NO,177,all
178,305b_Assessed_2008_Estuary,NO,178,all
179,305b_Assessed_2008_Estuary,NO,179,all
180,305b_Assessed_2008_Estuary,NO,180,all
181,305b_Assessed_2008_Estuary,NO,181,all
182,305b_Assessed_2008_Estuary,NO,182,all
183,305b_Assessed_2008_Estuary,NO,183,all
184,305b_Assessed_2008_Estuary,NO,184,all
185,305b_Assessed_2008_Estuary,NO,185,all
186,305b_Assessed_2008_Estuary,NO,186,all
187,305b_Assessed_2008_Estuary,NO,187,all
188,305b_Assessed_2008_Estuary,NO,188,all
189,305b_Assessed_2008_Estuary,NO,189,all
190,305b_Assessed_2008_Estuary,NO,190,all
191,305b_Assessed_2008_Estuary,NO,191,all
192,305b_Assessed_2008_Estuary,NO,192,all
193,305b_Assessed_2008_Estuary,NO,193,all
194,305b_Assessed_2008_Estuary,NO,194,all
195,305b_Assessed_2008_Estuary,NO,195,all
196,305b_Assessed_2008_Estuary,NO,196,all
197,305b_Assessed_2008_Estuary,NO,197,all
198,305b_Assessed_2008_Estuary,NO,198,all
199,305b_Assessed_2008_Estuary,NO,199,all
200,305b_Assessed_2008_Estuary,NO,200,all
201,305b_Assessed_2008_Estuary,NO,201,all
202,305b_Assessed_2008_Estuary,NO,202,all
203,305b_Assessed_2008_Estuary,NO,203,all
204,305b_Assessed_2008_Estuary,NO,204,all
205,305b_Assessed_2008_Estuary,NO,205,all
206,305b_Assessed_2008_Estuary,NO,206,all
207,305b_Assessed_2008_Estuary,NO,207,all
208,305b_Assessed_2008_Estuary,NO,208,all
209,305b_Assessed_2008_Estuary,NO,209,all
210,Impaired_Estuary_2008,NO,0,all
211,Impaired_Estuary_2008,NO,1,all
212,Impaired_Estuary_2008,NO,2,all
213,Impaired_Estuary_2008,NO,3,all
214,Impaired_Estuary_2008,NO,4,all
215,Impaired_Estuary_2008,NO,5,all
216,Impaired_Estuary_2008,NO,6,all
217,Impaired_Estuary_2008,NO,7,all
218,Impaired_Estuary_2008,NO,8,all
219,Impaired_Estuary_2008,NO,9,all
220,Impaired_Estuary_2008,NO,10,all
221,Impaired_Estuary_2008,NO,11,all
222,Impaired_Estuary_2008,NO,12,all
223,Impaired_Estuary_2008,NO,13,all
224,Impaired_Estuary_2008,NO,14,all
225,Impaired_Estuary_2008,NO,15,all
226,Impaired_Estuary_2008,NO,16,all
227,Impaired_Estuary_2008,NO,17,all
228,Impaired_Estuary_2008,NO,18,all
229,Impaired_Estuary_2008,NO,19,all
230,Impaired_Estuary_2008,NO,20,all
231,Impaired_Estuary_2008,NO,21,all
232,Impaired_Estuary_2008,NO,22,all
233,Impaired_Estuary_2008,NO,23,all
234,Impaired_Estuary_2008,NO,24,all
235,Impaired_Estuary_2008,NO,25,all
236,Impaired_Estuary_2008,NO,26,all
237,Impaired_Estuary_2008,NO,27,all
238,Impaired_Estuary_2008,NO,28,all
239,Impaired_Estuary_2008,NO,29,all
240,Impaired_Estuary_2008,NO,30,all
241,Impaired_Estuary_2008,NO,31,all
242,Impaired_Estuary_2008,NO,32,all
243,Impaired_Estuary_2008,NO,33,all
244,Impaired_Estuary_2008,NO,34,all
245,Impaired_Estuary_2008,NO,35,all
246,Impaired_Estuary_2008,NO,36,all
247,Impaired_Estuary_2008,NO,37,all
248,Impaired_Estuary_2008,NO,38,all
249,Impaired_Estuary_2008,NO,39,all
250,Impaired_Estuary_2008,NO,40,all
251,Impaired_Estuary_2008,NO,41,all
252,Impaired_Estuary_2008,NO,42,all
253,Impaired_Estuary_2008,NO,43,all
254,Impaired_Estuary_2008,NO,44,all
255,Impaired_Estuary_2008,NO,45,all
256,Impaired_Estuary_2008,NO,46,all
257,Impaired_Estuary_2008,NO,47,all
258,Impaired_Estuary_2008,NO,48,all
259,Impaired_Estuary_2008,NO,49,all
260,Impaired_Estuary_2008,NO,50,all
261,Impaired_Estuary_2008,NO,51,all
262,Impaired_Estuary_2008,NO,52,all
263,Impaired_Estuary_2008,NO,53,all
264,Impaired_Estuary_2008,NO,54,all
265,Impaired_Estuary_2008,NO,55,all
266,Impaired_Estuary_2008,NO,56,all
267,Impaired_Estuary_2008,NO,57,all
268,Impaired_Estuary_2008,NO,58,all
269,Impaired_Estuary_2008,NO,59,all
270,Impaired_Estuary_2008,NO,60,all
271,Impaired_Estuary_2008,NO,61,all
272,Impaired_Estuary_2008,NO,62,all
273,Impaired_Estuary_2008,NO,63,all
274,Impaired_Estuary_2008,NO,64,all
275,Impaired_Estuary_2008,NO,65,all
276,Impaired_Estuary_2008,NO,66,all
277,Impaired_Estuary_2008,NO,67,all
278,Impaired_Estuary_2008,NO,68,all
279,Impaired_Estuary_2008,NO,69,all
280,Impaired_Estuary_2008,NO,70,all
281,Impaired_Estuary_2008,NO,71,all
282,Impaired_Estuary_2008,NO,72,all
283,Impaired_Estuary_2008,NO,73,all
284,Impaired_Estuary_2008,NO,74,all
285,Impaired_Estuary_2008,NO,75,all
286,Impaired_Estuary_2008,NO,76,all
287,Impaired_Estuary_2008,NO,77,all
288,Impaired_Estuary_2008,NO,78,all
289,Impaired_Estuary_2008,NO,79,all
290,Impaired_Estuary_2008,NO,80,all
291,Impaired_Estuary_2008,NO,81,all
292,Impaired_Estuary_2008,NO,82,all
293,Impaired_Estuary_2008,NO,83,all
294,Impaired_Estuary_2008,NO,84,all
295,Impaired_Estuary_2008,NO,85,all
296,Impaired_Estuary_2008,NO,86,all
297,Impaired_Estuary_2008,NO,87,all
298,Impaired_Estuary_2008,NO,88,all
299,Impaired_Estuary_2008,NO,89,all
300,Impaired_Estuary_2008,NO,90,all
301,Impaired_Estuary_2008,NO,91,all
302,Impaired_Estuary_2008,NO,92,all
303,Impaired_Estuary_2008,NO,93,all
304,Impaired_Estuary_2008,NO,94,all
305,Impaired_Estuary_2008,NO,95,all
306,Impaired_Estuary_2008,NO,96,all
307,Impaired_Estuary_2008,NO,97,all
308,Impaired_Estuary_2008,NO,98,all
309,Impaired_Estuary_2008,NO,99,all
310,Impaired_Estuary_2008,NO,100,all
311,Impaired_Estuary_2008,NO,101,all
312,Impaired_Estuary_2008,NO,102,all
313,Impaired_Estuary_2008,NO,103,all
314,Impaired_Estuary_2008,NO,104,all
315,Impaired_Estuary_2008,NO,105,all
316,Impaired_Estuary_2008,NO,106,all
317,Impaired_Estuary_2008,NO,107,all
318,Impaired_Estuary_2008,NO,108,all
319,Impaired_Estuary_2008,NO,109,all
320,Impaired_Estuary_2008,NO,110,all
321,Impaired_Estuary_2008,NO,111,all
322,Impaired_Estuary_2008,NO,112,all
323,Impaired_Estuary_2008,NO,113,all
324,Impaired_Estuary_2008,NO,114,all
325,Impaired_Estuary_2008,NO,115,all
326,Impaired_Estuary_2008,NO,116,all
327,Impaired_Estuary_2008,NO,117,all
328,Impaired_Estuary_2008,NO,118,all
329,Impaired_Estuary_2008,NO,119,all
330,Impaired_Estuary_2008,NO,120,all
331,Impaired_Estuary_2008,NO,121,all
332,Impaired_Estuary_2008,NO,122,all
333,Impaired_Estuary_2008,NO,123,all
