row_idx,source_table,source_variant,source_row_idx,partition
0,305b_Assessed_2008_Estuary,Typo,0,all
1,305b_Assessed_2008_Estuary,Typo,1,all
2,305b_Assessed_2008_Estuary,Typo,2,all
3,305b_Assessed_2008_Estuary,Typo,3,all
4,305b_Assessed_2008_Estuary,Typo,4,all
5,305b_Assessed_2008_Estuary,Typo,5,all
6,305b_Assessed_2008_Estuary,Typo,6,all
7,305b_Assessed_2008_Estuary,Typo,7,all
8,305b_Assessed_2008_Estuary,Typo,8,all
9,305b_Assessed_2008_Estuary,Typo,9,all
10,305b_Assessed_2008_Estuary,Typo,10,all
11,305b_Assessed_2008_Estuary,Typo,11,all
12,305b_Assessed_2008_Estuary,Typo,12,all
13,305b_Assessed_2008_Estuary,Typo,13,all
14,305b_Assessed_2008_Estuary,Typo,14,all
15,305b_Assessed_2008_Estuary,Typo,15,all
16,305b_Assessed_2008_Estuary,Typo,16,all
17,305b_Assessed_2008_Estuary,Typo,17,all
18,305b_Assessed_2008_Estuary,Typo,18,all
19,305b_Assessed_2008_Estuary,Typo,19,all
20,305b_Assessed_2008_Estuary,Typo,20,all
21,305b_Assessed_2008_Estuary,Typo,21,all
22,305b_Assessed_2008_Estuary,Typo,22,all
23,305b_Assessed_2008_Estuary,Typo,23,all
24,305b_Assessed_2008_Estuary,Typo,24,all
25,305b_Assessed_2008_Estuary,Typo,25,all
26,305b_Assessed_2008_Estuary,Typo,26,all
27,305b_Assessed_2008_Estuary,Typo,27,all
28,305b_Assessed_2008_Estuary,Typo,28,all
29,305b_Assessed_2008_Estuary,Typo,29,all
30,305b_Assessed_2008_Estuary,Typo,30,all
31,305b_Assessed_2008_Estuary,Typo,31,all
32,305b_Assessed_2008_Estuary,Typo,32,all
33,305b_Assessed_2008_Estuary,Typo,33,all
34,305b_Assessed_2008_Estuary,Typo,34,all
35,305b_Assessed_2008_Estuary,Typo,35,all
36,305b_Assessed_2008_Estuary,Typo,36,all
37,305b_Assessed_2008_Estuary,Typo,37,all
38,305b_Assessed_2008_Estuary,Typo,38,all
39,305b_Assessed_2008_Estuary,Typo,39,all
40,305b_Assessed_2008_Estuary,Typo,40,all
41,305b_Assessed_2008_Estuary,Typo,41,all
42,305b_Assessed_2008_Estuary,Typo,42,all
43,305b_Assessed_2008_Estuary,Typo,43,all
44,305b_Assessed_2008_Estuary,Typo,44,all
45,305b_Assessed_2008_Estuary,Typo,45,all
46,305b_Assessed_2008_Estuary,Typo,46,all
47,305b_Assessed_2008_Estuary,Typo,47,all
48,305b_Assessed_2008_Estuary,Typo,48,all
49,305b_Assessed_2008_Estuary,Typo,49,all
50,305b_Assessed_2008_Estuary,Typo,50,all
51,305b_Assessed_2008_Estuary,Typo,51,all
52,305b_Assessed_2008_Estuary,Typo,52,all
53,305b_Assessed_2008_Estuary,Typo,53,all
54,305b_Assessed_2008_Estuary,Typo,54,all
55,305b_Assessed_2008_Estuary,Typo,55,all
56,305b_Assessed_2008_Estuary,Typo,56,all
57,305b_Assessed_2008_Estuary,Typo,57,all
58,305b_Assessed_2008_Estuary,Typo,58,all
59,305b_Assessed_2008_Estuary,Typo,59,all
60,305b_Assessed_2008_Estuary,Typo,60,all
61,305b_Assessed_2008_Estuary,Typo,61,all
62,305b_Assessed_2008_Estuary,Typo,62,all
63,305b_Assessed_2008_Estuary,Typo,63,all
64,305b_Assessed_2008_Estuary,Typo,64,all
65,305b_Assessed_2008_Estuary,Typo,65,all
66,305b_Assessed_2008_Estuary,Typo,66,all
67,305b_Assessed_2008_Estuary,Typo,67,all
68,305b_Assessed_2008_Estuary,Typo,68,all
69,305b_Assessed_2008_Estuary,Typo,69,all
70,305b_Assessed_2008_Estuary,Typo,70,all
71,305b_Assessed_2008_Estuary,Typo,71,all
72,305b_Assessed_2008_Estuary,Typo,72,all
73,305b_Assessed_2008_Estuary,Typo,73,all
74,305b_Assessed_2008_Estuary,Typo,74,all
75,305b_Assessed_2008_Estuary,Typo,75,all
76,305b_Assessed_2008_Estuary,Typo,76,all
77,305b_Assessed_2008_Estuary,Typo,77,all
78,305b_Assessed_2008_Estuary,Typo,78,all
79,305b_Assessed_2008_Estuary,Typo,79,all
80,305b_Assessed_2008_Estuary,Typo,80,all
81,305b_Assessed_2008_Estuary,Typo,81,all
82,305b_Assessed_2008_Estuary,Typo,82,all
83,305b_Assessed_2008_Estuary,Typo,83,all
84,305b_Assessed_2008_Estuary,Typo,84,all
85,305b_Assessed_2008_Estuary,Typo,85,all
86,305b_Assessed_2008_Estuary,Typo,86,all
87,305b_Assessed_2008_Estuary,Typo,87,all
88,305b_Assessed_2008_Estuary,Typo,88,all
89,305b_Assessed_2008_Estuary,Typo,89,all
90,305b_Assessed_2008_Estuary,Typo,90,all
91,305b_Assessed_2008_Estuary,Typo,91,all
92,305b_Assessed_2008_Estuary,Typo,92,all
93,305b_Assessed_2008_Estuary,Typo,93,all
94,305b_Assessed_2008_Estuary,Typo,94,all
95,305b_Assessed_2008_Estuary,Typo,95,all
96,305b_Assessed_2008_Estuary,Typo,96,all
97,305b_Assessed_2008_Estuary,Typo,97,all
98,305b_Assessed_2008_Estuary,Typo,98,all
99,305b_Assessed_2008_Estuary,Typo,99,all
100,305b_Assessed_2008_Estuary,Typo,100,all
101,305b_Assessed_2008_Estuary,Typo,101,all
102,305b_Assessed_2008_Estuary,Typo,102,all
103,305b_Assessed_2008_Estuary,Typo,103,all
104,305b_Assessed_2008_Estuary,Typo,104,all
105,305b_Assessed_2008_Estuary,Typo,105,all
106,305b_Assessed_2008_Estuary,Typo,106,all
107,305b_Assessed_2008_Estuary,Typo,107,all
108,305b_Assessed_2008_Estuary,Typo,108,all
109,305b_Assessed_2008_Estuary,Typo,109,all
110,305b_Assessed_2008_Estuary,Typo,110,all
111,305b_Assessed_2008_Estuary,Typo,111,all
112,305b_Assessed_2008_Estuary,Typo,112,all
113,305b_Assessed_2008_Estuary,Typo,113,all
114,305b_Assessed_2008_Estuary,Typo,114,all
115,305b_Assessed_2008_Estuary,Typo,115,all
116,305b_Assessed_2008_Estuary,Typo,116,all
117,305b_Assessed_2008_Estuary,Typo,117,all
118,305b_Assessed_2008_Estuary,Typo,118,all
119,305b_Assessed_2008_Estuary,Typo,119,all
120,305b_Assessed_2008_Estuary,Typo,120,all
121,305b_Assessed_2008_Estuary,Typo,121,all
122,305b_Assessed_2008_Estuary,Typo,122,all
123,305b_Assessed_2008_Estuary,Typo,123,all
124,305b_Assessed_2008_Estuary,Typo,124,all
125,305b_Assessed_2008_Estuary,Typo,125,all
126,305b_Assessed_2008_Estuary,Typo,126,all
127,305b_Assessed_2008_Estuary,Typo,127,all
128,305b_Assessed_2008_Estuary,Typo,128,all
129,305b_Assessed_2008_Estuary,Typo,129,all
130,305b_Assessed_2008_Estuary,Typo,130,all
131,305b_Assessed_2008_Estuary,Typo,131,all
132,305b_Assessed_2008_Estuary,Typo,132,all
133,305b_Assessed_2008_Estuary,Typo,133,all
134,305b_Assessed_2008_Estuary,Typo,134,all
135,305b_Assessed_2008_Estuary,Typo,135,all
136,305b_Assessed_2008_Estuary,Typo,136,all
137,305b_Assessed_2008_Estuary,Typo,137,all
138,305b_Assessed_2008_Estuary,Typo,138,all
139,305b_Assessed_2008_Estuary,Typo,139,all
140,305b_Assessed_2008_Estuary,Typo,140,all
141,305b_Assessed_2008_Estuary,Typo,141,all
142,305b_Assessed_2008_Estuary,Typo,142,all
143,305b_Assessed_2008_Estuary,Typo,143,all
144,305b_Assessed_2008_Estuary,Typo,144,all
145,305b_Assessed_2008_Estuary,Typo,145,all
146,305b_Assessed_2008_Estuary,Typo,146,all
147,305b_Assessed_2008_Estuary,Typo,147,all
148,305b_Assessed_2008_Estuary,Typo,148,all
149,305b_Assessed_2008_Estuary,Typo,149,all
150,305b_Assessed_2008_Estuary,Typo,150,all
151,305b_Assessed_2008_Estuary,Typo,151,all
152,305b_Assessed_2008_Estuary,Typo,152,all
153,305b_Assessed_2008_Estuary,Typo,153,all
154,305b_Assessed_2008_Estuary,Typo,154,all
155,305b_Assessed_2008_Estuary,Typo,155,all
156,305b_Assessed_2008_Estuary,Typo,156,all
157,305b_Assessed_2008_Estuary,Typo,157,all
