row_idx,source_table,source_variant,source_row_idx,partition
0,305b_Assessed_Lake_2020,Typo,0,all
1,305b_Assessed_Lake_2020,Typo,1,all
2,305b_Assessed_Lake_2020,Typo,2,all
3,305b_Assessed_Lake_2020,Typo,3,all
4,305b_Assessed_Lake_2020,Typo,4,all
5,305b_Assessed_Lake_2020,Typo,5,all
6,305b_Assessed_Lake_2020,Typo,6,all
7,305b_Assessed_Lake_2020,Typo,7,all
8,305b_Assessed_Lake_2020,Typo,8,all
9,305b_Assessed_Lake_2020,Typo,9,all
10,305b_Assessed_Lake_2020,Typo,10,all
11,305b_Assessed_Lake_2020,Typo,11,all
12,305b_Assessed_Lake_2020,Typo,12,all
13,305b_Assessed_Lake_2020,Typo,13,all
14,305b_Assessed_Lake_2020,Typo,14,all
15,305b_Assessed_Lake_2020,Typo,15,all
16,305b_Assessed_Lake_2020,Typo,16,all
17,305b_Assessed_Lake_2020,Typo,17,all
18,305b_Assessed_Lake_2020,Typo,18,all
19,305b_Assessed_Lake_2020,Typo,19,all
20,305b_Assessed_Lake_2020,Typo,20,all
21,305b_Assessed_Lake_2020,Typo,21,all
22,305b_Assessed_Lake_2020,Typo,22,all
23,305b_Assessed_Lake_2020,Typo,23,all
24,305b_Assessed_Lake_2020,Typo,24,all
25,305b_Assessed_Lake_2020,Typo,25,all
26,305b_Assessed_Lake_2020,Typo,26,all
27,305b_Assessed_Lake_2020,Typo,27,all
28,305b_Assessed_Lake_2020,Typo,28,all
29,305b_Assessed_Lake_2020,Typo,29,all
30,305b_Assessed_Lake_2020,Typo,30,all
31,305b_Assessed_Lake_2020,Typo,31,all
32,305b_Assessed_Lake_2020,Typo,32,all
33,305b_Assessed_Lake_2020,Typo,33,all
34,305b_Assessed_Lake_2020,Typo,34,all
35,305b_Assessed_Lake_2020,Typo,35,all
36,305b_Assessed_Lake_2020,Typo,36,all
37,305b_Assessed_Lake_2020,Typo,37,all
38,305b_Assessed_Lake_2020,Typo,38,all
39,305b_Assessed_Lake_2020,Typo,39,all
40,305b_Assessed_Lake_2020,Typo,40,all
41,305b_Assessed_Lake_2020,Typo,41,all
42,305b_Assessed_Lake_2020,Typo,42,all
43,305b_Assessed_Lake_2020,Typo,43,all
44,305b_Assessed_Lake_2020,Typo,44,all
45,305b_Assessed_Lake_2020,Typo,45,all
46,305b_Assessed_Lake_2020,Typo,46,all
47,305b_Assessed_Lake_2020,Typo,47,all
48,305b_Assessed_Lake_2020,Typo,48,all
49,305b_Assessed_Lake_2020,Typo,49,all
50,305b_Assessed_Lake_2020,Typo,50,all
51,305b_Assessed_Lake_2020,Typo,51,all
52,305b_Assessed_Lake_2020,Typo,52,all
53,305b_Assessed_Lake_2020,Typo,53,all
54,305b_Assessed_Lake_2020,Typo,54,all
55,305b_Assessed_Lake_2020,Typo,55,all
56,305b_Assessed_Lake_2020,Typo,56,all
57,305b_Assessed_Lake_2020,Typo,57,all
58,305b_Assessed_Lake_2020,Typo,58,all
59,305b_Assessed_Lake_2020,Typo,59,all
60,305b_Assessed_Lake_2020,Typo,60,all
61,305b_Assessed_Lake_2020,Typo,61,all
62,305b_Assessed_Lake_2020,Typo,62,all
63,305b_Assessed_Lake_2020,Typo,63,all
64,305b_Assessed_Lake_2020,Typo,64,all
