row_idx,source_table,source_variant,source_row_idx,partition
0,State_of_Oklahoma_Revolving_Funds_-_2011,NO,0,all
1,State_of_Oklahoma_Revolving_Funds_-_2011,NO,1,all
2,State_of_Oklahoma_Revolving_Funds_-_2011,NO,2,all
3,State_of_Oklahoma_Revolving_Funds_-_2011,NO,3,all
4,State_of_Oklahoma_Revolving_Funds_-_2011,NO,4,all
5,State_of_Oklahoma_Revolving_Funds_-_2011,NO,5,all
6,State_of_Oklahoma_Revolving_Funds_-_2011,NO,6,all
7,State_of_Oklahoma_Revolving_Funds_-_2011,NO,7,all
8,State_of_Oklahoma_Revolving_Funds_-_2011,NO,8,all
9,State_of_Oklahoma_Revolving_Funds_-_2011,NO,9,all
10,State_of_Oklahoma_Revolving_Funds_-_2011,NO,10,all
11,State_of_Oklahoma_Revolving_Funds_-_2011,NO,11,all
12,State_of_Oklahoma_Revolving_Funds_-_2011,NO,12,all
13,State_of_Oklahoma_Revolving_Funds_-_2011,NO,13,all
14,State_of_Oklahoma_Revolving_Funds_-_2011,NO,14,all
15,State_of_Oklahoma_Revolving_Funds_-_2011,NO,15,all
16,State_of_Oklahoma_Revolving_Funds_-_2011,NO,16,all
17,State_of_Oklahoma_Revolving_Funds_-_2011,NO,17,all
18,State_of_Oklahoma_Revolving_Funds_-_2011,NO,18,all
19,State_of_Oklahoma_Revolving_Funds_-_2011,NO,19,all
20,State_of_Oklahoma_Revolving_Funds_-_2011,NO,20,all
21,State_of_Oklahoma_Revolving_Funds_-_2011,NO,21,all
22,State_of_Oklahoma_Revolving_Funds_-_2011,NO,22,all
23,State_of_Oklahoma_Revolving_Funds_-_2011,NO,23,all
24,State_of_Oklahoma_Revolving_Funds_-_2011,NO,24,all
25,State_of_Oklahoma_Revolving_Funds_-_2011,NO,25,all
26,State_of_Oklahoma_Revolving_Funds_-_2011,NO,26,all
27,State_of_Oklahoma_Revolving_Funds_-_2011,NO,27,all
28,State_of_Oklahoma_Revolving_Funds_-_2011,NO,28,all
29,State_of_Oklahoma_Revolving_Funds_-_2011,NO,29,all
30,State_of_Oklahoma_Revolving_Funds_-_2011,NO,30,all
31,State_of_Oklahoma_Revolving_Funds_-_2011,NO,31,all
32,State_of_Oklahoma_Revolving_Funds_-_2011,NO,32,all
33,State_of_Oklahoma_Revolving_Funds_-_2011,NO,33,all
34,State_of_Oklahoma_Revolving_Funds_-_2011,NO,34,all
35,State_of_Oklahoma_Revolving_Funds_-_2011,NO,35,all
36,State_of_Oklahoma_Revolving_Funds_-_2011,NO,36,all
37,State_of_Oklahoma_Revolving_Funds_-_2011,NO,37,all
38,State_of_Oklahoma_Revolving_Funds_-_2011,NO,38,all
39,State_of_Oklahoma_Revolving_Funds_-_2011,NO,39,all
40,State_of_Oklahoma_Revolving_Funds_-_2011,NO,40,all
41,State_of_Oklahoma_Revolving_Funds_-_2011,NO,41,all
42,State_of_Oklahoma_Revolving_Funds_-_2011,NO,42,all
43,State_of_Oklahoma_Revolving_Funds_-_2011,NO,43,all
44,State_of_Oklahoma_Revolving_Funds_-_2011,NO,44,all
45,State_of_Oklahoma_Revolving_Funds_-_2011,NO,45,all
46,State_of_Oklahoma_Revolving_Funds_-_2011,NO,46,all
47,State_of_Oklahoma_Revolving_Funds_-_2011,NO,47,all
48,State_of_Oklahoma_Revolving_Funds_-_2011,NO,48,all
49,State_of_Oklahoma_Revolving_Funds_-_2011,NO,49,all
50,State_of_Oklahoma_Revolving_Funds_-_2011,NO,50,all
51,State_of_Oklahoma_Revolving_Funds_-_2011,NO,51,all
52,State_of_Oklahoma_Revolving_Funds_-_2011,NO,52,all
53,State_of_Oklahoma_Revolving_Funds_-_2011,NO,53,all
54,State_of_Oklahoma_Revolving_Funds_-_2011,NO,54,all
55,State_of_Oklahoma_Revolving_Funds_-_2011,NO,55,all
56,State_of_Oklahoma_Revolving_Funds_-_2011,NO,56,all
57,State_of_Oklahoma_Revolving_Funds_-_2011,NO,57,all
58,State_of_Oklahoma_Revolving_Funds_-_2011,NO,58,all
59,State_of_Oklahoma_Revolving_Funds_-_2011,NO,59,all
60,State_of_Oklahoma_Revolving_Funds_-_2011,NO,60,all
61,State_of_Oklahoma_Revolving_Funds_-_2011,NO,61,all
62,State_of_Oklahoma_Revolving_Funds_-_2011,NO,62,all
63,State_of_Oklahoma_Revolving_Funds_-_2011,NO,63,all
64,State_of_Oklahoma_Revolving_Funds_-_2011,NO,64,all
65,State_of_Oklahoma_Revolving_Funds_-_2011,NO,65,all
66,State_of_Oklahoma_Revolving_Funds_-_2011,NO,66,all
67,State_of_Oklahoma_Revolving_Funds_-_2011,NO,67,all
68,State_of_Oklahoma_Revolving_Funds_-_2011,NO,68,all
69,State_of_Oklahoma_Revolving_Funds_-_2011,NO,69,all
70,State_of_Oklahoma_Revolving_Funds_-_2011,NO,70,all
71,State_of_Oklahoma_Revolving_Funds_-_2011,NO,71,all
72,State_of_Oklahoma_Revolving_Funds_-_2011,NO,72,all
73,State_of_Oklahoma_Revolving_Funds_-_2011,NO,73,all
74,State_of_Oklahoma_Revolving_Funds_-_2011,NO,74,all
75,State_of_Oklahoma_Revolving_Funds_-_2011,NO,75,all
76,State_of_Oklahoma_Revolving_Funds_-_2011,NO,76,all
77,State_of_Oklahoma_Revolving_Funds_-_2011,NO,77,all
78,State_of_Oklahoma_Revolving_Funds_-_2011,NO,78,all
79,State_of_Oklahoma_Revolving_Funds_-_2011,NO,79,all
80,State_of_Oklahoma_Revolving_Funds_-_2011,NO,80,all
81,State_of_Oklahoma_Revolving_Funds_-_2011,NO,81,all
82,State_of_Oklahoma_Revolving_Funds_-_2011,NO,82,all
83,State_of_Oklahoma_Revolving_Funds_-_2011,NO,83,all
84,State_of_Oklahoma_Revolving_Funds_-_2011,NO,84,all
85,State_of_Oklahoma_Revolving_Funds_-_2011,NO,85,all
86,State_of_Oklahoma_Revolving_Funds_-_2011,NO,86,all
87,State_of_Oklahoma_Revolving_Funds_-_2011,NO,87,all
88,State_of_Oklahoma_Revolving_Funds_-_2011,NO,88,all
89,State_of_Oklahoma_Revolving_Funds_-_2011,NO,89,all
90,State_of_Oklahoma_Revolving_Funds_-_2011,NO,90,all
91,State_of_Oklahoma_Revolving_Funds_-_2011,NO,91,all
92,State_of_Oklahoma_Revolving_Funds_-_2011,NO,92,all
93,State_of_Oklahoma_Revolving_Funds_-_2011,NO,93,all
94,State_of_Oklahoma_Revolving_Funds_-_2011,NO,94,all
95,State_of_Oklahoma_Revolving_Funds_-_2011,NO,95,all
