objectid,cyclevalue,id_three_zero_five_b,namevalue,locationvalue,milessquare,marineaquaticlife,recreation,fishconsumption,shellfish,shape_length,shape_area
106.0,2008,CT-W2_024,"LIS WB Shore - Byram Harbor, Greenwich","See Map for Boundaries. Western portion of LIS from just west of Shore Island to Field Point (includes Shore Island, Rich Island, Farwells Island, Game Cock Island, Byram Harbor) out approximately 1000 ft offshore, Greenwich.",0.33956885,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,28337.3321484333,9466636.36527024
107.0,2008,CT-E4_003,LIS EB Offhsore - Old Lyme,See Map for Boundaries. Eastern portion of LIS from 50ft contour to CT/NY State line.,11.83736787,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",80234.8098044702,330006876.621942
108.0,2008,CT-E4_004,LIS EB Offshore - Old Saybrook,See Map for Boundaries. Eastern portion of LIS from 50ft contour to CT/NY State line.,9.44044035,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",74588.3286828901,263184372.445871
109.0,2008,CT-C3_007,"LIS CB Midshore - Sachem Head Harbor, Guilford","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Sachem Head), out to 50 ft contour, Guilford.",7.08870534,Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,65504.9847170054,197621763.160976
110.0,2008,CT-W2_011,"LIS WB Shore - Canfield Island, Westport","See Map for Boundaries. Western portion of LIS from just west of Canfield Island to Saugatuck Shores area (includes Canfiled Island, Saugatuck Shores, Seymour Point) out approximately 1000 ft offshore, Westport.",0.42960112,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,52719.3630004611,11976592.0661225
111.0,2008,CT-W3_008-I,"LIS WB Midshore - Norwalk Islands, Norwalk","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Norton Point to Seymour Point, includes all Norwalk Islands area), out to line just beyond Sheffield Island to Cockenoe Island, Norwalk.",5.94025141,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,144644.657657696,165604705.084903
112.0,2008,CT-E1_028-SB,"LIS EB Inner - Leiutenant River, Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Leiutenant River from Route 156 crossing, US to saltwater limit adjacent to Longacre Lane, Old Lyme.",0.104656,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,34788.936712656,2917641.93921078
113.0,2008,CT-W2_004,"LIS WB Shore - Outer Bridgeport Harbor, Fairfield","See Map for Boundaries. Western portion of LIS from Shoal Point to tip of Fayerweather Island (includes Penfield Beach, Jennings Beach, Ash Creek outlet) out approximately 1000 ft offshore, Fairfield.",0.40748912,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,25131.538482968,11360144.726116
114.0,2008,CT-W2_005,"LIS WB Shore - Pine Creek Point, Fairfield","See Map for Boundaries. Western portion of LIS from Pine Creek Point area to Shoal Point (includes South Pine Creek Beach, Pine Creek outlet) out approximately 1000 ft offshore, Fairfield.",0.36977409,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,22728.2139088946,10308710.2253424
115.0,2008,CT-W2_016,"LIS WB Shore - Scott Cove, Darien","See Map for Boundaries. Western portion of LIS from Long Neck Point to Fish Islands (includes Hay Island, Great Island) out approximately 1000 ft offshore, Darien.",0.71793907,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,67235.5811465755,20014992.8312509
116.0,2008,CT-W3_009,"LIS WB Midshore - Outer Fivemile R Estuary, Darien","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (outer Scott Cove near Fish Islands to Norton Point area), out to 50 ft contour, Darien.",2.45318694,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,37578.6496338355,68390926.9491361
117.0,2008,CT-W2_025,"LIS WB Shore - Byram Harbor (West), Greenwich","See Map for Boundaries. Western portion of LIS from NY/CT border at Byram River to just west of Shore Island (includes mouth of Byram River, Byram Point) out approximately 1000 ft offshore, Greenwich.",0.24386398,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,15988.2271262258,6798537.85640908
118.0,2008,CT-E2_009-SB,"LIS EB Shore - Thames River Mouth (East), Groton","See Map for Boundaries. Eastern portion of LIS from Eastern Point in mouth of Thames River to SB/SA water quality boundary at Bushy Point Beach, out approximately 1000 ft offshore.",0.39960562,Not Supporting,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,25880.6998058798,11140365.3201878
119.0,2008,CT-C2_018-SB,"LIS CB Shore - New Haven Harbor (West), West Haven","See Map for Boundaries. Central portion of LIS from Oyster River Point to Sandy Point area (includes West Haven West Beach, West Haven East Beach, West Shore, Sandy Point), out approximately 1000 ft offshore, West Haven.",0.78887112,Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,49849.2761494906,21992464.7755598
120.0,2008,CT-C2_016-SB,"LIS CB Shore - New Haven Harbor (East), East Haven","See Map for Boundaries. Central portion of LIS from Morgan Point to Mansfield Point area (includes East Haven Beach, South End Point, Momauguin), out approximately 1000 ft offshore, East Haven.",0.37115883,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,27060.3126977167,10347314.3491744
121.0,2008,CT-E2_003,"LIS EB Shore - Outer Quiambaug Cove, Stonington","See Map for Boundaries. Eastern portion of LIS from Mouth of inner Quiambaug Cove at RR crossing to SB/SA water quality boundary at mouth of Stonington Harbor, out approximately 1000 ft offshore.",0.38816798,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,26208.4311734603,10821502.4891779
122.0,2008,CT-E3_006,LIS EB Midshore - Niantic Bay,"See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore Black Point, East Lyme to Magonk Point (SB/SA water quality boundary) Waterford, out to 50 ft contour (Niantic Bay).",6.17913997,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,93975.6910231106,172264535.74846
123.0,2008,CT-E2_010-SB,"LIS EB Shore - Thames Rvr Mouth (West), New London","See Map for Boundaries. Eastern portion of LIS from mouth of Alewife Cove to Quinnipeag Rocks along western shore of Thames River mouth, out approximately 1000 ft offshore (SB Water Quality).",0.29886682,Not Supporting,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,21168.5586188872,8331928.8278657
124.0,2008,CT-E2_011-SB,"LIS EB Shore - Thames Rvr Mouth (West), Waterford","See Map for Boundaries. Eastern portion of LIS from Magonk Point to mouth of Alewife Cove, out approximately 1000 ft offshore (SB Water Quality).",0.48607475,Not Supporting,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,29902.0785072294,13550986.3289529
125.0,2008,CT-C1_014-SB,"LIS CB Inner - Quinnipiac River (mouth), New Haven","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth at I95 crossing, US Quinnipiac River to Sackett Point Road (includes Mill River mouth BELOW Chapel Street crossing), North Haven.",0.62593249,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,102937.095714488,17449996.5570322
126.0,2008,CT-W4_005,LIS WB Offshore - Greenwich,See Map for Boundaries. Western portion of LIS from 50ft contour to CT/NY State line.,11.75339769,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",84184.6248275376,327665922.222781
