objectid,cyclevalue,assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize,units,ctlakeid,nhdbasin,classid,useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length,shape_area
20.0,2020,CT5111-09-1-L1_01,Cedar Pond (North Branford),"South of Lake Gaillard, North Branford, just upstream of Linsley Pond along Pisgah Brook (trib to Branford River).","LAKE, FRESHWATER",21.58,Acres,456.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,4467.48722362686,940092.739834537
21.0,2020,CT5111-09-1-L2_01,Linsley Pond (Branford/North Branford),"South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town line.","LAKE, FRESHWATER",22.92,Acres,1635.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,4155.48366402287,998367.840002071
22.0,2020,CT5305-00-3-L1_01,Edgewood Park Pond (New Haven),"Along eastern bank of West River, just US of Chapel St, New Haven.","LAKE, FRESHWATER",2.72,Acres,823.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,1654.87117047857,118638.844686911
23.0,2020,CT3700-00-2+L1_01,West Thompson Lake (Thompson),Impoundment of Quinebaug River in Thompson.,"LAKE, FRESHWATER",189.28,Acres,3467.0,1100001,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,24334.3122221123,8245167.04334499
24.0,2020,CT3400-00-1-L1_01,Little (Schoolhouse) Pond (Thompson),"Norhteast corner of Thompson, near MA border. Headwaters of Fivemile River.","LAKE, FRESHWATER",65.82,Acres,1648.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,7524.77206212308,2866999.86337798
25.0,2020,CT3300-00-3+L3_01,North Grosvenordale Pond Impoundment (Thompson),"Impoundment of French River in north central Thompson, near MA border.","LAKE, FRESHWATER",58.66,Acres,2033.0,1100001,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,18760.6963392008,2555402.07561616
26.0,2020,CT3700-28-1-L1_01,Wauregan (Quinebaug) Pond (Killingly),Southwestern corner of Killingly.,"LAKE, FRESHWATER",71.06,Acres,2343.0,1100001,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,9990.13750921345,3095502.20998354
27.0,2020,CT4315-10-1-L1_01,Pine Lake (Malones Pond) (Bristol),"East Bristol, south of Pine Street","LAKE, FRESHWATER",8.13,Acres,1752.0,1080207,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,5593.24259792881,354019.18031934
28.0,2020,CT4300-00-1+L1_01,Colebrook River (Reservoir) Lake (Colebrook),"Northeast corner of Colbrook, extends slightly into MA and Hartland.","LAKE, FRESHWATER",852.34,Acres,568.0,1080207,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,63814.4863274421,37128146.1703807
29.0,2020,CT5206-01-1-L2_01,Black Pond (Meriden/Middlefield),"On Meriden/Middlefield town border, south side of Meriden Road (Route 66).","LAKE, FRESHWATER",69.89,Acres,239.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,18777.7119415127,3044564.32714191
