objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length(double precision),shape_area(double precision)
165.0,2020,CT3902-00-1-L1_01,Williams Pond (Lebanon),Lebanon,"LAKE, FRESHWATER",250.3,Acres,3526.0,1100003,84.0,INLAND SUFRACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Flly Supporting,Recreation,Not Assessed,Fish Consumption,Insufficiet Information,Not Classifzied For Drinking Water,Not Evaluated,o,34166.6678539392,10902838.8335029
166.0,2020,CT2203-00-1-L2_01,"Konomoc, Lake (Waterford/Montville)","Along east side of Route 85 (north I395), Montville/Waterford.","LAKE, FRESHWATER",288.66,Acres,1511.0,1100003,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,37148.7687211784,12574084.7558297
167.0,2020,CT4017-04-1-L1_01,Turkey Hill Reservoir (Haddam/Chester),"Straddles southern border of Haddam with Chester. Located within Cockaponset State Forest, bounded by Cedar Lake Road and Filley Road.","LAKE, FRESHWATER",75.9,Acres,2960.0,1080205,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,13036.8191366243,3309720.42974876
168.0,2020,CT3108-13-1-L1_01,Columbia Lake (Columbia),NW Columbia,"LAKE, FRESHWATER",277.28,Acres,575.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,21109.907842455,12078446.763889
169.0,2020,CT3805-00-3-L7_01,Versailles Pond (Sprague),"Impoundment of Little River, southeast corner of Sprague.","LAKE, FRESHWATER",57.2,Acres,3352.0,1100002,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,14935.9782480639,2491844.77596168
170.0,2020,CT3600-00-3-L8_01,Hopeville Pond (Griswold),"CT DEEP Hopeville Pond State Park. Impoundment of Pachaug River (DS of Pachaug Pond), Griswold.","LAKE, FRESHWATER",106.6,Acres,1284.0,1100001,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,29443.5258515292,4643768.13889446
171.0,2020,CT3600-00-3-L3_01,Beachdale Pond (Voluntown),"Impoundment of Pachaug River, Voluntown; US of Glasgo and DS of Beach Ponds.","LAKE, FRESHWATER",37.32,Acres,143.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,12065.1074097609,1625623.78754073
172.0,2020,CT4019-00-1-L3_01,Messerschmidt Pond (Westbrook/Deep River),Rt 145 Westbrook; straddles Westbrook/Deep River border.,"LAKE, FRESHWATER",81.67,Acres,1829.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,15715.9792035817,3557669.03731145
173.0,2020,CT4019-00-1-L4_01,Wrights Pond (Westbrook/Deep River/Essex),"Meeting point of Westbrook, Deep River and Essex.","LAKE, FRESHWATER",29.74,Acres,3583.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,9276.67395083096,1295495.04025224
174.0,2020,CT4302-16-1-L1_01,Highland Lake (Winchester),Southeast corner of Winchester.,"LAKE, FRESHWATER",448.18,Acres,1230.0,1080207,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,42660.460613205,19522854.8387813
175.0,2020,CT3805-00-3-L6_01,Papermill Pond (Sprague),"Impoundment of Little River, Sprague.","LAKE, FRESHWATER",77.15,Acres,2156.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,12713.7080779591,3360761.0678375
176.0,2020,CT6000-00-5+L1_01,"Lillinonah, Lake (Newtown/Southbury/Bridgewater/Brookfield)","Impoundment of Housatonic River, from Shepaug Dam US to top of impundment, south side of Lovers Leap Road; Southbury and Bridgewater along east bank, Newtown, Brookfield, and New Milford along west bank.","LAKE, FRESHWATER",1594.85,Acres,1514.0,1100005,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,190484.378350977,70562246.5487131
177.0,2020,CT6302-01-1-L2_01,Ford Pond (Sharon),Sharon,"LAKE, FRESHWATER",22.9,Acres,933.0,1100005,70.0,INLAND SURFACE WATEmRS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting***,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Cllassified For Drinking Water,Not Evaluated,oN,4926.01835519446,997369.682101406
178.0,2020,CT6911-07-1-L1_01,Plymouth Lake (Plymouth),Plymouth,"LAKE, FRESHWATER",44.85,Acres,2272.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,6568.85633034059,1953735.3981531
179.0,2020,CT6202-00-1-L1_01,"Wangum, Lake (Canaan)",Canaan,"LAKE, FRESHWATER",177.88,Acres,1543.0,1100005,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,16120.0697969643,7748519.16657594
180.0,2020,CT3900-11-1-L1_01,Bog Meadow Reservoir (Norwich),Norwich,"LAKE, FRESHWATER",91.15,Acres,260.0,1100003,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,19035.802661129,3970596.34400989
181.0,2020,CT4200-00-4-L2_01,Somersville Pond (Somers),Near eastern border of Somers with Enfield; pond is south of intersection of Rte 190 and Rte 186.,"LAKE, FRESHWATER",40.9,Acres,2674.0,1080205,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Potential Drinking Water Supplies,Not Assessed,No,23848.8380140944,1784766.78621252
182.0,2020,CT6005-04-1-L2_01,South Pond (Salisbury),"Northwest corner of Salisbury, at the end of Mt. Riga Road (western most lobe of lake in New York). Downstream of Riga Lake, on private property managed by Mt. Riga, Inc.","LAKE, FRESHWATER",123.0,Acres,2678.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,20511.7335995572,5357373.98799949
