indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Health conditions among children under age 18,Cvurrent asthma among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,0.0,Under 18 years,1.1,2007-2009,7.0,Under 18 years,0.0,8.3,0.3,*
Health conditions among children under age 18,Current asthma among persons under 18 years,3.0,"Percent of children, crude",1,Percent of poverty level,3.0,0-4 years,5.3,2010-2012,11.0,Under 18 years,0.0,8.7,0.3,*
Health conditions among children under age 18,Current asthma among persons utnder 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,0.0,Under 18 years,5.3,2011-2013,6.0,Under 18 years,0.0,8.3,0.3,*
Health conditions among children under age 18,Current asthma among persons under 18 yeasr,1.0,"Percent of children, crude",1,Percent of poverty level,0.0,Under 18 years,1.22,2000-2002,10.0,Under 18 years,0.0,8.3,0.4,*
Health conditions among children under age 18,Current asthma amogn persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,Under 18 years,0.0,2013-2015,13.0,Under 18 years,0.0,7.9,0.4,*
Health conditions among children under age 18,Current asthma among persons under 18 years,3.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,5.3,2014-2016,13.0,Under 18 years,0.0,7.9,0.4,*
Health conditions among children under age 18,Current asthma among persons under 18 yeras,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,5.3,2015-2017,2.0,Under 18 years,0.0,7.6,0.4,*
Health conditions among children under age 18,Current asthma among personsj under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,10-17 years,5.3,2000-2002,14.0,Under 18 years,0.0,7.5,0.4,*
Health conditions among children under age 18,Current asthma among persons under 18 yexars,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,5.4,1997-1999,1.0,Under 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,bCurrent asthma among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,0-4 years,5.4,2000-2002,11.0,Under 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Current asthma among persons uner 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,0.0,10-17 years,5.4,2003-2005,5.0,Under 18 years,0.0,7.9,0.3,*
Health conditions among children under age 18,Currenta sthma among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,5-17 years,0.0,2006-20y08,4.0,Under 18 years,0.0,7.6,0.4,*
Health conditions among children under age 18,Current asthma among perosns under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,5.4,2007-2009,3.0,Under 18 years,0.0,8.4,0.4,*
Health conditions among children under age 18,Current asthma amohng persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,Under 18 years,5.4,2003-2005,6.0,Under 18 years,0.0,8.2,0.4,*
Health conditions among children under age 18,Current asthma among persons undre 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,0.0,Under 18 years,1.21,2009-2011,2.0,Under 18 years,0.0,7.8,0.3,*
Health conditions among children under age 18,Current asthma among persons under 1h8 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,0-4 years,5.4,2000-2002,8.0,Under 18 years,0.0,7.0,0.3,*
Health conditions among children under age 18,Current asthma amfong persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,10-17 years,0.0,2000-2002,9.0,Under 18 years,0.0,6.7,0.3,*
Health conditions among children under age 18,Current asthma among peirsons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,5.4,2012-2014,9.0,Under 18 years,0.0,6.9,0.4,*
Health conditions among children under age 18,Current asthma among persons under 18 years,3.0,"Percent of children, crude",1,Percent of poverty level,1.0,0-4 years,1.2,2015-2017,11.0,Under 18 years,0.0,6.9,0.3,*
Health conditions among children under age 18,Current asthma among persons udnder 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,5.4,1997-1999,12.0,Under 18 years,0.0,7.0,0.3,*
Health conditions among children under age 18,Current asthma azmong persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,Under 18 years,5.4,2011-2013,13.0,Under 18 years,0.0,6.8,0.3,*
Health conditions among children under age 18,Current asthma among ersons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,Under 18 years,5.4,2016-2018,6.0,Under 18 years,0.0,6.3,0.3,*
Health conditions among children under age 18,Current asthma among persons uder 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,2.0,Under 18 years,6.1,1997-1999,5.0,Under 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Current asthma among persons under 18 yeras,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,5-17 years,1.22,2000-2002,11.0,Under 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Curernt asthma among persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,0.0,Under 18 years,6.1,2003-2005,11.0,Under 18 years,0.0,9.0,0.2,*
Health conditions among children under age 18,Current asthm aamong persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,0.0,0-4 years,6.1,2006-2008,2.0,Under 18 years,0.0,9.7,0.2,*
Health conditions among children under age 18,Current asthma among persons under 18 years***,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Under 18 years,6.1,2007-2009,9.0,Under 18 years,0.0,9.7,0.2,*
Health conditions among children under age 18,Current asthma aumong persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Under 18 years,1.22,2008-2010,2.0,Under 18 years,0.0,9.8,0.2,*
Health conditions among children under age 18,Current asthma amonbg persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,3.0,Under 18 years,1.1,2009-2011,3.0,Under 18 years,0.0,9.7,0.2,*
Health conditions among children under age 18,Current asthma among persons unedr 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Under 18 years,6.1,2014-2016,8.0,Under 18 years,0.0,9.6,0.2,*
Health conditions among children under age 18,Current asthma among persons under 18 years***,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,2.0,Under 18 years,6.1,2010-2012,9.0,Under 18 years,0.0,9.2,0.2,*
Health conditions among children under age 18,Current asthma among percsons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Under 18 years,1.22,2012-2014,1.0,Under 18 years,0.0,8.9,0.2,*
Health conditions among children under age 18,Current atshma among persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,0.0,Under 18 years,6.1,2013-2015,12.0,Under 18 years,0.0,8.5,0.2,*
Health conditions among children under age 18,Current asthbma among persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Under 18 years,6.1,2014-2016,2.0,Under 18 years,0.0,8.5,0.2,*
Health conditions among children under age 18,Current asthma among persons undekr 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Under 18 years,0.0,2015-2017,2.0,Under 18 years,0.0,8.5,0.2,*
Health conditions among children under age 18,Current asthma amonvg persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Under 18 years,6.1,2000-2002,14.0,Under 18 years,0.0,8.2,0.2,*
Health conditions among children under age 18,Curent asthma among persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,10-17 years,6.11,1997-1999,2.0,Under 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Current astha among persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,4.0,Under 18 years,6.11,2000-2002,9.0,Under 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Current asthma among persons under 18j years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,3.0,10-17 years,1.1,2003-2005,9.0,Under 18 years,0.0,8.0,0.2,*
Health conditions among children under age 18,Current asthma among personsv under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,3.0,Under 18 years,6.11,2006-2008,7.0,Under 18 years,0.0,8.3,0.3,*
Health conditions among children under age 18,Current asthma among persons under 18 yeras,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,2.0,Under 18 years,6.11,2007-2009,13.0,Under 18 years,0.0,8.4,0.3,*
Health conditions among children under age 18,Current asthma amon gpersons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Under 18 years,1.1,2015-2017,6.0,Under 18 years,0.0,8.4,0.3,*
Health conditions among children under age 18,Current asthma among persons undr 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Under 18 years,6.11,2009-2011,1.0,Under 18 years,0.0,8.2,0.3,*
Health conditions among children under age 18,Current asthma among eprsons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,6.0,Under 18 years,0.0,1997-1999,8.0,Under 18 years,0.0,8.1,0.2,*
Health conditions among children under age 18,Currnet asthma among persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,0.0,10-17 years,6.11,2008-2010,9.0,Under 18 years,0.0,7.7,0.2,*
Health conditions among children under age 18,Current asthma among persons under 1m8 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,10-17 years,6.11,2012-2014,3.0,Under 18 years,0.0,7.7,0.3,*
Health conditions among children under age 18,Crrent asthma among persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,0.0,Under 18 years,6.11,2009-2011,11.0,Under 18 years,0.0,7.4,0.3,*
Health conditions among children under age 18,Current asthma among persons under 1a8 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,3.0,Under 18 years,6.11,2014-2016,5.0,Under 18 years,0.0,7.5,0.3,*
Health conditions among children under age 18,Current asthma among persons under1 8 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,4.0,Under 18 years,6.11,2000-2002,13.0,Under 18 years,0.0,7.3,0.3,*
Health conditions among children under age 18,Current asthm among persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Under 18 years,1.22,2016-2018,12.0,Under 18 years,0.0,7.2,0.3,*
Health conditions among children under age 18,Current asthma amongp ersons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Male,0.0,1997-1999***,1.0,Under 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Current asthma among personsg under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,0-4 years,6.12,2000-2002,2.0,Under 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Current asthma among personps under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,0-4 years,1.1,2003-2005,13.0,Under 18 years,0.0,11.4,0.4,*
Health conditions among children under age 18,Current asthma among persons under 18years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,5-9 years,1.1,2006-2008,5.0,Under 18 years,0.0,12.4,0.5,*
Health conditions among children under age 18,Current asthma among persons uner 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,3.0,Under 18 years,6.12,2q007-2009,5.0,Under 18 years,0.0,12.1,0.5,*
Health conditions among children under age 18,Current asthm among persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,10-17 years,6.12,2008-2010,2.0,Under 18 years,0.0,12.0,0.4,*
Health conditions among children under age 18,Current asthma among persons under 81 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Under 18 years,0.0,2009-2011,8.0,Under 18 years,0.0,12.0,0.4,*
Health conditions among children under age 18,Currnt asthma among persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,0.0,Under 18 years,1.1,2010-2012,6.0,Under 18 years,0.0,11.9,0.4,*
Health conditions among children under age 18,Current asthma among persons under 18 yeasr,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Under 18 years,6.12,2011-2013,11.0,Under 18 years,0.0,11.4,0.3,*
Health conditions among children under age 18,Current asthpma among persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Male,1.2,2012-2014,8.0,Under 18 years,0.0,10.6,0.3,*
Health conditions among children under age 18,Current asthma among persons under1 8 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,10-17 years,0.0,2013-2015,13.0,Under 18 years,0.0,10.2,0.3,*
Health conditions among children under age 18,Current asthma among persongs under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Under 18 years,6.12,2014-2016,2.0,Under 18 years,0.0,10.1,0.3,*
Health conditions among children under age 18,Current asthma among persons under 18 years,3.0,"Percent of children, crude",1,Health insurance status at the time of interview,3.0,10-17 years,6.12,2015-2017,3.0,Under 18 years,0.0,10.4,0.4,*
