objectid,cyclevalue,id_three_zero_five_b,namevalue,locationvalue,milessquare,marineaquaticlife,recreation,fishconsumption,shellfish,shape_area,shape_length
190.0,2008,CT-W2_009,"LIS WB Shore - Compo Cove, SISP, Westport","See Map for Boundaries. Western portion of LIS from Compo Cove to Burying Hill Road area (includes Sherwood Island State Park Beach, Sherwood Point, Sherwood Millpond outlet, Greens Farms Brook outlet) out approximately 1000 ft offshore, Westport.",0.32394672,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,9031116.49475098,19624.6261909901
191.0,2008,CT-W2_018,"LIS WB Shore - Westcott Cove, Stamford","See Map for Boundaries. Western portion of LIS from near intersection of Hobson St and Sea Beach Drive to Greenway Island area of outer Cove Harbor (includes West Beach, Cummings Beach, Vincent Island) out approximately 1000 ft offshore, Stamford.",0.36631344,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,10212232.6795959,30453.3335211611
192.0,2008,CT-E2_017,"LIS EB Shore - Rocky Neck (Fourmile Rvr), Old Lyme","See Map for Boundaries. Eastern portion of LIS from Hatchett Point to Seal Rock (Great Neck) Includes Rocky Neck State Park Beach, out approximately 1000 ft offshore.",0.53066426,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,14794070.7501831,31440.7690127884
193.0,2008,CT-E2_016,"LIS EB Shore - Pattagansett River Mouth, East Lyme","See Map for Boundaries. Eastern portion of LIS from Seal Rock (Great Neck) to Point East of Griswald Island (entire mouth of Pattagansett River, including area around Watts Island), out approximately 1000 ft offshore.",0.32228638,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,8984828.84356689,45121.3071410528
194.0,2008,CT-W4_004,LIS WB Offshore - Darien,See Map for Boundaries. Western portion of LIS from 50ft contour to CT/NY State line.,16.76666636,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",467427831.506134,90155.7593096173
195.0,2008,CT-W4_003,LIS WB Offshore - Norwalk,See Map for Boundaries. Western portion of LIS from 50ft contour to CT/NY State line.,15.05978456,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",419842698.091705,101854.417648832
196.0,2008,CT-W4_002,LIS WB Offshore - Fairfield,See Map for Boundaries. Western portion of LIS from 50ft contour to CT/NY State line.,26.40297741,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",736072765.605438,114464.039438437
197.0,2008,CT-W2_008,"LIS WB Shore - Green Farms, Westport","See Map for Boundaries. Western portion of LIS from Burying Hill Road to Beachside Lane area (includes Burying Hill Beach, Frost Point) out approximately 1000 ft offshore, Westport.",0.23650811,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,6593467.73620605,15197.4134739278
198.0,2008,CT-W3_015-I,"LIS WB Midshore - Captain Harbor, Greenwich","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Byrant Point at Connecticut/New York state line, to Brush Island, Captain Harbor area), out to just beyond Great Captain Island to Wee Captain Island, Greenwich.",3.4218329,Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,95395226.5901184,69674.4477115555
199.0,2008,CT-W2_021,"LIS WB Shore - Greenwich Cove, Greenwich","See Map for Boundaries. Western portion of LIS from Todd Point to Greenwich Point (includes Elias Point, Greenwich Island, Pelican Island, Flat Neck Point, Greenwich Cove) out approximately 1000 ft offshore, Greenwich.",1.24361268,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,34669931.7434387,90586.7987119607
200.0,2008,CT-C1_022,"LIS CB Inner - West River (Upper), West Haven","See Map for Boundaries. Central portion of LIS, Inner Estuary, from SA/SB water quality line at Route 1 crossing, US past Route 34 crossing to southside of Edgewood Avenue (near Edgewood Park Pond), West Haven.",0.06260362,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,1745288.90936279,29827.1772992499
203.0,2008,CT-C4_005,LIS CB Offshore - Milford,See Map for Boundaries. Central portion of LIS from 50ft contour to CT/NY State line.,24.24753559,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",675982496.327271,119197.018145481
204.0,2008,CT-C4_004,LIS CB Offshore - West Haven,See Map for Boundaries. Central portion of LIS from 50ft contour to CT/NY State line.,34.33230229,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",957129656.185486,140024.546744541
205.0,2008,CT-W4_001,LIS WB Offshore - Bridgeport,See Map for Boundaries. Western portion of LIS from 50ft contour to CT/NY State line.,19.76713828,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",551076187.852844,102427.967850523
208.0,2008,CT-C1_006,"LIS CB Inner - East and Neck Rivers, Guilford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth of East River at outlet into Guilford Harbor, US to saltwater limit at Planter Pond outlet (includes Neck River from mouth to above River Edge Farms Road, Guilford.",0.15057521,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,4197796.13067627,89946.8589315579
209.0,2008,CT-C1_023-SB,"LIS CB Inner - Mill River (mouth), New Haven/Hamden","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth at confluence with Quinnipiac River (Chapel Street crossing), New Haven, US to Footbridge crossing (just US of East Rock Road crossing), Hamden.",0.06827618,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,1903430.7755127,31263.3745932702
210.0,2008,CT-W2_014,"LIS WB Shore - Wilson Cove, Farm Creek, Norwalk","See Map for Boundaries. Western portion of LIS from Norton Point to just west of Hoyt Island (includes Rowayton Beach, Bell Island, Wilson Point) out approximately 1000 ft offshore, Norwalk.",0.42416185,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,11824953.7622986,35894.6173205039
