objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_dw_use_usename,impaired,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_attainment,shape_area(double precision),shape_length(double precision)
7,2020,CT7409-00-1-L3_01,Pembroke Lakes (Bridgeport),Northwest Ridgefield.,"LAKE, FRESHWATER",15.79,Acres,1756.0,1100006,88,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drining Water,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Evaluated,119447.38494873,3245.84224242884
8,2020,CT7409-00-1-L3_01,Pembroke Lakes (Bridgeport),Northwest Ridgefield.,"LAKE, FRESHWATER",85.9,Acres,1756.0,2030101,50,INLAND SURFACE WATERSn CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Existing or proposed drinking water,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Assessed,3741697.38290405,3245.84224242884
9,2020,CT7409-00-1-L3_01,Success Lake (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.","LAKE, FRESHWATER",85.9,Acres,2334.0,1100006,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Existing or proposed drinking water,Yes,Not Supporting,Insufficient Information,Insufficient Information,Fully Supporting,4162510.7901001,14645.9219289448
11,2020,CT7409-00-1-L3_01,Success Lake (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.","LAKE, FRESHWATER",15.79,Acres,2798.0,1100006,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Evaluated,687951.067504883,4462.58250687571
12,2020,CT7103-00-2-L4_01,Stillman Pond (Bridgeport),"Upstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lake.","LAKE, FRESHWATER",4.97,Acres,2759.0,1100006,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Insufficient Information,Not Assessed,Not Supporting,Not Evaluated,216249.040771484,3312.56720850954
13,2020,CT5200-00-4-L2_01,Hanover Pond (Meriden),"Southwest corner of Meriden, impoundment along Quinnipiac River below Gorge.","LAKE, FRESHWATER",70.53,Acres,1148.0,1100004,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Supporting,Not Supporting,Not Supporting,Not Evaluated,3072259.65942383,11639.4607225251
20,2020,CT5111-09-1-L1_01,Cedar Pond (North Branford),"South of Lake Gaillard, North Branford, just upstream of Linsley Pond along Pisgah Brook (trib to Branford River).","LAKE, FRESHWATER",21.58,Acres,456.0,1100004,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Evaluated,940092.739868164,4467.48722362686
21,2020,CT5111-09-1-L2_01,Linsley Pond (Branford/North Branford),"South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town line.","LAKE, FRESHWATER",22.92,Acres,1635.0,1100004,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Evaluated,998367.840026855,4155.48366402287
22,2020,CT5305-00-3-L1_01,Edgewood Park Pond (New Haven),"Along eastern bank of West River, just US of Chapel St, New Haven.","LAKE, FRESHWATER",2.72,Acres,823.0,1100004,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Insufficient Information,Not Supporting,Insufficient Information,Not Evaluated,118638.844848633,1654.87117047857
23,2020,CT3700-00-2+L1_01,West Thompson Lake (Thompson),Impoundment of Quinebaug River in Thompson.,"LAKE, FRESHWATER",189.28,Acres,3467.0,1100001,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Evaluated,8245167.04333496,24334.3122221123
31,2020,CT3700-00-5+L4_01,Aspinook Pond (Canterbury/Griswold/Lisbon),"Impoundment of Quinebaug River, parts in Canterbury, Griswold, & Lisbon (DS of Segment 02 in Quinebaug River)","LAKE, FRESHWATER",308.86,Acres,69.0,1100001,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Fully Supporting,Not Supporting,Insufficient Information,Not Evaluated,13453792.1279297,64711.4490705672
35,2020,CT2205-02-1-L1_01,Dodge Pond (East Lyme),"Near Niantic village center, west side of Route 161, north of Route 156, East Lyme.","LAKE, FRESHWATER",29.59,Acres,743.0,1100003,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Not Classified For Drinking Water,Yes,Not Assessed,Not Assessed,Not Supporting,Not Evaluated,1288826.92089844,5134.89383570469
