reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc,object_id
712285.0,2020/12/10 05:00:00+00,AGAINST THE GRAIN,401 E MAIN ST,40202.0,2020/12/10 05:00:00+00,4,SURVEY,1503.0
712287.0,2020/12/10 05:00:00+00,OLD FORESTER GEORGE'S,119 W MAIN ST,40202.0,2020/12/10 05:00:00+00,4,SURVEY,1504.0
712456.0,2020/12/10 05:00:00+00,KROGER L-739,12450 LAGRANGE RD,40245.0,2020/12/10 05:00:00+00,4,SURVEY,1505.0
712504.0,2020/12/04 05:00:00+00,TIPTON AND UNROE,8017 BARDSTOWN ROAD,40291.0,2020/12/04 05:00:00+00,4,SURVEY,1506.0
711676.0,2020/12/08 05:00:00+00,SUBWAY,4801 OUTER LOOP,40219.0,2020/12/08 05:00:00+00,4,SURVEY,1507.0
713487.0,2020/12/08 05:00:00+00,CHUCK AND MIKE'S TENNIS SHOP,1321 HERR LN,40202.0,2020/12/08 05:00:00+00,4,SURVEY,1508.0
712510.0,2020/12/04 05:00:00+00,FAMILY DENITRY,8009 BARDSTOWN ROAD,40291.0,2020/12/04 05:00:00+00,4,SURVEY,1509.0
711677.0,2020/12/08 05:00:00+00,TIKKA CHICKEN & GYRO,4801 OUTER LOOP FC5,40219.0,2020/12/08 05:00:00+00,4,SURVEY,1510.0
713488.0,2020/12/08 05:00:00+00,DEKA LASH,"1321 HERR LN, STE 155",40202.0,2020/12/08 05:00:00+00,4,SURVEY,1511.0
713489.0,2020/12/08 05:00:00+00,SUMMER CLASSICS HOME-LOUISVILLE,"1321 HERR LN, STE 160",40202.0,2020/12/08 05:00:00+00,4,SURVEY,1512.0
713490.0,2020/12/08 05:00:00+00,TUNIE'S WOMEN'S CLOTHING,"1201 HERR LN, STE 150",40202.0,2020/12/08 05:00:00+00,4,SURVEY,1513.0
713491.0,2020/12/08 05:00:00+00,LOUISVILLE TILE,"1201 HERR LN, STE 120",40202.0,2020/12/08 05:00:00+00,4,SURVEY,1514.0
713492.0,2020/12/08 05:00:00+00,CLATER JEWELERS DIAMOND CENTER,"1201 HERR LN, STE 170",40202.0,2020/12/08 05:00:00+00,4,SURVEY,1515.0
713493.0,2020/12/08 05:00:00+00,BLISS HOME FURNITURE,1108 LYNDON LN,40202.0,2020/12/08 05:00:00+00,4,SURVEY,1516.0
