facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,98348.0,STAYBRIDGE SUITES,11711 GATEWORTH WAY,LOUISVILLE,KY,40299,22,2015/09/15 00:00:00,67.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,98617.0,ALOFT LOUISVILLE DOWNTOWN HOTEL,102 W MAIN ST,LOUISVILLE,KY,40202,26,2015/11/03 00:00:00,68.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,98884.0,RED CARPET INN,1640 S. HURSTBOURNE PKWY,LOUISVILLE,KY,40220,29,2015/12/14 00:00:00,69.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,98990.0,FAIRFIELD INN AND SUITES,1220 KENTUCKY MILLS DR,LOUISVILLE,KY,40299,22,2016/01/25 00:00:00,70.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,99138.0,DRURY INN,9597 BROWNSBORO RD,LOUISVILLE,KY,40241,21,2016/01/26 00:00:00,71.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,99510.0,HOLIDAY INN EXPRESS,1921 BISHOP LN,LOUISVILLE,KY,40218,27,1988/06/02 00:00:00,72.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,99629.0,HOME 2 SUITES,1150 FOREST BRIDGE RD,LOUISVILLE,KY,40223,25,2016/04/08 00:00:00,73.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,99630.0,HAMPTON INN,1150 FOREST BRIDGE RD,LOUISVILEL,KY,40255,115,2016/04/08 00:00:0f0,74.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,100793.0,LAQUINTA INN & SUITES,1501 ALLIANT AVENUE,JEFFERSONTOWN,KY,40299,22,2016/08/26 00:00:00,75.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,101254.0,CLARKE'S MOTEL,4700 DIXIE HWY,LOUISVILLE,KY,40216,23,2016/11/10 00:00:00,76.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,101381.0,LOUISVILLE MARRIOTT EAST,1903 EMBASSY SQUARE BLVD,LOUISVILLE,KY,40245,29,2016/12/02 00:00:00,77.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,101537.0,SUPER 8,101 CENTRAL AVE,LOUISVILLE,KY,40209,23,2017/01/05 00:00:00,78.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,101569.0,ALOFT LOUISVILLE EAST,10700 WESTPORT RD,LOUISVILLE,KY,40241,21,2017/01/11 00:00:00,79.0
