facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
695,SWIMMING AREA,191.0,SPA,90171.0,HOLIDAY INN HURSTBOURNE,1325 S. HURSTBOURNE PARKWAY,LOUISVILLE,KY,40222,29,2014/05/29 00:00:00,7.0
695,SWIMMING AREA,198.0,SWIMMING POOL,95100.0,SKYVIEW PARK SPLASH PAD,2866 WATTERSON TRAIL,JEFFERSONTOWN,KY,40299,22,2014/07/01 00:00:00,8.0
695,SWIMMING AREA,197.0,WADING POOL,43221.0,SIGNATURE POINT,1200 HELM PLACE LANE,JEFFERSONTOWN,KY,40299,22,2014/06/06 00:00:00,41.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,95523.0,SIGNATURE POINT,1200 HELM PLACE LANE,LOUISVILLE,KY,40299,22,2014/07/10 00:00:00,1.0
695,SWIMMING AREA,198.0,SWIMMING POOL,78036.0,FOUNTAIN SQUARE APT,3600 FOUNTAIN DR,LOUISVILLE,KY,40218,27,2014/07/03 00:00:00,11.0
695,SWIMMING AREA,277.0,SWIMMING POOL,95699.0,CLEARWATER FARM APARTMENTS,5401 LOWERFIELD DR,LOUISVILLE,KY,40219,27,2014/07/08 00:00:00,16.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,77941.0,CLEARWATER FARM APARTMENTS,5401 LOWERFIELD DR,LOUISVILLE,KY,40219,27,2014/07/08 00:00:00,82.0
695,SWIMMING AREA,192.0,SWIMMING POOL,90786.0,HURSTBOURNE ESTATES,10405 WATERMARK PLACE,LOUISVILLE,KY,40223,29,2015/07/06 00:00:00,82.0
695,SWIMMING AREA,191.0,WADING POOL,95995.0,THE CLUBHOUSE,2330 CRITTENDEN DRIVE,LOUISVILLE,KY,40217,28,1988/06/07 00:00:00,1.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,96037.0,ASHBY GREEN,7616 ASHBY LANDINGS DR,LOUISVILLE,KY,40272,23,2015/08/10 00:00:00,18.0
695,SWIMMING AREA,198.0,SWIMMING POOL,96143.0,APPLEGATE FARM APARTMENT,5503 FERNFIELD DR,LOUISVILLE,KY,40219,27,2014/10/22 00:00:00,3.0
695,SWIMMING AREA,192.0,SWIMMING POOL,96206.0,VALHALLA VISTA,15300 SHELBYVILLE RD,LOUISVILLE,KY,40245,25,1988/06/07 00:00:00,21.0
