facilitytype,facilitytypedescription,subtype,subtypedescription,permitnumber,premisename,premiseaddress,premisecity,premisestate,premisezip,inspection_area,openingdate,object_id
695,SWIMMING AREA,191.0,SWIMMING POOL,70123.0,LAKE FOREST-PALMER POOL,2110 ARNOLD PALMER BLVD,LOUISVILLE,KY,40245,25,2003/07/23 00:00:00,379.0
695,SWIMMING AREA,191.0,SWIMMING POOL,70161.0,HILTON GARDEN INN,2735 CRITTENDEN DRIVE,LOUISVILLE,KY,40209,23,2003/07/30 00:00:00,380.0
695,SWIMMING AREA,191.0,SWIMMING POOL,71467.0,COURTYARD BY MARRIOTT,10200 CHAMPION FARMS DR,LOUISVILLE,KY,40241,21,2004/04/12 00:00:00,381.0
695,SWIMMING AREA,199.0,WADING POOL,71908.0,LOCUST CREEK,18500 LONGVIEW PARK LN,LOUISVILLE,KY,40245,25,2004/06/07 00:00:00,382.0
695,SWIMMING AREA,192.0,SWIMMING / DIVING POOL,71909.0,LOCUST CREEK,18500 LONGVIEW PARK LN,LOUISVILLE,KY,40245,25,2004/06/07 00:00:00,383.0
695,SWIMMING AREA,191.0,SWIMMING POOL,71914.0,MARRIOTT LOUISVILLE DOWNTOWN,280 W JEFFERSON ST,LOUISVILLE,KY,40202,24,2007/09/25 00:00:00,384.0
695,SWIMMING AREA,191.0,SWIMMING POOL,71915.0,CROSSINGS AT COOPER CHAPEL,6518 BROOK BEND WAY,LOUISVILLE,KY,40229,27,2004/08/26 00:00:00,385.0
695,SWIMMING AREA,191.0,SWIMMING POOL,71923.0,MAGNOLIA RIDGE CONDOMINIUMS,9510 MAGNOLIA RIDGE DR,LOUISVILLE,KY,40291,22,2004/06/08 00:00:00,386.0
695,SWIMMING AREA,191.0,SWIMMING POOL,72358.0,GARDEN GATE APTS,11803 DUANE POINTE CIR,LOUISVILLE,KY,40243,22,2004/08/06 00:00:00,387.0
695,SWIMMING AREA,197.0,SPA,72868.0,RESIDENCE INN,333 E. MARKET ST,LOUISVILLE,KY,40202,28,2004/11/29 00:00:00,388.0
695,SWIMMING AREA,191.0,SWIMMING POOL,72869.0,RESIDENCE INN,333 E. MARKET ST,LOUISVILLE,KY,40202,28,2004/11/29 00:00:00,389.0
695,SWIMMING AREA,191.0,SWIMMING POOL,72916.0,FALCON CREST,3800 FALCON CREST DR,LOUISVILLE,KY,40219,27,2004/12/03 00:00:00,390.0
695,SWIMMING AREA,191.0,SWIMMING POOL,73219.0,HAMPTON INN & SUITES LOUISVILLE EAST,1451 ALLIANT AVE,LOUISVILLE,KY,40299,22,2005/01/20 00:00:00,391.0
695,SWIMMING AREA,191.0,SWIMMING POOL,73376.0,BLANKENBAKER CROSSINGS APTS,2515 SHINING WATER DR,LOUISVILLE,KY,40299,22,2005/02/10 00:00:00,392.0
695,SWIMMING AREA,191.0,SWIMMING POOL,73377.0,SLEEP INN,3330 PRESTON HWY,LOUISVILLE,KY,40213,28,2005/02/16 00:00:00,393.0
695,SWIMMING AREA,192.0,SWIMMING / DIVING POOL,74542.0,U OF L NATATORIUM,2216 S. FLOYD ST,LOUISVILLE,KY,40208,23,2005/08/19 00:00:00,394.0
695,SWIMMING AREA,191.0,SWIMMING POOL,75605.0,NORTON COMMONS - JIMSON POOL,9400 FEATHERBELL,LOUISVILLE,KY,40059,21,2006/03/01 00:00:00,395.0
695,SWIMMING AREA,191.0,SWIMMING POOL,75609.0,HOMEWOOD SUITES,9401 HURSTBOURNE TRACE,LOUISVILLE,KY,40222,29,2006/03/01 00:00:00,396.0
695,SWIMMING AREA,191.0,SWIMMING POOL,75896.0,THE SPRINGS OF GLENMARY VILLAGE,10420 CLYDE MOORE BLVD.,LOUISVILLE,KY,40291,22,2006/04/11 00:00:00,397.0
695,SWIMMING AREA,191.0,SWIMMING POOL,77038.0,BRADFORD COMMONS,2700 BRADFORD COMMONS DR,LOUISVILLE,KY,40299,22,2006/10/16 00:00:00,398.0
695,SWIMMING AREA,198.0,SPLASH PAD,77662.0,LOUISVILLE ZOO GLACIER RUN SPLASH PARK,1100 TREVILIAN WAY,LOUISVILLE,KY,40213,28,2007/02/19 00:00:00,399.0
695,SWIMMING AREA,198.0,SPLASH PAD,77664.0,METRO PARKS IROQUOIS PARK - SUNNY HILL REST,1000 AMPHITHEATER RD,LOUISVILLE,KY,40214,23,2007/02/20 00:00:00,400.0
695,SWIMMING AREA,199.0,WADING POOL,103787.0,WILLOW GREEN,7121 FERN RIDGE RD,LOUISVILLE,KY,40228,27,1988/06/07 00:00:00,401.0
695,SWIMMING AREA,191.0,SWIMMING POOL,103788.0,WILLOW GREEN,7121 FERN RIDGE RD,LOUISVILLE,KY,40228,27,2018/09/28 00:00:00,402.0
695,SWIMMING AREA,191.0,SWIMMING POOL,103805.0,RIVERPORT FAMILY RESIDENCES,3400 CATHE DYKSTRA WAY,LOUISVILLE,KY,40216,23,1988/06/07 00:00:00,403.0
695,SWIMMING AREA,191.0,SWIMMING POOL,103895.0,SHAKES RUN,16901 SHAKES CREEK DR,LOUISVILLE,KY,40223,22,1988/06/07 00:00:00,404.0
695,SWIMMING AREA,191.0,SWIMMING POOL,104020.0,AQUA-TOTS SWIM CLUB,117 BLANKENBAKER PKWY,LOUISVILLE,KY,40223,25,2018/04/05 00:00:00,405.0
695,SWIMMING AREA,191.0,SWIMMING POOL,104039.0,RESIDENCE INN,401 BULLITT LANE,LOUISVILLE,KY,40222,26,2018/06/08 00:00:00,406.0
695,SWIMMING AREA,195.0,WATERSLIDE,112598.0,KY KINGDOM - MEGA WEDGIE,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/27 00:00:00,407.0
695,SWIMMING AREA,198.0,SPLASH PAD,104103.0,METRO PARKS SHEPPARD PARK,1601 MAGAZINE ST,LOUISVILLE,KY,40203,24,2018/06/04 00:00:00,408.0
695,SWIMMING AREA,191.0,SWIMMING POOL,104159.0,SWIM LABS #1 LEFT,3572 SPRINGHURST BLVD,LOUISVILLE,KY,40241,21,2018/11/06 00:00:00,409.0
695,SWIMMING AREA,191.0,SWIMMING POOL,104160.0,SWIM LABS #2 MIDDLE,3572 SPRINGHURST BLVD,LOUISVILLE,KY,40241,21,2018/11/06 00:00:00,410.0
695,SWIMMING AREA,191.0,SWIMMING POOL,104161.0,SWIM LABS #3 RIGHT,3572 SPRINGHURST BLVD,LOUISVILLE,KY,40241,21,2018/11/06 00:00:00,411.0
695,SWIMMING AREA,191.0,SWIMMING POOL,104162.0,SAFE SPLASH SWIM SCHOOL / LAP POOL,3572 SPRINGHURST BLVD,LOUISVILLE,KY,40241,21,2019/03/07 00:00:00,412.0
695,SWIMMING AREA,191.0,SWIMMING POOL,112599.0,KY KINGDOM - BIG SURF WAVE POOL,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/27 00:00:00,413.0
695,SWIMMING AREA,191.0,SWIMMING POOL,104185.0,YMCA - REPUBLIC BANK FOUNDATION,1720 WEST BROADWAY,LOUISVILLE,KY,40203,28,1988/06/07 00:00:00,414.0
695,SWIMMING AREA,195.0,WATERSLIDE,112600.0,KY KINGDOM - PLUMMET SUMMIT SLIDE,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/27 00:00:00,415.0
695,SWIMMING AREA,197.0,SPA,104231.0,THE EDGE,555 S 4TH ST,LOUISVILLE,KY,40202,24,2019/05/24 00:00:00,416.0
