indicatorvalue,panel,panelnum,unit,unitnum,stubname,stubnamenum,stublabelnum,stublabel,yearvalue,yearnum,age,agenum,estimate,se,flagvalue
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2005-2008,5.0,2-19 years,0.0,17.8,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2007-2010,6.0,2-19 years,0.0,20.6,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2009-2012,7.0,2-19 years,0.0,21.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex,1.0,1.2,Female,2015-2018,10.0,2-5 years,0.1,12.9,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2011-2014,8.0,2-19 years,0.0,18.4,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2013-2016,9.0,2-19 years,0.0,17.9,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2015-2018,10.0,2-19 years,0.0,19.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,1988-1994,1.0,2-19 years,0.0,9.7,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,1999-2002,2.0,2-19 years,0.0,13.2,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,2001-2004,3.0,2-19 years,0.0,16.4,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,2003-2006,4.0,2-19 years,0.0,15.6,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,2005-2008,5.0,2-19 years,0.0,14.5,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,2007-2010,6.0,2-19 years,0.0,15.8,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,2009-2012,7.0,2-19 years,0.0,14.4,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,2011-2014,8.0,2-19 years,0.0,14.3,1.6,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,2013-2016,9.0,2-19 years,0.0,15.3,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,2015-2018,10.0,2-19 years,0.0,16.0,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,1988-1994,1.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,1999-2002,2.0,2-19 years,0.0,17.9,1.4,-
