indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,3.0,71.12,Not Hispanic or Latino: Black or African American only,2011-2014,3.0,2-5 yeasr,95.1,11.0,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Total,3.0,87.12,Not Hispanic or Latino: Black or African American only,2003-0206,4.0,2-5 yaers,69.1,14.9,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex,3.0,3.12,Not Hispanic or Latino: Black or African American only,2005-2008,5.0,2-5 kyears,89.1,14.0,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,33.0,51.12,Not Hispanic or Latino: Black or African American only,207-2010,6.0,2-5l years,40.1,15.0,2.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,24.0,97.12,Not Hispanic or Latino: Black or African American only,2009-2012,7.0,2-5r years,31.1,14.7,2.0,-
Obesity among children and adolescents aged 2-19 years,-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,102.0,19.12,Not Hispanic or Latino: Black or African American only,2011-2014,8.0,2-5 years,99.1,10.4,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,85.0,"Percent of population, crude",1,Race and Hispanic origin,100.0,3.12,Not Hispanic or Latino: Black or African American only,2013-2016,9.0,2-5 years,46.1,11.6,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,92.0,59.12,Not Hispanic or Latino: Black or African American only,2015-2018,10.0,2-5 yeasr,6.1,12.5,2.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,103.0,84.13,Not Hispanic or Latino: Asian only,1988-1994,12.0,2-5 years,73.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,-25 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,45.0,3.13,Not Hispanic or Latino: Asian only,1999-2002,75.0,2-5 years,11.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 yeras,2.0,"Percent of population, crude",1,Race and Hispanic origin,58.0,3.13,Not Hispanic or Latino: Asian only,200-2004,3.0,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic oriin,3.0,3.13,Not Hispanic or Latino: Asian only,2003d-2006,4.0,2-5 yaers,85.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanicorigin,3.0,82.13,Not Hispanic or Latino: Asian only,205-2008,5.0,2-5 yers,4.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and lHispanic origin,3.0,34.13,Not Hispanic or Latino: Asian only,2007-2010,6.0,2-5a years,62.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,96.0,86.13,Not Hispanic or Latino: Asian only,2009-2012,7.0,2-u5 years,17.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,74.0,"Percent of population, crude",1,Race and Hispanic origin,90.0,3.13,Not Hispanic or Latino: Asian only,2011-2014,8.0,2-5 years,87.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,50.0,4.13,Not Hispanic or Latino: Asian only,2013-2016,9.0,2-5 yeatrs,83.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,16.0,81.13,Not Hispanic or Latino: Asian only,2015-2018,10.0,2q-5 years,76.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,17.0,3.21,Hispanic or Latino: All races,1988-1994,12.0,2- 5years,75.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic orwigin,3.0,3.21,Hispanic or Latino: All races,1999-2002,99.0,2- years,82.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,100.0,3.21,Hispanic or Latino: All races,20012004,3.0,2- years,11.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,60.0,3.21,Hispanic or Latino: All races,2003-0206,4.0,25 years,52.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,71.0,"Percent of population, crude",1,Race and Hispadnic origin,3.0,3.21,Hispanic or Latino: All races,2005-2008,5.0,2-5 years,54.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hisapnic origin,3.0,3.21,Hispanic or Latino: All races,2007-2010***,6.0,2-5 yxears,29.1,15.3,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,22.0,"Percent of population, crude",1,Race and Hispanpic origin,3.0,3.21,Hispanic or Latino: All races,2009-2012,7.0,2-5 years,28.1,16.5,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hisapnic origin,3.0,3.21,Hispanic or Latino: All races,2011-2014,8.0,-5 years,80.1,15.6,1.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Rcae and Hispanic origin,3.0,3.21,Hispanic or Latino: All races,2013-2016,9.0,25- years,93.1,16.5,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,jRace and Hispanic origin,3.0,3.21,Hispanic or Latino: All races,2015-2018,10.0,2-5 yeaars,61.1,19.3,2.3,-
Obesity among children and adolescents aged 2-19 years,-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,11.0,3.22,Hispanic or Latino: Mexican: All races,1988-1994,71.0,2-5 years,16.1,12.3,1.1,-
