agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
1000.0,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,220,Drug Money Laundering and Wire,,2011,7,$2100287.87
1000.0,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,410,Federal Seizures Fund,"TITLE 62, SEC. 34.48",2011,7,$314103.99
1000.0,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,415,Crime Commission Grants,"TITLE 62, SEC. 34.48",2011,7,$273216.70
4000.0,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,418,District Atty. Council,"TITLE 62, SEC. 34.48",2011,7,$76552.09
1000.0,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,490,American Recov. & Reinv. Act,,2011,7,$27793.31
1000.0,N. E. OKLA. A & M COLLEGE,290,Educ & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2011,7,$748840.37
1200.0,N. E. OKLA. A & M COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$137157.00
1000.0,N. E. OKLA. A & M COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$140653.61
1200.0,N. E. OKLA. A & M COLLEGE,479,Capital Bond Projects,,2011,7,$6717.05
700.0,N. E. OKLA. A & M COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
10500.0,NORTHEASTERN STATE UNIVERSITY,290,Educ & Gen Oper Revolv Funds,"TITLE 70, SEC. 3901",2011,7,$12253816.95
1000.0,NORTHEASTERN STATE UNIVERSITY,291,Northeastern State University,"TITLE 62, SECTION 7.5",2011,7,$11875128.33
1000.0,NORTHEASTERN STATE UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 62, SEC. 4.8",2011,7,$5345304.46
1000.0,NORTHEASTERN STATE UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$1350291.30
1100.0,NORTHEASTERN STATE UNIVERSITY,450,MASTER LEASE PURCHASE FUND,"TITLE 70, SECTION 3206.6",2011,7,$0.00
