agency_number,agency_name,class_field,class_description,statutory_reference,calendar_year,monthvalue,total_amount
4700.0,INDIGENT DEFENSE SYSTEM,410,"DOJ, Non-ARRA Grants",,2012,3,$0.00
4700.0,INDIGENT DEFENSE SYSTEM,490,American Recov. & Reinv. Act,,2012,3,$0.00
4900.0,ATTORNEY GENERAL,200,Atty Gen Rev. Fund,"TITLE 74, SEC. 20",2012,3,$43925.37
4900.0,ATTORNEY GENERAL,205,Telemarketer Revolving Fund,,2012,3,$158784.60
4900.0,ATTORNEY GENERAL,220,Workers' Comp Fraud Fund,"TITLE 74, SEC 19.2, OSL 1992",2012,3,$2024.21
4900.0,ATTORNEY GENERAL,225,Insurance Fraud Unit Rev Fnd,"TITLE 74, SECTION 18N-1",2012,3,$311968.78
4900.0,ATTORNEY GENERAL,230,C.I.T.F. State Matching Fund,"TITLE 74, SECTION 19.1",2012,3,$0.00
4900.0,ATTORNEY GENERAL,240,Court Appointed Special Advoca,"TITLE 68, SECTION 2368.12",2012,3,$24435.00
4900.0,ATTORNEY GENERAL,245,Medicaid Fraud Revolving Fund,,2012,3,$5418.85
4900.0,ATTORNEY GENERAL,250,Legal Services Revolving Fund,,2012,3,$350129.13
4900.0,ATTORNEY GENERAL,260,Victim Services Unit Fund,,2012,3,$268421.54
4900.0,ATTORNEY GENERAL,400,Federal Funds (DAC),"TITLE 62, SEC. 34.48 & 34.9",2012,3,$29001.73
4900.0,ATTORNEY GENERAL,405,Medicaid Fraud Settlement Fund,"TITLE 62, SECTION 34.9",2012,3,$4117738.66
4900.0,ATTORNEY GENERAL,410,Medicaid Fraud Unit Fund,"TITLE 62, SECTION 34.48 & 34.9",2012,3,$10891.46
4900.0,ATTORNEY GENERAL,425,VINES Grant,TITLE 62 SECTION 34.48 & 34.9,2012,3,$7024.69
4900.0,ATTORNEY GENERAL,440,VPO Grant,TITLE 62 SECTION 34.48 & 34.9,2012,3,$1769.19
5500.0,STATE ARTS COUNCIL,200,OK Arts Council Arts Ed Rev Fu,"TITLE 53, SEC. 175",2012,3,$265864.50
5500.0,STATE ARTS COUNCIL,440,Natl Endow For Arts Federal,"TITLE 62 SEC 34.48, 34.9",2012,3,$46087.08
5500.0,STATE ARTS COUNCIL,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 581",2012,3,$2942.63
5500.0,STATE ARTS COUNCIL,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.48,34.9",2012,3,$0.00
6000.0,OKLAHOMA AERONAUTICS COMMISSION,200,Revolving Fund,"TITLE 3, SECTION 91",2012,3,$11870721.76
6000.0,OKLAHOMA AERONAUTICS COMMISSION,205,Desig. Aeronautics Excise Tax,"TITLE 62, SECTION 34.9",2012,3,$1122915.14
6000.0,OKLAHOMA AERONAUTICS COMMISSION,400,Federal Fund,"TITLE 62, SEC 34.48, 34.9",2012,3,$118890.89
6500.0,STATE BANKING DEPARTMENT,200,Revolving Fund,"TITLE 6, SEC. 211.1",2012,3,$11604856.21
6500.0,STATE BANKING DEPARTMENT,205,Cemetery Mrchd Trst Act Rev Fd,"TITLE 36, SEC. 7135",2012,3,$0.00
9000.0,OFFICE OF STATE FINANCE,200,Revolving Fund,"TITLE 62, SECTION 41.40",2012,3,$6389660.36
9000.0,OFFICE OF STATE FINANCE,210,Centrex Revolving Fund,"TITLE 62, SECTION 41.5 H D",2012,3,$2147576.88
9000.0,OFFICE OF STATE FINANCE,215,ICS Revolving Fund,"TITLE 62, SECTION 41.21",2012,3,$1784155.13
9000.0,OFFICE OF STATE FINANCE,220,Construction Fund,,2012,3,$1490625.58
9000.0,OFFICE OF STATE FINANCE,230,Vol Buyout Ag Reimb Revol Fd,,2012,3,$3452438.39
9000.0,OFFICE OF STATE FINANCE,250,CMIA Revolving Fund,"TITLE 62, SECTION 41.21 H",2012,3,$218992.00
9000.0,OFFICE OF STATE FINANCE,295,Emergency & Transportation Rev,,2012,3,$13904817.02
9000.0,OFFICE OF STATE FINANCE,400,Federal Funds,,2012,3,$0.00
9000.0,OFFICE OF STATE FINANCE,436,Oil Settlmt-Diamond Shamrock,"TITLE 62, SECTION 7.5",2012,3,$0.00
9000.0,OFFICE OF STATE FINANCE,490,American Recov. & Reinv. Act,,2012,3,$10586.10
9200.0,TOBACCO SETTLEMENT ENDMT TRUST,200,Revolving Fund,"TITLE 62, CH 1, SEC 50",2012,3,$2746600.31
9200.0,TOBACCO SETTLEMENT ENDMT TRUST,305,Tobacco Settlement Trust Fund,"ARTICLE X, SECTION 40",2012,3,$0.08
9200.0,TOBACCO SETTLEMENT ENDMT TRUST,443,Interagency Reimbursement Fund,"TITLE 74, SECTION 581",2012,3,$8811449.80
9200.0,TOBACCO SETTLEMENT ENDMT TRUST,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",2012,3,$0.00
10000.0,CAMERON UNIVERSITY,290,Educational & Gen Operation,"TITLE 70, SEC. 3901",2012,3,$11568098.80
10000.0,CAMERON UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70,SEC 3901",2012,3,$430270.54
10000.0,CAMERON UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$1036606.77
10000.0,CAMERON UNIVERSITY,452,OCIA STATE FACILITIES REV BOND,"TITLE 73, SECTION 301",2012,3,$0.00
10000.0,CAMERON UNIVERSITY,460,Donated Fund For Cap Imprvmts,"TITLE 70, SEC. 3305 F AND 4306",2012,3,$983486.18
10000.0,CAMERON UNIVERSITY,470,Auxiliary Funds For Cap Imprvm,"TITLE 70, SEC. 4001",2012,3,$4366.90
10000.0,CAMERON UNIVERSITY,479,Capital Bond Projects,,2012,3,$0.00
10000.0,CAMERON UNIVERSITY,485,Revenue Bond Fund-Cap Imprv.,"TITLE 62, SEC. 7.5",2012,3,$0.00
10000.0,CAMERON UNIVERSITY,490,American Recov. & Reinv. Act,,2012,3,$0.00
10000.0,CAMERON UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$1617913.83
10000.0,CAMERON UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$1113407.40
10500.0,CAPITOL IMPROVEMENT AUTHORITY,401,2006A - Agriculture Constr Fnd,"TITLE 62, SEC 34.48, 34.9",2012,3,$341061.33
10500.0,CAPITOL IMPROVEMENT AUTHORITY,402,2006A - Agriculture Rev Fnd,"TITLE 62, SEC 34.48, 34.9",2012,3,$150755.50
10500.0,CAPITOL IMPROVEMENT AUTHORITY,403,2006B DMH Constr Fund,"TITLE 62, SEC 34.48, 34.9",2012,3,$72149.32
10500.0,CAPITOL IMPROVEMENT AUTHORITY,404,2006B DMH Revenue Fund,"TITLE 62, SEC 34.48, 34.9",2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,405,2006C Appell Crts - Constr Fnd,"TITLE 62, SEC 34.48, 34.9",2012,3,$20979.72
10500.0,CAPITOL IMPROVEMENT AUTHORITY,406,2006C Appell Crts - Revenu Fnd,"TITLE 62, SEC 34.48, 34.9",2012,3,$0.06
10500.0,CAPITOL IMPROVEMENT AUTHORITY,407,2006D Higher Ed Var Rt - Const,"TITLE 62, SEC 34.48, 34.9",2012,3,$4533437.41
10500.0,CAPITOL IMPROVEMENT AUTHORITY,408,2006D Higher Ed Var Rt - Rev F,"TITLE 62, SEC 34.48, 34.9",2012,3,$861733.27
10500.0,CAPITOL IMPROVEMENT AUTHORITY,409,OCIA 2005E Att Gen Constr Fund,,2012,3,$41613.77
10500.0,CAPITOL IMPROVEMENT AUTHORITY,410,OCIA 2005E Att Gen Operat Fund,,2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,411,OCIA 2005 Revenue Fund,,2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,413,OCIA 94A Revenue Fund,"TITLE 62, SEC. 34.9",2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,414,OCIA 2005C Nat Amer - Admin,"TITLE 62, SEC 34.48, 34.9",2012,3,$216511.10
10500.0,CAPITOL IMPROVEMENT AUTHORITY,415,OCIA 2005C Nat Amer - Constr,,2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,416,OSBI Construction Fund,,2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,417,OSBI Revenue Fund,,2012,3,$40590.97
10500.0,CAPITOL IMPROVEMENT AUTHORITY,418,OCIA-Administrative Services,TITLE 73 SECTIONS 151 THRU 321,2012,3,$228962.33
10500.0,CAPITOL IMPROVEMENT AUTHORITY,420,Const & Op Fund Okmulgee,"TITLE 73, SEC. 168.2B",2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,421,OCIA 2005 F High Ed Constr Fnd,"TITLE 62, SEC 34.48, 34.9",2012,3,$1678659.85
10500.0,CAPITOL IMPROVEMENT AUTHORITY,422,OCIA 2005 G High Ed Constr Fnd,"TITLE 62, SEC 34.48, 34.9",2012,3,$23794.29
10500.0,CAPITOL IMPROVEMENT AUTHORITY,424,OCIA 2005 F Bond Sinking Fund,"TITLE 62, SEC 34.48, 34.9",2012,3,$14923.71
10500.0,CAPITOL IMPROVEMENT AUTHORITY,425,OCIA 2005 G Bond Sinking Fund,"TITLE 62, SEC 34.48, 34.9",2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,427,Higher Ed Endowed Chairs Reven,"TITLE 62, SEC 34.48, 34.9",2012,3,$0.00
