objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_length(double precision),shape_area(double precision)
1,2008,CT-E1_017,"LIS EB Inner - Alewife Cove, Waterford/New London","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Alewife Cove from outlet at Waterford Beach Park Picnic Area, US to Saltwater limit at Niles Hill Road crossing, Waterford.",0.06301777,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,18206.973821278,1756834.61613291
2,2008,CT-E1_018-SB,"LIS EB Inner - Goshen Cove, Waterford","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Goshen Cove from outlet at Goshen Point (Includes western side of Harkness Memorial State Park), US to Saltwater limit at Route 213 crossing, Waterford.",0.04400874,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,11313.4517978807,1226893.42780065
3,2008,CT-W1_003-SB,"LIS WB Inner - Ash Creek, Fairfield","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth near South Benson Road, US to saltwater limit at I95, Fairfield/Bridgeport.",0.15690629,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,53973.6698434639,4374296.52055561
4,2008,CT-W1_002-SB,"LIS WB Inner - Black Rock Harbor, Bridgeport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth at Fayerweather Island area, US to saltwater limit at I95 (includes Burr Creek, Cedar Creek, all SB water of Harbor area), Bridgeport.",0.44217637,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,33356.4149221285,12327169.8568497
5,2008,CT-W1_022-SB,"LIS WB Inner - Byram River (CT), Greenwich","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Byram River, US to saltwater limit just above Route 1 crossing, out to CT/NY border (includes CT half of Rivr), I95 crosses river in seg, Greenwich.",0.03711888,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,22885.8049632469,1034815.00071598
6,2008,CT-E1_004-SB,"LIS EB Inner - Outer Stonington Harbor, Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Outer Stonington Harbor from SB/SA water quality boundary near Wamphassuc Point to offshore Stonington Point, US to RR crossing, Stonington.",0.63756137,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,26713.4531176767,17774190.9364025
7,3007,CT-E1_009,"LIS EB Inner - Beebe Cove (Mystic Harbor), Groton","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Beebe Cove (Mystic Harbor) waters west of two RR crossings along shore, Groton.",0.20650815,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,16817.537988165,5757117.02160636
8,1741,CT-E1_022,"LIS EB Inner - Bride Brook, East Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Bride Brook from outlet at RR crossing, Eastern end of Rocky Neck State Park Beach, US to saltwater limit at Route 156 crossing, East Lyme.",0.02935303,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,16954.2219209858,818315.725527776
9,2946,CT-E1_026-SB,"LIS EB Inner - Black Hall River (upper), Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Black Hall River from Route 156 crossing, US to saltwater limit at Mile Creek Road crossing, Old Lyme.",0.041089,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,17338.915334929,1145495.85403456
10,2008,CT-C1_010,"LIS CB Inner - Branford River, Branford","See Map for Boundaries. Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at RR crossing above Route 146 crossing, US to saltwater limit near Route 1, Branford.",0.02598032,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,16372.4488744129,724289.916398992
11,2008,CT-C1_009-SB,"LIS CB Inner - Inner Branford Harbor, Branford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from Branford Point, US to SA/SB water quality line at RR crossing above Route 146 crossing, Branford.",0.31409882,Insufficient Information,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,48802.7672828632,8756572.60549157
12,2008,CT-C1_018-SB,"LIS CB Inner - Milford Harbor & Gulf Pond, Milford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth at Burns Point, The Gulf, US Milford Harbor to New Haven Avenue crossing (saltwater limit), & US Indian River (through Gulf Pond) to saltwater limit US of I95 crossing, Milford.",0.2720746,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,57721.0406811826,7585004.57051666
13,2008,CT-W1_007,"LIS WB Inner - Sasco Brook, Westport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from mouth DS of Pequot Avenue crossing, US to saltwater limit at Route 1 crossing, Westport/Fairfield.",0.02177376,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,17920.6845387681,607017.854141229
14,1862,CT-W1_006,"LIS WB Inner - Mill River, Fairfield","See Map for Boundaries. Western portion of LIS, Inner Estuary, from Harbor Road crossing, US to saltwater limit at Sturges Road crossing (includes Mill Pond section of Mill River), Fairfield.",0.03275425,Not Supporting,Not Supporting,Not Supporting,Not Supporting Harvesting for Direct Consumption,12504.3614815708,913136.136813695
15,2008,CT-W1_010-SB,"LIS WB Inner - Saugatuck River (mouth), Westport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Saugatuck River Estuary (at Bluff Point across to Owenoke), US to RR crossing, DS of I95 crossing (includes Kitts Island, Burritt Cove), Westport.",0.64457425,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,40307.273199612,17969699.0227031
16,2008,CT-W1_014-SB,"LIS WB Inner - Fivemile River (mouth), Norwalk","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Harbor (Butlers Island to Roton Point), US to saltwater limit at Cudlipp Street Crossing (Route 136), Norwalk.",0.16422125,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,24288.2450545868,4578225.93515677
17,1271,CT-W1_017-SB,"LIS WB Inner - Stamford Harbor (mouth), Stamford","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Harbor (Davenport Point to Shippan Point), up to Cook Road and across to Yacht Club, Stamford.",0.43553692,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,16857.7380421662,12142072.6694931
18,2312,CT-W1_021-SB,"LIS WB Inner - Greenwich Harbor, Greenwich","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Greenwich Harbor (Round Island to Smith Cove), US to saltwater limit just below I95 (mouth of Horseneck Brook), Greenwich.",0.10355516,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,13565.6756802289,2886952.34577173
19,2008,CT-E1_001-SB,"LIS EB Inner - Pawcatuck River (01), Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary in Pawcatuck River from Stanton Weir Point US to Saltwater limit, parallel to RR and Mechanic Street, Clarks Village, (Stonington).",0.10260275,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,18240.6604460157,2860400.67157374
20,2310,CT-E1_002-SB,"LIS EB Inner - Pawcatuck River (02), Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary in Pawcatuck River from mouth at Pawcatuck Point, US to Stanton Weir Point.",0.31280284,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,34675.4515805169,8720442.76308569
21,2008,CT-E1_005,"LIS EB Inner - Inner Stonongton Harbor, Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Inner Stonington Harbor from SB/SA water quality boundary at RR crossing, US to Saltwater limit near Route 1 crossing, Stonington.",0.22608703,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,26569.7945215565,6302944.70794886
