objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_area(double precision),shape_length(double precision)
43,2008,CT-C1_019-SB,"LIS CB Inner - Housatonic River (mouth), Milford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth between Sniffens Point and Milford Point, US to Route 1 crossing (includes Nells Island area, lower Beaver Brook to saltwater limit, Goose Island, Crimbo Point), Milford/Stratford",0.80513473,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,22445868.1459351,160562.942934643
44,2008,CT-W1_001-SB,"LIS WB Inner - Bridgeport Harbor, Bridgeport","See Map for Boundaries. Western portion of LIS from SA/SB water quality line at mouth at Pleasure Beach area, US to saltwater limit in Pequonnock River and Lewis Gut (includes Yellow Mill Channel, Johnsons Crk, all SB water of Harbor area), Bridgeport",1.43415755,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,39982017.9476318,199178.427272553
45,2707,CT-W1_018-SB,"LIS WB Inner - Stamford Harbor (Inner), Stamford","See Map for Boundaries. Western portion of LIS, Inner Estuary, from Cook Road and across to Yacht Club, US to saltwater limit in both the West (Route 137 crossing above I95 crossing) and East (Jefferson Street) Branches of Harbor, Stamford.",0.3180177,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,8865824.75665283,49916.2431341998
46,2008,CT-W1_009,"LIS WB Inner - Grays Creek, Westport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth on Saugatuck River Estuary, US to saltwater limit at Compo Road, Westport.",0.03610179,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,1006460.25097656,14199.4996414239
47,2008,CT-E1_006,"LIS EB Inner - Inner Quiambaug Cove, Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Inner Quiambaug Cove from RR crossing, US to Saltwater limit, above Route 1 crossing, adjacent to Cove Road, Stonington.",0.11354344,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,3165409.62036133,20584.3594034182
48,2813,CT-E1_010,"LIS EB Inner - Palmer Cove (Inner), Groton","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Inner Palmer Cove waters from North side of Groton Long Point Road crossing, past RR crossings to saltwater limit, Groton.",0.11298497,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,3149840.3659668,17689.4423606825
49,1801,CT-E1_019,"LIS EB Inner - Jordan Cove, Waterford","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Jordan Cove from outlet at Pleasure Beach, US past RR crossing, to Saltwater limit at outlet dam of Jordan Mill Pond, adjacent to Route 156, Waterford.",0.19115355,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,5329055.27301025,32641.2308422451
50,2008,CT-E1_023,"LIS EB Inner - Fourmile River (mouth), Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Fourmile River from outlet at RR crossing, Western end of Rocky Neck State Park Beach, US to saltwater limit at Route 156 crossing, Old Lyme.",0.03099564,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,864108.869018555,10331.9964637076
51,2008,CT-W1_005,"LIS WB Inner - Southport Harbor, Fairfield","See Map for Boundaries. Western portion of LIS, Inner Estuary, from mouth parallel to Willow Street, US to Harbor Road crossing, Fairfield.",0.07233047,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,2016457.98684692,13931.7434392048
52,2008,CT-E1_016-SB,"LIS EB Inner - Thames River (Upper), Norwich","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Thames River from just below outlet of Poquetanuck Cove (near Walden Island), adjacent to Route 12 at Cardinal Lane intersection, US to first dams in Yantic and Shetucket Rivers, Norwich.",1.55517546,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,43355803.5612183,152946.582019018
53,2074,CT-E1_027-SB,"LIS EB Inner - Duck River, Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Duck River from RR crossing near Route 156 crossing, US to saltwater limit at Elm Street, Old Lyme.",0.00656988,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,183157.771911621,7220.30823173567
54,2008,CT-E1_024-SB,"LIS EB Inner - Connecticut River (mouth), Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Connecticut River from outlet at Griswold Point, US to I 95 crossing (Includes North and South Coves, lower Lieutenant River and waters around Great Island upto RR crossings), Old Lyme.",3.28375584,Not Assessed,Not Assessed,Not Supporting,Not Supporting Commercial Harvesting where Authorized,91545858.8720703,187381.763210371
56,2008,CT-W1_019,"LIS WB Inner - Cos Cob Harbor (upper), Greenwich","See Map for Boundaries. Western portion of LIS, Inner Estuary, from RR crossing, US to saltwater limit at Mianus River Dam, Route 1 crossing (includes I95 bridge crossing), Greenwich.",0.13155771,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,3667618.56289673,18741.7910474015
57,2008,CT-W1_008,"LIS WB Inner - Sherwood Millpond, Westport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from mouth at Compo Cove, US to saltwater limit south of RR and I95 (includes Mill Creek, Grove Point, and all of Greens Farm Brook surrounding Sherwood Island State Park), Westport.",0.16784632,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,4679287.04684448,50701.3364763244
58,2008,CT-C1_011,"LIS CB Inner - Farm River, East Haven","See Map for Boundaries. Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at Route 142 (Short Beach Road), US to saltwater limit above RR crossing and near Route 1, East Haven/Branford.",0.06617114,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,1844745.66741943,45781.0219089638
59,2008,CT-C1_007,"LIS CB Inner - West River, Guilford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth of West River at outlet into Guilford Harbor, US to saltwater limit at Route 1 crossing, Guilford.",0.04725394,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,1317364.32885742,26350.7315294374
60,2008,CT-C1_020-SB,"LIS CB Inner - Housatonic River (lower), Milford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from Route 1 crossing, US to Route 15 crossing (includes Peacock, Carting, Long, Popes, and Fowler Islands, and mouth of Pumpkin Ground Brook) Milford/Stratford.",0.74091911,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,20655639.3572388,85798.6565893197
61,2008,CT-E1_029-SB,"LIS EB Inner - Connecticut River (Lower), Essex","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Connecticut River from I95 crossing, US to area just above Brockway Island, Essex.",3.18194797,Not Assessed,Not Assessed,Not Supporting,Not Supporting Commercial Harvesting where Authorized,88707618.3782959,247663.82978093
