objectid,coundist,counname,counadd,counloc,counyrelected,counterm,counparty,counphoneno,counfax,counemail,commentsvalue,counweb,shapearea,shapelen
14,14,CINDI FOWLER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1114,,cindi.fowler@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-14,607066632.126659,180865.227132081
15,15,JENNIFER CHAPPELL,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,D,502-574-1115,,jennifer.chappell@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-15,179879158.054614,110110.247224185
16,16,SCOTT REED,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,R,502-574-1116,,scott.reed@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-16,769868997.251673,170108.639436428
17,17,MARKUS WINKLER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,D,502-574-1117,,markus.winkler@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-17,426490768.187106,117312.349112885
18,18,MARILYN PARKER,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,R,502-574-1118,,marilyn.parker@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-18,315115744.494961,105080.627607825
19,19,ANTHONY PIAGENTINI,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,R,502-574-1119,,anthony.piagentini@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-19,575883020.63781,155357.152469381
20,20,STUART BENSON,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,R,502-574-1120,,stuart.benson@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-20,1465665669.54345,255526.241905055
21,21,BETSY RUHE,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,D,502-574-1121,,betsy.ruhe@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-21,395262471.14735,125002.372799417
22,22,ROBIN ENGEL,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,R,502-574-1122,,robin.engel@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-22,662087680.73172,153028.989629381
23,23,JEFF HUDSON,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,R,502-574-1123,,jeff.hudson@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-23,371102252.809668,122769.580252808
24,24,MADONNA FLOOD,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1124,,madonna.flood@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-24,268095857.162877,159435.622456184
25,25,KHALIL BATSHON,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2022,4,R,502-574-1125,,khalil.batshon@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-25,335436531.253467,138644.797395348
26,26,BRENT T. ACKERSON,601 WEST JEFFERSON ST,"LOUISVILLE, KY 40202",2020,4,D,502-574-1126,,brent.ackerson@louisvilleky.gov,,https://www.louisvilleky.gov/government/metro-council-district-26,217905458.978628,146368.780472406
