object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
1893,703423,2020/08/10 03:59:59+00,BRIGHT HORIZONS CHILDCARE,632 S 4TH ST,40202.0,2020/08/11 03:59:59+00,7,FIELD
1894,701666,2020/07/20 03:59:59+00,MCDONALD'S,2961 BRECKENRIDGE LN,40220.0,2020/07/21 03:59:59+00,7,FIELD
1895,708732,2020/11/12 05:00:00+00,TACO BELL,5414 NEW CUT RD,40214.0,2020/11/12 05:00:00+00,7,FIELD
1896,697999,2020/05/19 03:59:59+00,EMW WOMEN'S SURGICAL CENTER,136 W MARKET ST,40202.0,2020/05/19 03:59:59+00,7,FIELD
1897,698997,2020/06/08 03:59:59+00,MCDONALD'S,2800 OUTER LOOP,40219.0,2020/06/29 03:59:59+00,7,FIELD
1898,703709,2020/08/14 03:59:59+00,LIMITED EDITION DANCE TEAM,2221 BUECHEL AVE,40218.0,2020/08/14 03:59:59+00,7,FIELD
1899,702199,2020/07/27 03:59:59+00,HOBBY LOBBY,968 BRECKENRIDGE LN,40207.0,2020/08/20 03:59:59+00,7,FIELD
1900,708829,2020/11/13 05:00:00+00,AMERICAN LEGION DIXIE POST #1,2107 CRUMS LN,40216.0,2020/12/09 05:00:00+00,7,FIELD
1901,698134,2020/05/21 03:59:59+00,SPECTRUM,4245 OUTER LOOP,40219.0,2020/06/10 03:59:59+00,7,FIELD
1902,703754,2020/08/17 03:59:59+00,GAME EXCHANGE,4525 OUTER LOOP,40219.0,2020/09/09 03:59:59+00,7,FIELD
1903,703827,2020/08/15 03:59:59+00,TACO LUCHADOR,9204 TAYLORSVILLE RD,40299.0,2020/08/15 03:59:59+00,7,FIELD
1904,704035,2020/08/20 03:59:59+00,SMOOTHIE KING,5210 DIXIE HWY,40216.0,2020/08/21 03:59:59+00,7,FIELD
1905,704093,2020/08/24 03:59:59+00,MASSEY BOOKKEEPING,7562 DIXIE HWY,40258.0,2020/09/01 03:59:59+00,7,FIELD
1906,704205,2020/08/25 03:59:59+00,GREAT CLIPS,3614 BUECHEL BYPASS,40218.0,2020/08/25 03:59:59+00,7,FIELD
1907,704263,2020/08/26 03:59:59+00,WESTENHOFER HARDWARE,2402 S PRESTON ST 40217,40217.0,2020/09/14 03:59:59+00,7,FIELD
1908,704291,2020/08/26 03:59:59+00,MCDONALD'S,998 BRECKENRIDGE LN,40207.0,2020/08/28 03:59:59+00,7,FIELD
1909,704367,2020/08/27 03:59:59+00,OPTION CARE HEALTH,11403 BLUEGRASS PKWY,40299.0,2020/09/22 03:59:59+00,7,FIELD
1910,704536,2020/08/29 03:59:59+00,FIVE GUYS,4903 OUTER LOOP,40219.0,2020/08/29 03:59:59+00,7,FIELD
1911,705309,2020/09/15 03:59:59+00,CVS #6207,5330 S 3RD ST,40214.0,2020/09/22 03:59:59+00,7,FIELD
1912,705409,2020/09/17 03:59:59+00,SMYRNA ELEMENTARY,6401 OUTER LOOP,40228.0,2020/10/16 03:59:59+00,7,FIELD
1913,706139,2020/09/30 03:59:59+00,NATIONAL TOBACCO COMPANY,5201 INTERCHANGE WAY,40229.0,2020/10/03 03:59:59+00,7,FIELD
1914,706139,2020/09/30 03:59:59+00,NATIONAL TOBACCO COMPANY,5201 INTERCHANGE WAY,40229.0,2020/09/30 03:59:59+00,7,FIELD
1915,706166,2020/10/01 03:59:59+00,SEIDENFADENS,1134 BRECEKNRIDGE ST,40204.0,2020/10/02 03:59:59+00,7,FIELD
1916,707004,2020/10/15 03:59:59+00,U OF L PEDIATRIC DENTISTRY,982 EASTERN PKWY,40217.0,2020/10/16 03:59:59+00,7,FIELD
1917,707054,2020/10/14 03:59:59+00,JETS PIZZA #007,6523 BARDSTOWN RD,40291.0,2020/12/22 05:00:00+00,7,FIELD
1918,707472,2020/10/22 03:59:59+00,MOBY DICK,11210 PRESTON HWY,40229.0,2020/10/23 03:59:59+00,7,FIELD
1919,707484,2020/10/22 03:59:59+00,AERO CLUB,3333 ROGER E SCHUPP ST,40205.0,2020/10/28 03:59:59+00,7,FIELD
1920,707534,2020/10/23 03:59:59+00,SPEEDWAY #9358,5400 ANTLE DR,40229.0,2020/10/27 03:59:59+00,7,FIELD
1921,707560,2020/10/26 03:59:59+00,VANGUARD ACADEMY,9306 DAYFLOWER ST,40059.0,2020/10/26 03:59:59+00,7,FIELD
1922,707622,2020/10/26 03:59:59+00,GRAB N GO,3110 ROCKFORD LN,40216.0,2020/10/28 03:59:59+00,7,FIELD
1923,707692,2020/10/27 03:59:59+00,LAB CORP J TOWN,10216 TAYLORSVILLE RD SUITE 750,40299.0,2020/10/28 03:59:59+00,7,FIELD
1924,707733,2020/10/28 03:59:59+00,BAE SYSTEMS,163 ROCHESTER DR,40214.0,2020/11/04 05:00:00+00,7,FIELD
1925,708045,2020/11/02 05:00:00+00,JOHNSON'S DAY CARE,5533 BRUCE AVE,40214.0,2020/11/02 05:00:00+00,7,FIELD
1926,708123,2020/11/02 05:00:00+00,FIVE STAR FOOD MART,9501 CANE RUN RD,40272.0,2020/11/03 05:00:00+00,7,FIELD
1927,708964,2020/11/16 05:00:00+00,B QUICK FOODMART,2119 UPPER HUNTERS TRACE,40216.0,2020/11/17 05:00:00+00,7,FIELD
1928,702228,2020/07/24 03:59:59+00,COURT HOUSE,700 W JEFFERSON ST,40202.0,2020/07/24 03:59:59+00,7,FIELD
1929,698220,2020/05/22 03:59:59+00,EMW WOMEN'S SURGICAL CENTER,136 W MARKET ST,40202.0,2020/05/26 03:59:59+00,7,FIELD
1930,699330,2020/06/15 03:59:59+00,DAIRY DEL #3,1516 S SHELBY ST,40217.0,2020/06/17 03:59:59+00,7,FIELD
1931,709262,2020/11/17 05:00:00+00,CIRCLE K #4703330,9110 BLUE LICK RD,40219.0,2020/11/25 05:00:00+00,7,FIELD
1932,693771,2020/03/26 03:59:59+00,GE APPLIANCE PARK,4000 BUECHEL BANK RD UNIT 3,40218.0,2020/03/27 03:59:59+00,7,FIELD
1933,698282,2020/05/26 03:59:59+00,ALDI,4901 OUTER LOOP,40219.0,2020/06/01 03:59:59+00,7,FIELD
1934,699547,2020/06/17 03:59:59+00,PENN STATION,3707 CHAMBERLAIN LN,40241.0,2020/06/18 03:59:59+00,7,FIELD
1935,709277,2020/11/17 05:00:00+00,WHOLE FOODS MARKET,4944 SHELBYVILLE RD,40207.0,2020/11/19 05:00:00+00,7,FIELD
1936,694245,2020/04/01 03:59:59+00,INDI'S RESTAURANT,1033 W BROADWAY,40203.0,2020/04/01 03:59:59+00,7,FIELD
1937,698510,2020/05/28 03:59:59+00,WHITE CASTLE #29,4108 OUTER LOOP,40219.0,2020/06/03 03:59:59+00,7,FIELD
1938,699715,2020/06/22 03:59:59+00,VALU MARKET,1250 BARDSTOWN RD,40204.0,2020/06/24 03:59:59+00,7,FIELD
1939,709411,2020/11/18 05:00:00+00,HALL OF JUSTICE,600 W JEFFERSON ST,40202.0,2020/11/24 05:00:00+00,7,FIELD
1940,694573,2020/04/03 03:59:59+00,BRISTOL BLUFFS,6015 BRISTOL BLUFFS CIR,40219.0,2020/04/04 03:59:59+00,7,FIELD
1941,699732,2020/06/22 03:59:59+00,JASMIN BAKERY,2201 STEIER LN,40218.0,2020/06/23 03:59:59+00,7,FIELD
1942,709713,2020/11/20 05:00:00+00,BLAIRWOOD TENNIS CLUB,9300 BLAIRWOOD ACCESS WAY,40222.0,2020/11/20 05:00:00+00,7,FIELD
1943,694952,2020/04/03 03:59:59+00,PARKING LOT,1480 S 13TH ST,40210.0,2020/04/06 03:59:59+00,7,FIELD
1944,700969,2020/07/11 03:59:59+00,HOOKED ON FRANKFORT,3200 FRANKFORT AVE,40206.0,2020/07/11 03:59:59+00,7,FIELD
1945,701607,2020/07/19 03:59:59+00,PAPA JOHN'S #1450,5000 MUD LN,40229.0,2020/07/27 03:59:59+00,7,FIELD
1946,695051,2020/04/08 03:59:59+00,T-MOBILE,6800 DIXIE HWY,40258.0,2020/04/11 03:59:59+00,7,FIELD
1947,701028,2020/07/11 03:59:59+00,WALGREENS #19636,8014 BARDSTOWN RD,40291.0,2020/07/14 03:59:59+00,7,FIELD
1948,701632,2020/07/18 03:59:59+00,THE FACTORY GYM,4709 ALLMOND AVENUE #3B,40209.0,2020/08/24 03:59:59+00,7,FIELD
1949,695196,2020/04/09 03:59:59+00,WEST END TOKEN CLUB,708 S 16TH ST,40210.0,2020/04/10 03:59:59+00,7,FIELD
1950,701079,2020/07/13 03:59:59+00,JOE'S OLDER THAN DIRT,8131 NEW LAGRANGE RD,40222.0,2020/07/15 03:59:59+00,7,FIELD
1951,701636,2020/07/20 03:59:59+00,EMW WOMEN'S CLINIC,136 W MARKET ST,40202.0,2020/07/21 03:59:59+00,7,FIELD
1952,695215,2020/04/09 03:59:59+00,OXMOOR MALL,7900 SHELBYVILLE RD,40222.0,2020/04/10 03:59:59+00,7,FIELD
1953,701351,2020/07/03 03:59:59+00,SAM'S SEAFOOD,4918 POPLAR LEVEL RD,40219.0,2020/07/03 03:59:59+00,7,FIELD
1954,701676,2020/07/17 03:59:59+00,ROOSTERS,4420 DIXIE HWY,40216.0,2020/07/22 03:59:59+00,7,FIELD
1955,695223,2020/04/10 03:59:59+00,MELODY ACRES APARTMENTS,3107 MELODY ACRES LN UNIT #1,40216.0,2020/04/14 03:59:59+00,7,FIELD
1956,695257,2020/04/10 03:59:59+00,PEDDLER'S MALL,191 OUTER LOOP,40214.0,2020/04/13 03:59:59+00,7,FIELD
1957,695429,2020/04/13 03:59:59+00,ROUNDHOUSE ELECTRIC TRAINS,4870 BROWNSBORO CENTER,40207.0,2020/04/14 03:59:59+00,7,FIELD
1958,695513,2020/04/10 03:59:59+00,RESIDENT,3105 MCMAHAN BLVD,40220.0,2020/04/10 03:59:59+00,7,FIELD
1959,695527,2020/04/14 03:59:59+00,DSI,1032 E CHESTNUT ST,40204.0,2020/04/15 03:59:59+00,7,FIELD
1960,695621,2020/04/15 03:59:59+00,FRANCISCAN SHELTER HOUSE,748 S PRESTON ST,40203.0,2020/04/16 03:59:59+00,7,FIELD
1961,695725,2020/04/16 03:59:59+00,MEIJER #166,9500 PRESTON HWY,40229.0,2020/04/17 03:59:59+00,7,FIELD
1962,695745,2020/04/16 03:59:59+00,SUPER BEAUTI,4420 DIXIE HWY SUITE 132,40216.0,2020/04/20 03:59:59+00,7,FIELD
1963,695885,2020/04/17 03:59:59+00,EMS WOMEN CENTER,136 W MARKET ST,40202.0,2020/04/20 03:59:59+00,7,FIELD
1964,695901,2020/04/17 03:59:59+00,HOOPS GRILL & SPORTS,6733 STRAWBERRY LN,40214.0,2020/04/20 03:59:59+00,7,FIELD
1965,695957,2020/04/17 03:59:59+00,EXTENDED STAY AMERICA,9801 BUNSEN WAY,40299.0,2020/04/20 03:59:59+00,7,FIELD
1966,695973,2020/04/20 03:59:59+00,BRIGHT STAR HOME,406 BLANKENBAKER PKY,40243.0,2020/04/21 03:59:59+00,7,FIELD
1967,696013,2020/04/17 03:59:59+00,LOUISVILLE LAMP & KELLY FABRICATORS,3314 GILMORE INDUSTRIAL BLVD.,40213.0,2020/04/24 03:59:59+00,7,FIELD
1968,696168,2020/04/07 03:59:59+00,GENERAL ELECTRIC,4000 BUECHEL BANK RD,40225.0,2020/04/22 03:59:59+00,7,FIELD
1969,696232,2020/04/22 03:59:59+00,CABELAS OF LOUISVILLE,5100 NORTON HEALTHCARE BLVD.,40241.0,2020/04/23 03:59:59+00,7,FIELD
1970,696251,2020/04/20 03:59:59+00,RESIDENT,3133 DOREEN WAY,40220.0,2020/04/22 03:59:59+00,7,FIELD
1971,701474,2020/07/16 03:59:59+00,MEIJER #166,9500 PRESTON HWY,40229.0,2020/07/27 03:59:59+00,7,FIELD
1972,701824,2020/07/20 03:59:59+00,KROGER L-332,4211 S 3RD ST,40214.0,2020/07/22 03:59:59+00,7,FIELD
1973,701832,2020/07/21 03:59:59+00,ROSE'S EXPRESS #691,5607 PRESTON HWY,40219.0,2020/07/27 03:59:59+00,7,FIELD
1974,701938,2020/07/20 03:59:59+00,WILLIS HAIR SPA,2850 FRANKFORT AVENUE,40206.0,2020/08/27 03:59:59+00,7,FIELD
1975,702042,2020/07/23 03:59:59+00,SATNAM LLC,11401 WESTPORT RD,40241.0,2020/07/24 03:59:59+00,7,FIELD
1976,702215,2020/07/27 03:59:59+00,CHARITY HALL BINGO,5001 STEPHAN DR,40258.0,2020/09/02 03:59:59+00,7,FIELD
1977,702216,2020/07/27 03:59:59+00,LOUISVILLE MEMORIAL GARDENS WEST FUNERAL HOME,4400 MEMORIAL GARDENS DR,40216.0,2020/08/24 03:59:59+00,7,FIELD
1978,702237,2020/07/27 03:59:59+00,PEDDLERS'S MALL,191 OUTER LOOP,40214.0,2020/08/28 03:59:59+00,7,FIELD
1979,702297,2020/07/27 03:59:59+00,FAMILY DOLLAR #21434,431 W OAK ST,40203.0,2020/07/28 03:59:59+00,7,FIELD
1980,702381,2020/07/28 03:59:59+00,FIVE STAR FOOD MART,9501 CANE RUN RD,40272.0,2020/07/31 03:59:59+00,7,FIELD
1981,702430,2020/07/29 03:59:59+00,USPS POST OFFICE,1527 HIGHLAND AVE,40204.0,2020/08/05 03:59:59+00,7,FIELD
1982,702630,2020/07/30 03:59:59+00,ZOO,1100 TREVILIAN WAY,40213.0,2020/07/31 03:59:59+00,7,FIELD
1983,702772,2020/08/01 03:59:59+00,IRISH ROVER CLUB,2319 FRANKFORT AVE,40206.0,2020/08/01 03:59:59+00,7,FIELD
1984,702814,2020/08/03 03:59:59+00,ROOSTERS,5338 BARDSTOWN RD,40291.0,2020/07/29 03:59:59+00,7,FIELD
1985,702821,2020/08/01 03:59:59+00,HOME RUN BURGER,303 W CARDINAL BLVD,40208.0,2020/08/01 03:59:59+00,7,FIELD
1986,702910,2020/08/03 03:59:59+00,MCDONALD'S #16,12341 SHELBYVILLE RD,40243.0,2020/08/10 03:59:59+00,7,FIELD
1987,702914,2020/08/04 03:59:59+00,KROGER L-366,5001 MUD LN,40229.0,2020/08/21 03:59:59+00,7,FIELD
1988,703273,2020/08/06 03:59:59+00,MCDONALD'S #6834,8220 PRESTON HWY,40219.0,2020/08/19 03:59:59+00,7,FIELD
1989,703415,2020/08/10 03:59:59+00,COUNTY CLERKS OFFICE,4919-F DIXIE HWY,40216.0,2020/09/11 03:59:59+00,7,FIELD
1990,703505,2020/08/10 03:59:59+00,KROGER L-346,3039 BRECKENRIDGE LN,40220.0,2020/08/11 03:59:59+00,7,FIELD
1991,703533,2020/08/11 03:59:59+00,KROGER L-360,6900 BARDSTOWN RD,40291.0,2020/08/12 03:59:59+00,7,FIELD
1992,703662,2020/08/13 03:59:59+00,STRIKE AND SPARE FAMILY FUN CENTER,6220 OLD SHEPHERDSVILLE RD,40228.0,2020/08/26 03:59:59+00,7,FIELD
1993,703679,2020/08/13 03:59:59+00,MCDONALD'S,287 N HUBBARDS LN,40207.0,2020/08/25 03:59:59+00,7,FIELD
1994,703712,2020/08/13 03:59:59+00,HAZELWOOD CTR ICFR,1800 BLUEGRASS AVE,40215.0,2020/11/16 05:00:00+00,7,FIELD
1995,703774,2020/08/17 03:59:59+00,JULIE'S NAILS,6527 BARDSTOWN RD,40291.0,2020/08/25 03:59:59+00,7,FIELD
1996,703867,2020/08/17 03:59:59+00,SPEEDWAY #9701,8510 NATIONAL TURNPIKE,40118.0,2020/10/02 03:59:59+00,7,FIELD
1997,703948,2020/08/19 03:59:59+00,HARMONIOUS ROOTS HAIR SALON,1300 ENVOY CIR STE 1303,40299.0,2020/08/24 03:59:59+00,7,FIELD
1998,704172,2020/08/22 03:59:59+00,QDOBA #2431,3021 POPLAR LEVEL RD,40217.0,2020/08/22 03:59:59+00,7,FIELD
1999,704203,2020/08/24 03:59:59+00,CASH SAVER,501 MT HOLLY RD,40118.0,2020/09/14 03:59:59+00,7,FIELD
2000,704439,2020/08/31 03:59:59+00,SOUTH END CHURCH OF CHRIST,4001 TAYLOR BLVD,40215.0,2020/10/12 03:59:59+00,7,FIELD
2001,703565,2020/08/12 03:59:59+00,ALL GOD'S CHILDREN & MARY'S LIL ANGELS LEARNING,4014 ST. FRANCIS LN,40218.0,2020/08/13 03:59:59+00,7,FIELD
2002,704539,2020/08/29 03:59:59+00,SENOR IGUANAS,5637 OUTER LOOP,40219.0,2020/08/29 03:59:59+00,7,FIELD
2003,703592,2020/08/12 03:59:59+00,WENDYS,3422 TAYLOR BLVD,40215.0,2020/08/13 03:59:59+00,7,FIELD
2004,701470,2020/07/16 03:59:59+00,KROGER L-785,4915 DIXIE HWY,40216.0,2020/07/20 03:59:59+00,7,FIELD
2005,704652,2020/09/02 03:59:59+00,RADIAL,7700 TRADE PORT DR,40258.0,2020/09/29 03:59:59+00,7,FIELD
2006,703668,2020/08/13 03:59:59+00,KOSAIR CHARITIES SAM SWOPE CENTER,982 EASTERN PKWY,40217.0,2020/08/17 03:59:59+00,7,FIELD
2007,701986,2020/07/22 03:59:59+00,J-TOWN FARMERS MARKET,10434 WATTERSON TRAIL,40299.0,2020/07/25 03:59:59+00,7,FIELD
2008,702844,2020/08/02 03:59:59+00,APPLEBEE'S,4535 OUTER LOOP,40219.0,2020/08/04 03:59:59+00,7,FIELD
2009,703924,2020/08/19 03:59:59+00,WINDSOR,5000 SHELBYVILLE RD,40207.0,2020/08/27 03:59:59+00,7,FIELD
2010,705009,2020/09/09 03:59:59+00,FERN CREEK CONSIGNMENT,5316 BARDSTOWN RD,40291.0,2020/09/15 03:59:59+00,7,FIELD
2011,705169,2020/09/11 03:59:59+00,AUNTIE ANNE'S,5000 SHELBYVILLE RD,40207.0,2020/09/18 03:59:59+00,7,FIELD
2012,705266,2020/09/14 03:59:59+00,SUBWAY,3020 S 3RD ST,40208.0,2020/09/17 03:59:59+00,7,FIELD
2013,705609,2020/09/21 03:59:59+00,THE PALM ROOM LOUNGE,1821 W JEFFERSON ST,40203.0,2020/10/01 03:59:59+00,7,FIELD
2014,705610,2020/09/21 03:59:59+00,SAYERS CLASSICAL ACADEMY,7709 BARDSTOWN RD,40291.0,2020/10/20 03:59:59+00,7,FIELD
2015,705704,2020/09/22 03:59:59+00,TWIG AND LEAF,2122 BARDSTOWN RD,40205.0,2020/10/01 03:59:59+00,7,FIELD
2016,705904,2020/09/25 03:59:59+00,DOLLAR GENERAL #11904,2701 DIXIE HWY,40216.0,2020/09/28 03:59:59+00,7,FIELD
2017,706384,2020/10/02 03:59:59+00,KROGER L-292,7509 TERRY RD,40258.0,2020/10/05 03:59:59+00,7,FIELD
2018,706577,2020/10/07 03:59:59+00,PRIMROSE SCHOOL AT OLD HENRY CROSSING,14801 BUSH FARM RD,40245.0,2020/10/08 03:59:59+00,7,FIELD
2019,706664,2020/10/09 03:59:59+00,PREMIER PACKING,3900 PRODUCE RD,40218.0,2020/10/10 03:59:59+00,7,FIELD
2020,706763,2020/10/12 03:59:59+00,BROADWAY FOOD MART,4132 W BROADWAY,40212.0,2020/10/13 03:59:59+00,7,FIELD
2021,706774,2020/10/12 03:59:59+00,K & K SERVICES,1015 REEVES RD,40219.0,2020/10/21 03:59:59+00,7,FIELD
2022,706775,2020/10/12 03:59:59+00,ADECCO STAFFING,7601 TRADE PORT DR,40258.0,2020/10/28 03:59:59+00,7,FIELD
2023,707050,2020/10/14 03:59:59+00,LONG JOHN SILVER'S,5447 NEW CUT RD,40214.0,2020/10/16 03:59:59+00,7,FIELD
2024,707097,2020/10/15 03:59:59+00,FALAFEL OASIS,226 W BROADWAY,40202.0,2020/10/17 03:59:59+00,7,FIELD
2025,707127,2020/10/16 03:59:59+00,SPEEDWAY #9624,7002 OLD SHEPHERDSVILLE RD,40219.0,2020/10/20 03:59:59+00,7,FIELD
2026,707136,2020/10/16 03:59:59+00,KROGER L-780,10645 DIXIE HWY,40272.0,2020/10/21 03:59:59+00,7,FIELD
2027,707142,2020/10/19 03:59:59+00,HOBBY LOBBY,7500 JEFFERSON BLVD,40219.0,2020/10/19 03:59:59+00,7,FIELD
2028,707625,2020/10/27 03:59:59+00,PRIMROSE AT OLD HENRY DAYCARE,14801 BUSH FARM RD,40245.0,2020/10/27 03:59:59+00,7,FIELD
2029,708128,2020/11/02 05:00:00+00,WENDYS,3301 CANE RUN RD,40211.0,2020/11/16 05:00:00+00,7,FIELD
2030,708474,2020/11/09 05:00:00+00,TRADER JOES,4600 SHELBYVILLE ROAD STE #111,40207.0,2020/11/09 05:00:00+00,7,FIELD
2031,708489,2020/11/07 05:00:00+00,OLLIE'S BARGAIN OUTLET,9070 DIXIE HWY,40258.0,2020/11/23 05:00:00+00,7,FIELD
2032,708492,2020/11/07 05:00:00+00,PIC PAC,3110 TAYLOR BLVD,40215.0,2020/11/07 05:00:00+00,7,FIELD
