facilitytype,facilitytypedescription,subtype,subtypedescription,permitnumber,premisename,premiseaddress,premisecity,premisestate,premisezip,inspection_area,openingdate,object_id
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104523,RESIDENCE INN,401 BULLITT LANE,LOUISVILLE,KY,40222,26,2018/07/16 00:00:00,93
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104525,MOXY,100 W. WASHINGTON,LOUISVILLE,KY,40202,24,2019/10/29 00:00:00,94
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104685,HOMEWOOD SUITES,635 W MARKET ST,LOUISVILLE,KY,40202,24,2018/03/26 00:00:00,95
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,104983,AC MARRIOTT HOTEL LOUISVILLE DOWNTOWN,727 E MARKET ST,LOUISVILLE,KY,40202,26,2018/04/25 00:00:00,96
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,105182,HOME 2 SUITES,3000 CRITTENDEN DR,LOUISVILLE,KY,40209,23,2018/05/17 00:00:00,97
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,106691,EMBASSY SUITES,501 S 4TH ST,LOUISVILLE,KY,40202,24,2019/01/04 00:00:00,98
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,106730,SURE STAY PLUS HOTEL,4125 PRESTON HWY,LOUISVILLE,KY,40213,27,2019/01/08 00:00:00,99
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,107778,BEST WESTERN PREMIER,4110 DIXIE HWY,LOUISVILLE,KY,40216,23,2019/05/02 00:00:00,100
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,109544,HOTEL DISTIL,101 W MAIN ST,LOUISVILLE,KY,40202,24,2019/10/29 00:00:00,101
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,109915,CANDLEWOOD DOWNTOWN,1039 ZORN AVE,LOUISVILLE,KY,40207,28,2019/12/30 00:00:00,102
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,110048,MOTEL 6,6121 AIRPORT HOTELS BLVD,LOUISVILLE,KY,40213,27,2020/01/31 00:00:00,103
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,111309,HYATT HOUSE LOUISVILLE EAST,9315 LEESGATE RD,LOUISVILLE,KY,40222,25,2020/09/30 00:00:00,104
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,111690,RESIDENCE INN,2510 TERRA CROSSING BLVD,LOUISVILLE,KY,40245,25,2020/12/31 00:00:00,105
