indicatorvalue,panel,panelnum,unit,unitnum,stubname,stubnamenum,stublabelnum,stublabel,yearvalue,yearnum,age,agenum,estimate,se,flagvalue
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2001-2004,3,12-19 years,0.3,20.6,1.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2003-2006,4,12-19 years,0.3,22.9,1.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2005-2008,5,12-19 years,0.3,24.2,1.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2007-2010,6,12-19 years,0.3,24.1,1.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2009-2012,7,12-19 years,0.3,22.9,2.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2011-2014,8,12-19 years,0.3,22.6,2.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2013-2016,9,12-19 years,0.3,25.0,2.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2015-2018,10,12-19 years,0.3,28.2,2.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,1988-1994,1,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,1999-2002,2,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2001-2004,3,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2003-2006,4,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2005-2008,5,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2007-2010,6,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2009-2012,7,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2011-2014,8,12-19 years,0.3,9.4,1.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2013-2016,9,12-19 years,0.3,8.8,1.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2015-2018,10,12-19 years,0.3,11.5,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,1988-1994,1,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,1999-2002,2,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2001-2004,3,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2003-2006,4,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2005-2008,5,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2007-2010,6,12-19 years,0.3,22.5,1.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2009-2012,7,12-19 years,0.3,22.9,1.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2011-2014,8,12-19 years,0.3,22.8,1.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2013-2016,9,12-19 years,0.3,25.9,1.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2015-2018,10,12-19 years,0.3,28.2,2.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,1988-1994,1,12-19 years,0.3,13.8,2.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,1999-2002,2,12-19 years,0.3,22.3,1.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2001-2004,3,12-19 years,0.3,18.6,1.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2003-2006,4,12-19 years,0.3,21.1,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2005-2008,5,12-19 years,0.3,23.8,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2007-2010,6,12-19 years,0.3,23.1,2.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2009-2012,7,12-19 years,0.3,23.8,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2011-2014,8,12-19 years,0.3,23.5,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2013-2016,9,12-19 years,0.3,26.6,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2015-2018,10,12-19 years,0.3,30.6,2.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,1988-1994,1,12-19 years,0.3,10.7,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,1999-2002,2,12-19 years,0.3,18.8,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2001-2004,3,12-19 years,0.3,17.6,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2003-2006,4,12-19 years,0.3,18.4,1.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2005-2008,5,12-19 years,0.3,19.1,1.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2007-2010,6,12-19 years,0.3,21.2,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2009-2012,7,12-19 years,0.3,22.0,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2011-2014,8,12-19 years,0.3,20.9,2.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2013-2016,9,12-19 years,0.3,22.0,2.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2015-2018,10,12-19 years,0.3,23.0,2.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,1988-1994,1,12-19 years,0.3,11.6,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,1999-2002,2,12-19 years,0.3,14.6,1.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2001-2004,3,12-19 years,0.3,17.9,1.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2003-2006,4,12-19 years,0.3,17.3,2.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2005-2008,5,12-19 years,0.3,16.1,2.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2007-2010,6,12-19 years,0.3,17.1,2.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2009-2012,7,12-19 years,0.3,17.9,2.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2011-2014,8,12-19 years,0.3,18.7,2.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2013-2016,9,12-19 years,0.3,16.3,2.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2015-2018,10,12-19 years,0.3,15.8,1.8,-
