agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
30000,STATE AUDITOR AND INSPECTOR,490,American Recov. & Reinv. Act,,2011,7,$0.00
30500,GOVERNOR,225,Grants & Donations Fund,"TITLE 60, SEC. 383",2011,6,$0.00
30500,GOVERNOR,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 581",2011,7,$258241.29
30600,PARDON AND PAROLE BOARD,443,Interagency Reimbursement Fund,"TITLE 74, SECTION 581",2011,7,$0.00
30700,INTERSTATE OIL COMPACT COMM.,230,Interst Oil Comp Fund Of Ok,"TITLE 52, SEC. 207",2011,7,$1245106.69
30700,INTERSTATE OIL COMPACT COMM.,426,Oil Setlmt Fund-Stripper Well,"TITLE 62, SEC 7.5",2897,7,$0.00
30800,STATE BUREAU OF INVESTIGATION,200,OSBI Revolving Fund,"TITLE 74, SEC. 150.19 A",2011,7,$3408114.07
30800,STATE BUREAU OF INVESTIGATION,210,Automated Fngrprt Id Sys. Fd.,"TITLE 74, SEC. 150.25",2011,7,$1795573.74
30800,STATE BUREAU OF INVESTIGATION,215,Firearms Laboratory Improvemnt,"TITLE 74, SECTION 150.32",2011,3,$0.00
30800,STATE BUREAU OF INVESTIGATION,220,Forensic Science Impr Rev Fund,"TITLE 74, SECTION 150.35",2011,7,$472385.50
30800,STATE BUREAU OF INVESTIGATION,230,Ok Crim Justice Res Rev Fund,,2011,7,$0.00
30800,STATE BUREAU OF INVESTIGATION,400,Federal Grant Funds,"TITLE 62, SEC. 34.48",1745,7,$615.19
30800,STATE BUREAU OF INVESTIGATION,490,American Recov. & Reinv. Act,,2011,5,$2.32
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,200,Disaster Relief Matching Fund,"TITLE 63, SEC. 683.24",2011,7,$645182.37
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,320,Individual & Family Grants,"TITLE 62, SECTION 34.9",2011,7,$0.00
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,400,Spec Fed Matching Fund,"TITLE 63, SEC. 683.17",2011,9,$322601.96
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,410,US DOT Matching Funds - Cem,"TITLE 27A, SEC 4-2-102 AND TITLE 62, CH 1, SEC 34.9 AND 34.48",2011,7,$0.00
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,424,St Emerg Fund: Disaster Match,"TITLE 62, SEC. 139.47",2011,7,$175231.20
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,425,Odd Federal Year: CCA Oper,"TITLE 63, SEC. 683.17",2011,7,$353523.22
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,440,Even Federal Year: Oper,"TITLE 63, SEC. 683.17",2011,7,$155664.63
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,470,Fed Disaster Assist Fed Funds,"TITLE 63, SEC. 683.17",2011,7,$9087.96
31000,STATE FIRE MARSHAL,200,State Fire Marshal Revolvg Fnd,"TITLE 74, SEC. 324.20B",2011,7,$686467.72
31000,STATE FIRE MARSHAL,210,Firefighter Training Rev Fund,,2011,8,$94472.08
31000,STATE FIRE MARSHAL,400,Homeland Security Federal Fund,,2011,9,$-49.15
31500,FIREFIGHTERS PENS. & RET. SYST.,200,Firefighters Pens & Ret Fund,"TITLE 11, SEC. 49-122.1",2011,7,$491095.37
32000,DEPARTMENT OF WILDLIFE CONSERVATION,200,Wildlife Conservation Fund,"TITLE 29, SEC. 3-302",2011,5,$1133224.98
32000,DEPARTMENT OF WILDLIFE CONSERVATION,205,Wildlife Diversity Fund,"TITLE 29, SEC. 3-310",2111,7,$759320.02
32000,DEPARTMENT OF WILDLIFE CONSERVATION,210,Wildlife Land Acquisition Fund,"TITLE 29, SEC. 4-132",2011,7,$2680517.26
32000,DEPARTMENT OF WILDLIFE CONSERVATION,215,Wildlife Heritage Fund,"TITLE 29, SEC. 4-134",1457,7,$2185064.45
32000,DEPARTMENT OF WILDLIFE CONSERVATION,220,Wildlife Land Fund,TITLE 29 SEC 4-141,2011,7,$4724547.58
