objectid,cyclevalue,id_three_zero_five_b,namevalue,locationvalue,milessquare,marineaquaticlife,recreation,fishconsumption,shellfish,shape_length,shape_area
64,2008,CT-E2_013,"LIS EB Shore - Niantic Bay (East), Waterford","See Map for Boundaries. Eastern portion of LIS from Smith Avenue at junction with Route 156 to Millstone Point, out approximately 1000 ft offshore. Waters affected by Millstone Power Plant.",0.44429914,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,27604.1661395995,12386349.3606052
65,2008,CT-E3_011,"LIS EB Midshore - Old Saybrook, Indian Harbor","See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore Old Kelsey Point, to Guardhouse Point, Old Saybrook, (outer Indiantown Harbor and Plum Bank), out to 50 ft contour.",5.6394416,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,57646.7166726261,157218608.931288
66,2008,CT-C3_001,"LIS CB Midshore - Westbrook Harbor, Westbrook","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Westbrook Harbor), out to 50 ft contour and basin boundary separating Eastern/Central.",2.69189548,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,40337.5174447492,75045739.0451791
67,2008,CT-E3_012,LIS EB Midshore - Westbrook,"See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore Old Kelsey Point (outer Westbrook Harbor), out to 50 ft contour. Odd shape due to 50 ft contour.",7.40699718,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,88773.6682578699,206495230.394368
68,2008,CT-E1_030,"LIS EB Inner - Hamburg Cove/Eightmile River (mouth), Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Hamburg Cove (Eightmile River from mouth on Connecticut River near Brockway Island, US to saltwater limit adjacent to Cove Road (just South of intersection with Route 156), Essex.",0.1812927,Not Assessed,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",18265.9738655041,5054150.63724267
69,2008,CT-W3_010,"LIS WB Midshore - Outer Cove Harbor, Darien","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (off of Long neck Point, outer Cove Harbor, Darien Cove, Scott Cove area), out to 50 ft contour, Darien.",2.11286406,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,38700.8838749336,58903269.493238
70,2008,CT-C2_011,"LIS CB Shore - Stony Creek (East), Branford","See Map for Boundaries. Central portion of LIS from Flying Point to Clark Point area (includes Hoadley Neck, Narrows Island), out approximately 1000 ft offshore, Branford/Guilford.",0.54599814,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,52267.5214991965,15221554.6687621
71,2008,CT-C3_009-I,"LIS CB Midshore - Thimble Islands, Branford","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Thimble Islands), out to 50 ft contour, Branford.",1.45685837,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,75470.3197500749,40614880.4899732
72,2008,CT-C2_012,"LIS CB Shore - Stony Creek (West), Branford","See Map for Boundaries. Central portion of LIS from Brown Point to Flying Point area (includes Stony Creek Beach, Saint Helena Island, Juniper Point, Pleasant Point), out approximately 1000 ft offshore, Branford.",0.37861221,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,39606.805607261,10555102.7738397
73,2008,CT-W1_020,"LIS WB Inner - Indian Harbor (upper), Greenwich","See Map for Boundaries. Western portion of LIS, Inner Estuary, upper Indian Harbor (lower portion of Greenwich Creek) from Davis Avenue crossing, US to saltwater limit at West Brother Drive crossing (includes I95 crossing), Greenwich.",0.02460644,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,9582.32452348792,685988.438871483
74,2008,CT-W2_023,"LIS WB Shore - Smith Cove, Indian Hrbr, Greenwich","See Map for Boundaries. Western portion of LIS from Field Point to Tweed Island (includes Round Island, Tweed Island, Smith Cove, Indian Harbor) out approximately 1000 ft offshore, Greenwich.",0.37430833,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,36286.0095426858,10435117.5662644
75,2008,CT-C2_024-SB,"LIS CB Shore - Housatonic River mouth, Stratford","See Map for Boundaries. Central portion of LIS from SA/SB WQ line at Stratford Point to SA/SB WQ line at Milford Point area (includes Short Beach, entire mouth of Housatonic River) all SB waters out approximately 1000-4000 ft offshore, Stratford.",0.64036366,Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,28860.212929491,17852314.4109618
76,2008,CT-C4_001,LIS CB Offshore - Madison,See Map for Boundaries. Central portion of LIS from 50ft contour to CT/NY State line.,37.97812564,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",175785.920501051,1058769377.8743
77,2008,CT-E4_005,LIS EB Offshore - Westbrook,See Map for Boundaries. Eastern portion of LIS from 50ft contour to CT/NY State line.,6.07031141,Fully Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",75530.3433872666,169230569.818359
78,2008,CT-C3_003,"LIS CB Midshore - Outer Clinton Harbor, Clinton","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Clinton Harbor), out to 50 ft contour, Clinton.",2.52427326,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,38711.6403275611,70372699.9240908
