objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length(double precision),shape_area(double precision)
129,2020,CT4708-00-2-L1_01,"Terramuggus, Lake (Marlborough)","Intersection of Routes 2 & 66, northwest corner of Marlborough.","LAKE, FRESHWATER",81.29,Acres,1538,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,9240.49765441061,3541089.32178473
130,2020,CT4709-04-1-L1_01,Pocotopaug Lake (East Hampton),"North of Rt 66, East Hampton.","LAKE, FRESHWATER",502.28,Acres,2273,1080205,48,INLAND SURFACE WATzERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,oNt Classified For Drinking Water,Not Evaluated,Yes,31556.9655710472,21879476.7085152
131,2020,CT4601-00-1-L2_01,Silver Lak e(Berlin/Meriden),"Southeast corner of Berlin, extending slightly into northeast Meriden.","LAKE, FRESHWATER",140.58,Acres,2627,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Informkation,Not Classified For Drinking Water,Not Evaluated,Yes,19689.5237317282,6123651.39992351
132,2020,CT4000-40-1-L1_01,Great Hill Pond (Portland),"Great Hill Pond Road, Portland, 0.75 miles due north of Rt. 66, near East Hampton border.","LAKE, FRESHWATER",71.91,Acres,1066,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Lifea nd Wildlife",Not Assessed,Recreation,Not Assssed,Fish Consumption,Insuflficient Information,Not Classified For Drinking Water,Not Evaluated,No,8475.08169449154,3132387.52244891
133,2020,CT4700-02-1-L1_01,Day Pond (Colchester),"CT DEEP Day Pond State Park. uImpoundment and headwaters of Day Pond Brook. Day Pond Road (east of Rt 149), Colchester.","LAKE, FRESHWATER",7.35,Acres,691,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,ully Supporting,Fish Consumption,Insufficient Informatoin,Not Classified For Drinking Water,Not Evaluated,No,2933.5616797025,320186.260685602
134,2020,CT4710-06-1-L1_01,Pickerel Lake (Colchester/East aHddam),"Southeast corner of Colchester, extending slightly into E. Haddam. Drains to Moodus Reservoir","LAKE, FRESHWATER",82.11,Arces,2234,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporitng,Rereation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Ys,14161.9521647024,3576632.83900418
135,2020,CT4800-04-1-L1_01,"Hayward, Lake (East Hadda)m",Northeast corner of East Haddam.,"LAKE, FRESHWATER",172.41,Acres,1507,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Nwo,20347.5027973159,7510115.91466773
136,2020,CT4013-05-1-1_01,Crystal Lake (Middletown),"South of Randolph Road, Middletown.","LAKE, FRESHWATER",30.96,Acres,658,1080205,48,INLAND SURFACE WATERSCLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Supporting,Fish Consumption,Isnufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,11255.5418039513,1348373.05939525
137,2020,CT4607-10-1-L1_01,Beseck Lake (Middlefield),East central Middleield.,"LAKE, FRESHWATR",112.83,Acres,199,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life ad Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,12942.4451549198,4914699.51299443
138,2020,CT4710-00-1-L2_01,Moodus Reservoir (East Haddam),Northeast East Haddam.,"LAKE, FRESHWATER",440.74,Acres,1902,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Lfe and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinkin gWater,Not Evaluated,No,61417.977921655,19198771.1550512
139,2020,CT4013-08-1-L1_01,Dooley Pond (Middletown),"East of Rt 17, Middletown, 1.5 miles South of Randolph Rd.","LAKE, FRESHWATER",15.24,Acres,755,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,oN,4895.55373634131,663787.196223253
140,2020,CT47s10-00-1-L1_01,Bashan Lake (East Haddam),"North Central East Haddam, drains to Moodus Reservoir.","LAKE, FRESHWATER",265.54,gAcres,127,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,oN,28316.8113276232,11567123.2354054
141,2020,CT4014-03-2-L1_01,Higganum Reservoir (Haddam),West of Rt 81 just south of Higganum center.,"LAKE, FRESHWATER",26.4,Acres,1226,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,ecreation,Not Assessed,Fish Conumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,8248.61191464011,1150062.77004756
142,2020,CT4017-03-1-L3_01,Pattaconk Reservoir (Chester),"1.25 miles north of Rt 148, In Cockaaponset State Forest ans includes CT DEEP swimming area, Chester.","LAKE, FRESHWATER",52.25,Acres,2183,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fihs, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficietn Information,Not Classified For Drinking Water,Not Evaluated,No,11858.0551026618,2276078.93589521
143,2020,CT4017-03-1-L4_01,Cedar Lake (Chester),"North of Rt. 148, Chester.","LAKE, FRESHWATER",70.65,Acres,453,1080205,48,INLAND SURFACE WATERS CLAjSS A,"Habitat for Fish, Other Aquatic Life adn Wildlife",Insufficient Information,Recreation,Insufficient Informatzion,Fish Consumption,Insufficient Isnformation,Not Classified For Drinking Water,Not Evaluated,No,8095.6479846412,3077679.47589754
144,2020,CT4800-10-1-L1_01,Norwich Pond (Lyme),"Southeast corner of Lyme, located within Nehantic State Forest. Drains to Uncas Lake.","LAKE, FRESHWATER",29.4,Acres,2054,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumpton,Insufficient Information,Not Classified For Drinking Water,Not Evaluted,No,5068.87985719143,1280668.80590228
145,2020,CT4800-16-1-L2_01,Uncas Pond (Lme),"Southeast Lyme, located within Nehantic State Forest.","LAKE, FRESHWATR",69.03,Acres,2991,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully rSupporting,Recreation,Fully Supportling,Fis Consumption,Insufficient Information,Not Classified For Drinking Wtaer,Not Evaluated,No,10186.4172114451,3006810.01595611
146,2020,CT4318-03-1-L1_01,Stratton Brook Park Pond (Simsbury),"Small impoundment of Stratton Brook, South of Rt 309. Includes CT DEEP State swimming area in Stratton Brook State Park, Simsbury.","LAKE, FRESHWATER",2.35,Acres,2782,1080207,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed***,Recreation,Fully Supporting,Fish Consumptiqon,Ixnsufficient Information,Not Classified For Drinking Water,Not Evaluated,No,1350.69812038641,102348.431499426
