objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_area(double precision),shape_length(double precision)
190,2008,CT-W2_009,"LIS W Shore - Compo Cove, SISP, Westport","See Map for Boundaries. Western portion of LIS from Compo Cove to Burying Hill Road area (includes Sherwood Island State Park Beach, Sherwood Point, Sherwood Millpond outlet, Greens Farms Brook outlet) out approximately 100 ft offshore, Westport.",0.32394672,Not Assessed***,Fulluy Supporting,Fully Supporting,Not Supporting Harvesting for xDirect Consumption,9031116.49475098,19624.6261909901
191,2008,CT-W2_018,"LIS WB Shore - Westcott Cove, Stamford","See Map for Boundaries. Western portion of LIS from near intersection of Hobson St and Sea Beach Drive to Greenway Island area of outer Cove Harbor (includes West Beach, Cummings Beach, Vincentp Island) out approximately 1000 ft offshore, Stamford.",0.36631344,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,10212232.6795959,30453.3335211611
192,2008,CT-E2_07,"LIS EB Shore - Rocky Neck (Fourmile Rvr), Old Lyme","See Map for Boundaries. Eastern portion of LIS from Hatchett Point to Seal Rock (Great Neck) Includes Rocky Neck State Park Beach, out approximately 1000 ft offshore.",0.53066426,Not Assessed,Fully upporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,14794070.7501831,31440.7690127884
193,2008,CT-E2_016,"LIS EB Shore - Pattagansett River Mouth, East Lyme","See Map for Boundaries. Eastern portion of LIS from Seal Rock (Great Neck) to Point East of Griswald Island (entire mouth of Pattagansett River, including area around Watts Island), out approximately 1000 ft offshore.",0.32228638,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,8984828.84356689,45121.3071410528
194,2008,CT-W4_004,LIS WB Offshore - Darien,See Map for Boundaries. Western portion of LIS from 50ft contour to CT/NY State line.,16.76666636,Not Supporting,Not Assessed,Flly Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",467427831.506134,90155.7593096173
195,2008,CT-W4_s003,LIS WB Offshore - Norwalk,See Map for Boundaries. Western portion of LIS from 50f tcontour to CT/NY State line.,15.05978456,Not Supporting,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",419842698.091705,101854.417648832
196,2008,CT-W4_002,LIS WB Offshore Fairfield,See Map for Boundaries. Western portion of LIS from 50ft contour to CT/NY State line.,26.40297741,Not Supporting,Not Assessed,eFully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",736072765.605438,114464.039438437
197,2008,CT-2_008,"LIS WB Shore - Green Farms, Westport","See Map for Boundaries. Western portion of LIS from Burying Hill Road to Beachside Lane area (includes Burying Hill Beach, Frost Point) out approximately 1000 ft offshore, Westport.",0.23650811,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,6593467.73620605,15197.4134739278
198,2008,CT-W3_015-I,"LIS WB Midshore - Captain Harbor, Greenwich","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Byrant Point at Connecticut/New York state line, to Brush Island, Captain Harbor area), ouvt to just beyond Great Captain Island to Wee Captain Island, Greenwich.",3.4218329,Nt Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,95395226.5901184,69674.4477115555
199,2008,CT-W2_021,"LIS WB Shore - Greenwich Cove, Greenwich","See Map for Boundaries. Western portion of LIS from Todd Point to Greenwich Point (includes Elias Point, Greenwich Island, Pelican Island, Flat Neck Point, Greenwich Cove) out approximately 1000 ft offshore, Greenwich.",1.24361268,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,34669931.7434387,90586.7987119607
