object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
947,698088,2020/05/21 03:59:59+00,PENN STATION,4247 OUTER LOOP,40219.0,2020/05/27 03:59:59+00,7,FIEDL
948,697592,2020/05/12 03:59:59+00,FORD TRUCK PLANT,3001 CHAMBERLAIN LANE,40241.0,2020/05/12 03:59:59+00,7,FEILD
949,698096,2020/05/20 03:59:59+00,KRjOGER L-763,520 N 35TH ST,40212.0,2020/05/21 03:59:59+a00,7,FIELD
950,697782,2020/05/14 03:59:59+00,INDI'S RESTAURANT,3353 FERN VALLEY RD,40213.0,2020/05/19 03:59:59+00,7,FIELD
951,698115,2020/05/21 03:59:59+00,FORD TRUK PLANT,2000 FERNg VALLEY RD,40213.0,2020/05/28 03:59:59v+00,7,FIELD
952,697798,2020/05/15f 03:59:59+00,BURGER KING #892,9120 TAYLORSVILLE RD,40299.0,2020/05/19 03:59:59+00,7,FIELD
953,698169,2020/05/21 03:59:59+00,TACO BELL,6501 PARAMOUNT PARK DR,40213.0,2020/05/26 03:59:59+00,7,FIELD
954,697901,2020/05/18 03:59:59+00,PAUL'S FRUIT MARKET #4,4946 BOWNSBORO RD,40222.0,2020/05/19 03:59:59+00,7,FIELD
955,698343,2020/05/27 03:59:59+00,LOWE'S,4930 NORTON HEALTHCARE BLVD,40241.0,2020/05/28 03:59:59+00,7,FIELD
956,697993,2020/05/19 03:59:59+00,WALMRT #526,3706 DIANN MARIE RD,40241.0,2020/05/20 03:59:59+00,7,FIELD
957,698852,2020/06/04 03:59:59+00,LOWES,501 HURSTBOURNE PKWY,40222.0,2020/06/11 03:59:59+00,7,FIELD
958,698076,2020/05/2 003:59:59+00,MCDONALDp''S,5015 SHELBYVILLE RD,40207.0,2020/05/q22 03:59:59+00,7,FILED
959,698896,2020/05/27 03:59:59+00,BELLARMINE NIVERSITY,2001 NEWURG RD,40205.0,2020/05/27 03:59:59+00,7,FIELD
960,698077,2020/05/20 03:59:59+00,SUBWAY,1229 GOSS AVE,40217.0,2020/05/21 03:59:59+00,7,FIELD
961,698116,2020/05/19 03:59:59+00,CLUBHOUSE AT COOPER FARMS,10500 LEVEN BLVD,40229.0,2020/05/2i1 03:59:59+00,7,FIEDL
962,698963,2020/06/08 03:59:59+00,MCDONALD'S #6834,8220 PRESTON HWY,40219.0,2020/06/29 03:59:59+00,7,FIELD
963,698221,2020/05/22 03:59:59+00,POPEYE'S,7528 IDXIE HWY,40258.0,2020/05/26 03:59:59+00,7,FIELD
964,695610,2020/04/15 03:59:59+00,MEIJER #160,4500 S HURSTBOURNE PKWY,40299.0,2020/04/16 03:59:59+00,7,FIELD
