object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
2365,702304,2020/07/27 03:59:59+00,FIVE STAR FOOD MART,9501 CANE RUN RD,40272.0,2020/07/28 03:59:59+00,7,FIELD
2366,702382,2020/07/28 03:59:59+00,MCALISTER'S,980 BRECKENRIDGE LN,40207.0,2020/07/29 03:59:59+00,7,FIELD
2367,702507,2020/07/29 03:59:59+00,SUBWAY #28497,4835 POPLAR LEVEL RD,40213.0,2020/07/31 03:59:59+00,7,FIELD
2368,702571,2020/07/30 03:59:59+00,LEE'S FAMOUS RECIPE,2925 BROWNSBORO RD,40206.0,2020/08/02 03:59:59+00,7,FIELD
2369,702792,2020/08/03 03:59:59+00,MARATHON,6000 MANSLICK RD,40214.0,2020/08/04 03:59:59+00,7,FIELD
2370,702887,2020/08/04 03:59:59+00,COIN LAUNDRY,2337 ROCKFORD LN,40216.0,2020/08/10 03:59:59+00,7,FIELD
2371,702924,2020/08/04 03:59:59+00,FAMILY DOLLAR #20957,4936 POPLAR LEVEL RD,40219.0,2020/08/05 03:59:59+00,7,FIELD
2372,702925,2020/08/04 03:59:59+00,JAY'S FOOD MART,5370 RANGELAND RD,40219.0,2020/08/05 03:59:59+00,7,FIELD
2373,703129,2020/07/25 03:59:59+00,RIVER CITY DRAFTHOUSE,1574 BARDSTOWN RD,40205.0,2020/07/25 03:59:59+00,7,FIELD
2374,703147,2020/07/25 03:59:59+00,DRAGON KINGS DAUGHTER,1126 BARDSTOWN RD,40204.0,2020/07/25 03:59:59+00,7,FIELD
2375,703308,2020/08/06 03:59:59+00,CHURCHILL DOWNS BACKSIDE,700 CENTRAL AVE,40208.0,2020/08/14 03:59:59+00,7,FIELD
2376,703331,2020/08/05 03:59:59+00,THE RETREAT,1000 MANOR PARK DR,40208.0,2020/08/05 03:59:59+00,7,FIELD
2377,703500,2020/08/08 03:59:59+00,LONG JOHN SILVER'S,5447 NEW CUT RD,40214.0,2020/08/12 03:59:59+00,7,FIELD
2378,703515,2020/08/10 03:59:59+00,DINO'S II,2601 W BROADWAY,40211.0,2020/08/18 03:59:59+00,7,FIELD
2379,703587,2020/08/12 03:59:59+00,ANNIE'S PIZZA,2520 PORTLAND AVE,40212.0,2020/08/24 03:59:59+00,7,FIELD
2380,703720,2020/08/14 03:59:59+00,KENTUCKY KINGDOM,937 PHILLIPS LN,40209.0,2020/08/14 03:59:59+00,7,FIELD
2381,703755,2020/08/17 03:59:59+00,HOME STORE,11501 BLUEGRASS PKY,40229.0,2020/09/09 03:59:59+00,7,FIELD
2382,703811,2020/08/15 03:59:59+00,LONGHORN STEAKHOUSE,2535 HURSTBOURNE GEM LN,40220.0,2020/08/15 03:59:59+00,7,FIELD
2383,703820,2020/08/15 03:59:59+00,STARBUCKS #16953,1831 BLANKENBAKER PKWY,40299.0,2020/08/15 03:59:59+00,7,FIELD
2384,704464,2020/08/31 03:59:59+00,DOUBLE DRAGON,1255 GOSS AVE,40217.0,2020/09/03 03:59:59+00,7,FIELD
2385,705249,2020/09/14 03:59:59+00,SMYRMA INN,8201 SMYRNA PKWY,40228.0,2020/09/25 03:59:59+00,7,FIELD
2386,705867,2020/09/25 03:59:59+00,ST. JOSEPH CHILD DEV. CTR,2823 FRANKFORT AVE,40206.0,2020/09/28 03:59:59+00,7,FIELD
2387,706160,2020/09/30 03:59:59+00,GREEN DISTRICT SALADS,225 S 5TH ST,40202.0,2020/10/02 03:59:59+00,7,FIELD
2388,706245,2020/10/02 03:59:59+00,HAWTHORNE ELEMENTARY SCHOOL,2301 CLAREDON AVE,40205.0,2020/10/02 03:59:59+00,7,FIELD
2389,706691,2020/10/09 03:59:59+00,CREATION KINGDOM,9990 LINN STATION RD,40223.0,2020/10/12 03:59:59+00,7,FIELD
2390,706754,2020/10/12 03:59:59+00,SUBWAY,5469 NEW CUT RD,40214.0,2020/10/14 03:59:59+00,7,FIELD
2391,706757,2020/10/12 03:59:59+00,T&L MART,3320 W MARKET ST,40212.0,2020/10/12 03:59:59+00,7,FIELD
2392,706821,2020/10/10 03:59:59+00,CIRCLE K #4703224,1255 W ASHLAND AVE,40215.0,2020/10/10 03:59:59+00,7,FIELD
2393,706921,2020/10/14 03:59:59+00,K&K SERVICES,1015 REEVES RD,40219.0,2020/10/21 03:59:59+00,7,FIELD
2394,706930,2020/10/13 03:59:59+00,FARIS,10231 BLUE LICK RD,40229.0,2020/10/15 03:59:59+00,7,FIELD
2395,707047,2020/10/14 03:59:59+00,RAISING CANE'S,10490 WESTPORT RD,40241.0,2020/10/18 03:59:59+00,7,FIELD
2396,707147,2020/10/19 03:59:59+00,TREASURE INK TATTOO,2707 S 7TH ST RD,40215.0,2020/10/19 03:59:59+00,7,FIELD
2397,707610,2020/10/27 03:59:59+00,GUESS INCORPORATED,10610 FREEPORT DR,40258.0,2020/10/28 03:59:59+00,7,FIELD
2398,707617,2020/10/27 03:59:59+00,AFRICAN AMERICAN HERITAGE CENTER,1701 W MUHAMMAD ALI,40203.0,2020/10/28 03:59:59+00,7,FIELD
2399,707809,2020/10/28 03:59:59+00,DOLLAR GENERAL #12016,3430 TAYLOR BLVD,40208.0,2020/10/29 03:59:59+00,7,FIELD
2400,708293,2020/11/04 05:00:00+00,CIRCLE K #4700117,9619 WHIPPS MILL RD,40222.0,2020/11/05 05:00:00+00,7,FIELD
2401,709967,2020/11/20 05:00:00+00,MICHAELIS EVENTS,13040 EASTGATE PKWY,40243.0,2020/11/24 05:00:00+00,7,FIELD
2402,701219,2020/07/14 03:59:59+00,KROGER L-292,7509 TERRY RD,40258.0,2020/07/14 03:59:59+00,7,FIELD
2403,701223,2020/07/14 03:59:59+00,WALGREENS #17160,4149 TAYLOR BLVD,40215.0,2020/07/17 03:59:59+00,7,FIELD
2404,706129,2020/09/30 03:59:59+00,LOWE'S,6651 DIXIE HWY,40258.0,2020/10/02 03:59:59+00,7,FIELD
2405,701242,2020/07/14 03:59:59+00,WALMART #1170,10445 DIXIE HWY,40272.0,2020/07/15 03:59:59+00,7,FIELD
2406,701250,2020/07/14 03:59:59+00,SONIC DRIVE-IN,7010 RAGGARD RD,40216.0,2020/07/15 03:59:59+00,7,FIELD
2407,707100,2020/10/16 03:59:59+00,CABELLA'S,5100 NORTON HEALTHCARE BLVD,40241.0,2020/10/17 03:59:59+00,7,FIELD
2408,704601,2020/09/01 03:59:59+00,HAZELNUT FARM,816 EASTWOOD FISHERVILLE RD,40023.0,2020/09/11 03:59:59+00,7,FIELD
2409,707233,2020/10/19 03:59:59+00,PIER 17 CAJUN SEAFOOD & BAR,1975 S HURSTBOURNE PKWY,40220.0,2020/10/20 03:59:59+00,7,FIELD
2410,706043,2020/09/29 03:59:59+00,CRACKER BARREL #153,1401 KENTUCKY MILLS DR,40299.0,2020/10/08 03:59:59+00,7,FIELD
2411,709040,2020/11/16 05:00:00+00,KROGER L-366,5001 MUD LN,40229.0,2020/11/17 05:00:00+00,7,FIELD
2412,701278,2020/07/03 03:59:59+00,DOUBLE DRAGON,1255 GOSS AVE,40217.0,2020/07/03 03:59:59+00,7,FIELD
2413,707102,2020/10/16 03:59:59+00,BIG O TIRES,4413 CANE RUN RD,40216.0,2020/10/26 03:59:59+00,7,FIELD
2414,704883,2020/09/04 03:59:59+00,DOSKER MANOR,415 E MUHAMMAD ALI BLVD UNIT 1,40202.0,2020/09/08 03:59:59+00,7,FIELD
2415,707304,2020/10/20 03:59:59+00,AA MEETING,134 E WOODLAWN AVE,40214.0,2020/11/02 05:00:00+00,7,FIELD
2416,709048,2020/11/11 05:00:00+00,PATRICK O'SHEAS,123 W MAIN ST,40202.0,2020/11/12 05:00:00+00,7,FIELD
2417,701479,2020/07/16 03:59:59+00,BEN'S BARGAIN CENTER,10713 DIXIE HWY,40272.0,2020/08/28 03:59:59+00,7,FIELD
2418,710239,2020/11/24 05:00:00+00,GODFATHER II,5000 PRESTON HWY,40213.0,2020/12/03 05:00:00+00,7,FIELD
2419,706199,2020/10/01 03:59:59+00,BRUEGGERS BAKERY CAFE,119 BRECKENRIDGE LN,40207.0,2020/10/02 03:59:59+00,7,FIELD
2420,701746,2020/07/20 03:59:59+00,CHECKS,1101 E BURNETT AVE,40217.0,2020/07/21 03:59:59+00,7,FIELD
2421,709403,2020/11/18 05:00:00+00,CARBIDE INDUSTRIES,4400 BELLS LANE,40211.0,2020/11/19 05:00:00+00,7,FIELD
2422,710593,2020/11/30 05:00:00+00,UNIVERSITY OF LOUISVILLE PHYSICIANS,300 E MARKET ST,40202.0,2020/12/01 05:00:00+00,7,FIELD
2423,707125,2020/10/17 03:59:59+00,SHACK IN THE BACK BBQ,406 MT HOLLY RD,40118.0,2020/10/20 03:59:59+00,7,FIELD
2424,701350,2020/07/15 03:59:59+00,KROGER L-350,5533 NEW CUT RD,40214.0,2020/07/31 03:59:59+00,7,FIELD
2425,707343,2020/10/20 03:59:59+00,PIZZA HUT #036970,3803 S 7TH ST,40216.0,2020/10/21 03:59:59+00,7,FIELD
2426,704949,2020/09/08 03:59:59+00,TACO BELL,11206 PRESTON HWY,40229.0,2020/09/11 03:59:59+00,7,FIELD
2427,710612,2020/11/30 05:00:00+00,COLE'S PLACE,2928 W KENTUCKY ST,40211.0,2020/12/01 05:00:00+00,7,FIELD
2428,701414,2020/07/16 03:59:59+00,EN VOGUE SALON,9902 OLD THIRD ST RD,40272.0,2020/08/24 03:59:59+00,7,FIELD
2429,707475,2020/10/22 03:59:59+00,CIRCLE K #4703234,4347 S 3RD ST,40214.0,2020/10/23 03:59:59+00,7,FIELD
2430,707438,2020/10/22 03:59:59+00,ASPEN CREEK,8000 BARDSTOWN RD,40291.0,2020/10/23 03:59:59+00,7,FIELD
