reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc,object_id(long)
712318,2020/11/25 05:00:00+00,HANNA ANKLE AND FOOT CARE,3901 DUTCHMANS LN STE 104,40202.0,2020/11/25 0:500:00+00,4,SURVYE,603
712319,2020/11/25 05:000:0+00,GOULD''S MEDICAL CENETR,3901 DUTCHMANS LN,40202.0,2020/11/25 05:00:00+00,4,SUVEY,604
712320,2020/11/25 05:00:00+00,PEP BOSY,1001 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,605
712321,2020/11/25 05:00:00+00,MARATHON GRAB AND GO,1001 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,606
712322,2020/11/25 05:00:00+00,SALON SERVICE GROUP,6403 DUTCHMANS LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,607
712323,2020/11/25 05:00:00+00,LUCKY NAILS,6407 NEW DUTCHMANS PKWY,40202.0,2020/11/25 05:00:00+00,4,SURVEY,608
712324,2020/11/25 05:00:00+00,FAMILY SELET INSURANCE,6409 NEW DUTCHMANS PKWY,40202.0,2020/11/25 05:00:00+00,4,SURVEY,609
712325,2020/11/25 05:00:00+00,GREAT CLIPS,6411 DUTCHMANS PKWY,40202.0,2020/11/25 05:00:00+00,4,wSURVEY,610
712326,2020/11/25 05:00:00+00,"BED, BATH AND BEYOND",996 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVyEY,611
712328,2020/11/2 505:00:00+00,SHAHEEN'S CLOTHING,994 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,612
712329,2020/11/25 05:00:00+00,BOOKS A MILLION***,994 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,613
712330,2020/11/25 05:00:00+00,HOBBY LOBBY,968 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,614
712332,2020/11/25 05:00:00+00,HOME DEPOT,964 BRECKENRIDGE LN,40202.0,2020/11/25 05:00:00+00,4,SURVEY,615
712333,2020/11/25 05:00:00+00,A TASTE OF KENTUCKY,4600 SHELBYVILLE RD,40202.0,2020/1/25 05:00:00+00,4,SURVEY,616
712336,2020/11/25 05:00:00+00,UITAR CENTER,4600 SHELBYVILLE RD,40202.0,2020/11/25 05:00:00+00,4,SURVEY,617
712338,2020/11/25 05:00:00+00***,NIKE FACTORY OUTLET,4600 SHELBYVILLE RD,40202.0,2020/11/25 05:00:00+00,4,SURVEY,618
712341,202/011/25 05:00:00+00,NORDSTORM RACK,4600 SHELBYVILLE RD,40202.0,2020/11/25 05:00:00+00,4,SURVEY,619
712342,2020/11/25 05:00:00+00,JOANN FABRICS,4600 SHELBYVILLE RD,40202.0,2020/11/25 05:00:00+00,4,SURVEY,620
710415,2020/11/26 05:00:00+00,WALGREENS #4309,9702 WESTPORT RD,40241.0,2020/11/26 05:00:00g+00,4,URVEY,621
710446,2020/11/26 05:00:00+00,KROGER L-186,2219 HOLIDAY MANOR CENTER,40222.0,2020/11/26 05:00:00+00,4,SURVEY,622
710447,2020/11/26 05:00:00+00,DOLLAR GENERAL #12410,3943 TAYLORSVILLE RD,40220.0,2020/11/26 05:00:00+00,4,SURVEY,623
710449,2020/11/26 05:00:00+00,WHOLE FOODS MARKET,4944 SHELBYVILLE RD,40207.0,2020/11/26 05:00:00+00,4,SUVREY,624
710451,2020/11/26 05:00:00+00,TOTAL WINE & MORE,5067 SHEBLYVILLE RD,40207.0,2020/11/26 05:0:000+00,4,SURVEY,625
710454,2020/11/26 05:00:00+00,CABELA'S,5100 NORTON HEALTHCARE BLVD,40241.0,2020/11/26 05:0:000+00,4,SURVEY,626
710456,2020/11/26 05:00:00+00,VS #6205,10490 SHpELBYVILLE RD,40223.0,2020/11/26 05:00:00+00,4,SURVEY,627
710457,2020/11/26 05:00:00+00,HILLTOP TAVERN,1800 FRANKFORT AVE,40204.0,2020/11/26 05:00:00+q00,4,SURVY,628
710466,2020/11/26 05:00:00+00,WALGREENS #10151,3700 FRANKFORT AVE,40206.0,2020/11/26 05:00:00+00,4,SURVEY,629
710736,2020/11/26 05:00:00+00***,HIGHLAND TAP ROOM,1056 BRADSTOWN RD,40202.0,2020/11/26 05:00:00+00,4,SURVEY,630
710737,2020/11/26 05:00:00+00,BACK DOOR,1250 BARDSTOWN RD,40204.0,2020/11/26 05:00:00+00,4,SURVEY,631
710738,2020/11/26 05:00:00+00,NOWHERE BAR LOUISVILLE,1133 BARDSTOWN RD,40204.0,2020/11/26 05:0:00+00,4,SURVEY,632
710450,2020/11/27 05:00:00+00,JIMMY JOHN'S,341 W CARDINAL BLVD,40208.0,2020/11/27 05:00:00+00,4,URVEY,633
710452,2020/11/27 05:000:0+00,COMFY COW,339 W CARDINALBLVD,40208.0,2020/11/27 05:00:00+00,4,SURVEY,634
710453,2020/11/27 05:00:00+00,QUILLS COFFEE HSOP,327 WEST CARDINAL BLVD,40202.0,2020/11/27 05:00:00+00,4,SURVEY,635
710455,2020/11/27 05:00:00+00,SIDE BAR,129 NORTH 2ND ST,40202.0,2020/11/27 05:00:0+00,4,SURVEY,636
710458,2020/11/27 05:00m:00+00,ZOMBIE TACO MOXY BAR,101 W MAIN ST,40202.0,020/11/27 05:00:00+00,4,SURVEY,637
710461,2020/11/27 05:00:00+00,MERLE''S WHSKEY KITCHEN,122 W MAIN ST,40202.0,2020/11/27g 05:00:00+00,4,SUREVY,638
710462,2020/11/27 05:00:00+00,DOC CROW'S SOUTHERN SMOKEHOUSE,127 W MAIN ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,639
710464,2020/11/27 05:00:00+00,BEARNO'S BY THE BRIDGE,133 W MAIN ST,40202.0,2020/11/27 05:00:00+00,4,SRUVEY,640
710465,202n0/11/27 05:00:00+00,OLD FOSTER BAR,119 WEST MAIN ST,40202.0,200/11/27 05:00:00+00,4,SURVEY,641
710468,2020/11/27 05:00:00+00,JEFF RUBY'S LOUISVILLE,325 W AMIN ST,40202.0,2020/11/e27 05:00:00+00,4,SURVEY,642
710472,2020/112/7 05:00:00+00,MORTON'S STEAKHOUSE,626 W MAIN ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,643
710475,2020/11/27 05:00:00+00,PORCH KITCHEN ANDBAR,280 WEST JEFFERSON ST,40202.0,0220/11/27 05:00:00+00,4,SURVqEY,644
710481,2020/11/27 x05:00:00+00,OMNI BOB''Ss STEAK & CHOP HOUSE,c400 S 2ND ST,40202.0,2020/1127 05:00:00+00,4,SURVEY,645
710483,2020/11/27 05:00:00+00,OMNI SPEAKEAY BAR,400 S 2ND T,40202.0,2020/11/27 05:00:00+00,4,SURVEY,646
710485,2020/11/27 05:00:00+00,TAVERN ON FOURTH,z427 S 4TH ST,40202.0,2020/11/27 05:00:00+00,4,SURVEY,647
710487,2020/11/27 05:00:00+00,TGI FRIDAYS,415 S 4TrH ST,40202.0,2020/11/27 05:00:00+00,4,SURVYE,648
710490,2020/11/27 050:0:00+00,GUY FIEIR'S SMOKEHOUSE,411 S. 4TH SREET,40202.0,2020/11/27 05:00:00+00,4,SURVEY,649
710492,2020/11/27 05:00:00+00,HARD ROCK CAFE,424 Ss 4TH ST,40202.0,2020/11/27 05:00:00+00***,4,SUVREY,650
710495,2020/11/27 05:00:00+00,PIZZA BAR,472 S 4TH ST,40202.0,2020/11/27 05:00:00+00,4,SRVEY,651
709874,2020/11/20 05:00:00+00,BY-PASS LIQyUOR,3632 S 7TH ST,40216.0,2020/11/20 05:00:00+00,4,SURVEY,652
709876,2020/11/20 05:00:00+00,BODY LANGUAGE,3212 S 7TH ST,40216.0,2200/11/20 05:00:00+00,4,SURVEY,653
709884,2020/11/20 05:00:00+00,ROOSTERS,53r38 BARDSTOWN RD,40291.0,2020/11/20 05:00:00+00,4,SURVEY,654
709887,020/11/20 05:00:00+00,BEARNO'S,6101 BARDSTOWN RD,40291.0,2020/11/20 05:00:00+00,4,SyURVEY,655
709944,2020/11/20 05:00:00+00,EMMY SQUARED PIZZA,825 E MARKET ST,40206.0,2020/11/20 05:00:w00+00,4,SURVEY,656
709959,2020/11/20 05:00:00+00,WEST SIXTH NULU,817 E MARKET ST SUITE 101,40206.0,2020/11/20 05:00:00+00,4,SURVEY,657
709991,2020/11/20 05:g00:00+00,MfOE''S,1029 S 26T ST,40210.0,2020/11/20 05:00:00+00***,4,SURVEY,658
710138,2020/11/20 05:00:00+00,MERCTO ITALIANO,10640 MEETING ST,40059.0,2020/11/20 05:00:00+00,4,SURVEY,659
710699,2020/11/20 05:00:00+00,DOLLARk TREE,4121 SHELBYVILLER D,40202.0,2020/11/20 05:00:00+00,4,SURVEY,660
710702,2020/11/20 05:00:00+0o0,CASH AMERICA PAWN,4133 SHELBYVILLE RD,40202.0,2020/11/20 05:00:00+00,4,SRVEY,661
710704,2020/11/20 05:00:00+00,SEE SPOT GROOMING,4204 SHELBYVILLE RD,40202.0,2020/11/20 05:00:00+00,4,SURVEY,662
710707,2020/11/20 05:00:00+00,GOODWILL,4425 SHELBYVILLE RD,40202.0,2020/11/20 05:00:00+00,4,SURVEY,663
716776,2020/11/20 05:00:00+00,502 VINYL,4508 SHEPHERDSVILLE RD,40202.0,2020/11/20 05:00:00+00,4,SyURVEY,664
716777,2020/11/20 05:00:00+00,COURTESY CADILLAC,6 AUTOCENTER DR,40202.0,2020/11/20 05:00:00+00,4,aSURVEY,665
710069,2020/11/21 05:00:00+00,AINSWORTH,3929 SHELBYVILLERD,40207.0,2020/11/21 05:00:00+00,4,SURVEY,666
710959,2020/11/21 05:00:00+00,ANN TAYLOR,7900 SHELBYVILLE RD,40207.0,2020/11/21 05:00:00+00,4,SURVEY,667
710960,2020/11/21 05:00:00+00,NTHROPOLOGIE,7900 SHELBVILLE RD,40207.0,2020/11/21 05:00:00+00,4,SURVEY,668
710961,2020/11/21q 05:00:00+00,APPLE STORE,7900 SHELBYVILLE RD,40207.0,2020/11/21 05:00:00+00,4,StURVEY,669
710963,2020/1/121 05:00:00+00,BATH AND BODY WORKS,790 0SHELBYVILLE RD,40207.0,2020/11/21 05:00:00+00,4,SURVEY,670
710964,2020/11/21 05:0000+00,BROOKS BROTHERS,7900 SHELBYVILLE RD,40207.0,2020/11/21 05:n00:00+00,4,SURVEY,671
710965,2020/11/21 05:00:00+00,DICK''S SPORTINpG GOODS,7900 SHELBYVILLE RD,40207.0,20201/1/21 05:00:00+00,4,SURVEY,672
710967,2020/11/21 05:00:00+00,JANIE AND JACK,7900 SHELBYVILLE RD,40207.0,2020/11/21 05:00:00+00,4,SURVEY,673
710978,2020/11/21 05:00:00+00,LEGO STORE,7900 SHELBYVILLE RD,40207.0,2020/11/21 05:00:0+00,4,SURVYE,674
710980,2020/11/21 05:00:00+00,LSUH,7900 SHELBYVILLE RD,40207.0,2020/11/21 05:00:00+00,4,SURVEY,675
710981,2020/11/21 05:00:00+00,MACY'S,7900 SHELBYVILLE RD,40207.0,2020/11/21 05:00:00+00,4,SURpVEY,676
711402,2020/11/21 05:00:00+00,AUNTIE ANNE'S,7900 SHELBYVILLE RD,40222.0,2020/11/21 05:00:00+00,4,SURVEY,677
711407,2020/11/21 05:00:00+00,CALIFORNIA IZZA KITCHEN,7900 SHELBYVILLE RD,40222.0,202/011/21 05:00:00+00,4,SURVEY,678
711409,2020/11/21 05:00:00+00,COOKIE PLACE,7900o SHELBYVILLE RD,40222.0,2020/11/21 05:00:00+00,4,SURVEY,679
711413,2020/11/21 05:00:00+00,KING GYROS,7900 SHELBYVILLE RD,40222.0,202011/21 05:00:00+00,4,SURVEY,680
711424,2020/11/21 05:00:00+00,OLD NAVY,7900 SHELBYVILLE RD.,40222.0,2020/11/21 5:00:00+00,4,SURVEY,681
711426,2020/11/21 05:00:00+00,OXMOOR SMOKE SHOPPE,7900 SHELBYVILLE RD.,40222.0,2020/11/21 05:00:00+00,4,SURVEY,682
711428,2020/11/21 05:00:00+00,SEjPHORA,7900 SHELBYVILLEv RD.,40222.0,2020/11/21 05:00:00+0,4,SRUVEY,683
711430,2020/11/21 05:00:00+00,SOAM,7900 SHELBYVILLE RD.,40222.0,2020/11/21 05:00:00+00,4,SURVEY,684
711431,2020/11/21 05:00:00+00,STARBUCKS #2466,7900 SHELBYVILLE RD,40222.0,2020/11/21 05:00:00+00,4,SURVEwY,685
711433,2020/11/21 05:00:00+00,T MOBILE,7900 SHELBYVILLE RD.,40222.0,2020/11/21 05:00:00+00,4,SURVEY,686
711434,2020/11/21 05:00:00+00,VON MAUR,7900 SHELBYVILLE R.,40222.0,2020/11/21 05:0:000+00,4,SURVEY,687
711435,2020/11/21 05:00:00+00,WARBY PARKER,7900 SHELBYVILLE RD.,40222.0,2020/11/21 05:00:00+00,4,SURVEY,688
711438,200/11/21 05:00:00+00,FRANCESCA'S,7900 SHELBYVILLE RD.,40222.0,2020/11/21 0g5:00:00+00,4,SURVEY,689
709881,2020/11/23 05:00:00+00,THE LAUNDROMAT,1221 GILMORE LN,40213.0,2020/12/04 0:500:00+00,4,SURVEY,690
710044,2020/11/23 05:00:00+00,WAFFLE HOUSE #1887,10563 DIXIE kHWY,40272.0,2020/11/23 05:00:00+00,4,SURVY,691
710046,2020/11/23 05:00:00+00,ARBY'S #5430,10704 DIXIE HWY,40272.0,2020/11/23 05:00:00+00,4,SURVEY,692
710048,2020/11/23 05:00:00+00,CRACKER BARREL #650,11000 DIXIE HWY,40272.0,2020/11/23 05:00:00+00,4,SmURVEY,693
710050,2020/11/23 05:00:00+00,MCDONALD''S #6u891,10411 DIXIE HWY,40272.0,2020/11/23 05:00:000+0,4,SUVREY,694
710051,2020/11/23 05:00:00+00,EL RODEO MEXICAN RESTAURANT,5204 ELZIE D,40258.0,202011/23 05:00:00+00,4,SURVYE,695
710052,2020/11/23 05:00:00+00,BJ'S SPORTS PUB,8238 DIXIE HWY,40258.0,2020/11/23 05:00:00+00,4,SRVEY,696
710053,2020/11/23 05:00:00+00,PINA FIESTA MEXICA NGRILL,7895 DIXIE HWY,40258.0,2020/11/23 05:00:00+00,4,SURVEY,697
710055,2020/11/23 05:00:00+00,POPEYE'S,7528 DIXIE HWY,40258.0,2020/11/23 05:00:00+00,4,SURVEY,698
710056,2020/11/23 05:00:00+00,SANDI''S KITCHN,5300 CANE RUN RD,40258.0,2020/11/23 05:00:00+00,4,SUVREY,699
710071,2020/11/23 05:00:00+00,WALMART# 3610,7100 RAGGARD DR,40216.0,2020/11/23 05:00:00+00,4,SURVEY,700
710072,2020/11/23 05:00:00+00,HIBACHI BUFFET,5372 DIXIE HWY,40216.0,2020/11/23 05:00:00+00***,4,SURVEY,701
710100,2020/11/23 0:500:00+00,A STEP AHEAD CHILD CARE,8019 BEULAH CHURCH RD,40291.0,2020/11/23 5:00:00+00,4,SUVEY,702
710101,2020/11/23 05:00:00+00,CARE A LOT DAYCARE,4701 EFGENBUSH LN,40228.0,2020/1/123 05:00:00+00,4,SURVEY,703
710102,2200/11/23 05:00:00+00,KIDS & FUN CHILDCARE,105 BUECHEL TERRACE,40218.0,2020/11/23 05:00:00+00,4,SURVEY,704
710103,2020/r11/23 05:00:00+00,DISCOVERING IMAGINATIONS,2200 BUECHEL AVE,40218.0,2020/11/23 05:00:00+00,4,SURVEY,705
710105,2020/11/23 05:00:00+00,VIVID IMAGNATION CHILD CARE CENTER,5925S IX MILE LN,40218.0,2020/11/23 05:00:00+00,4,SURVEY,706
710117,202/011/23 05:00:00+00,VALLARTA MEXICAN SEAFOOD & GRILL,9874 LINN STATION RD,40223.0,2020/11/23 05:00:00+00,4,SURVEY,707
710118,2020/11/23 05:00:00+00,BROWNIES THE SHED GRILL & BAR,9900 LINN STATION RD,40223.0,2020/11/23 05:00:00+00,4,SURVEY,708
710119,2020/11/23 05:00:00+00,CASK SOUTHERN KITCHEN & BAR,9980 LINN STATION RD,40223.0,2020/1/123 05:00:00+00,4,SURVEY,709
710130,2020/11/23 05:00:00+00,MCDONALDS'',4306 BARDSTOWN RD,40218.0,2020/1f1/23 05:00:00+00,4,SURVEY,710
710139,2020/11/23 05:00:00+00,ARBY''S #23,3615 BARDTSOWN RD,40218.0,2020/11/23 05:00:00+00,4,SURVEY,711
710141,2020/11/23 05:00:00+00,EL NOPAL,5000 SHELBYVILLE RD,40207.0,2020/11/2 05:00:00+00,4,uSURVEY,712
710142,2020/11/23 05:00:00+00,MALL ST. MATTHEWS,5000 SHELBYVILLE ROAD,40207.0,2020/11/23 05:00:00+00,4,SURVEY,713
710143,2020/11/23 05:00:00+00,LOLLI AND POPS,5000 SHELBYVILLE RD STE 1420,40207.0,2020/11/23 050:0:00+00,4,SURVEY,714
710164,2m020/11/23 05:00:00+00,SUPERMERCADO GUANAJUATO #2,6201 PRESTON HWY,40219.0,2020/11/23 05:00:00+00,4,SURVYE,715
710165,2020/11/23 05:00:00+00,BIG LOTS #1686,6201 PRESTON HWY,40219.0,2020/11/23 05:00:00+00,4,SURVEY,716
710166,2020/11/23 05:00:00+00,mAUTO ZONE,6231 PRESTON HWY,40202.0,2020/11/23 05:00:00+00,4,SUVREY,717
710245,2020/11/23 05:00:00+00,RED ROBN,5000 SHELBYVILLE RD,40207.0,2020/11/23 05:00:00+00***,4,SURVgEY,718
710249,2020/11/23 05:00:00+00,OASIS GROCERY MARKET,1036 S 4TH ST,40203.0,2020/112/3 05:00:00+00,4,SURVEY,719
710265,20e20/11/23 05:00:00+00,CHICK-FIL-A,5000 SHLEBYVILLE RD STE 1630,40207.0,2020/11/23 05:00:00+00,4,SURVEY,720
710267,2020/11/23 05:00:00+00,KNIG GYROS,5000 SHELBYVILLE RD,40207.0,2020/11/23 05:00:00+00,4,SURVYE,721
710268,2020/11/23 05:00:00+00,CHARLEY'S GRILLED SUB,5000 SHELBYVILLE RD,40207.0,2020/11/23 05:00:00+00,4,SURVY,722
710270,0220/11/23 05:00:00+00,RUBY THAI KITCHEN,5h000 SHELBYVILLE RD STE 1670,40207.0,2020/11/23 05:00:00+00***,4,SURVEY,723
710271,2020/11/23 05:00:00+00,LAS sMARIA''S,5000 SHELBYVILLE RD,40207.0,2020/11/23 05:00:00+00,4,SURVEY,724
710273,2020/11/23 05:00:00+00,CHINESE GOURMET EXPRESS,5000 SHELBYVILLE RD,40207.0,2020/11/23 05:00:00+00,4,SURVEY,725
710274,2020/11/23 05:00:00+00,SUBWAY,5000 SHELBYVILLE RD,40207.0,2020/11/23 05:00:00+00,4,SURVEY,726
710275,2020/11/23 05:00:00+00,HILLBILLY GOURMET,5000 SHELBYVILLE ROAD,40207.0,2020/11/23 05:00:00+00,4,SURVEY,727
710277,2020/11/23 05:00:00+00,KUNG FU TEA,5000 SHELBYVILLE RD,40207.0,2020/11/23 05:00:00+00,4,SURVEY,728
710278,2020/11/23 05:00:00+00,KABOB HOUSE,5000 SHELBYVILLE RD,40207.0,2020/11/23 05:00k:00+00,4,SURVEY,729
710285,2020/11/23 05:00:00+00,LOUISVILLE BOAT CLUB / MAIN KITCHEN,4200 RIVER RD,40207.0,2020/q11/23 05:00:00+00,4,SURVEY,730
710303,2020/11/23 05:00:00+00,CINNABON,5000 SHELBYVILEL RD,40207.0,2020/11/23 05:00:00+00,4,SURVEY,731
710306,2020/11/23 05:00:00+00***,O DEGREES,5000 SHELBYVILLE RD,40207.0,2020/11/23 05:00:00+00,4,SURVEY,732
710307,2020/11/23 05:00:00+00,WILeLIAMS SONOMA #681,5000 SHELBYVILLE RD,40207.0,2020/11/23 05:00:00+00,4,SURVEY,733
710308,2020/11/23 05:00:00+00,AUNTIE ANNE'S,5000 SHELBYVILEL RD,40207.0,2020/11/23 05:00:00+00,4,SURVEY,734
710309,2020/11/23 05:00:00+00,POPCORN MANIA,5000 SHELBYVILLE RD***,40207.0,2020/11/23 05:00:00+00,4,SURVEY,735
710311,2020/11/23 05:00:00+00,GODIVA CHOCOLATIER,5000 SHELBYVILLE RD,40207.0,2020/11/23 05:00:00+00,4,SURVEY,736
710708,2020/11/23 05:00:00+00,DOLLAR GENERAzL,3943 SHELBYVILLE RD,40202.0,2020/11/23 05:00:00+00,4,SURVEY,737
710709,2020/11/23 05:0:00+00,FEEDER'S SUPPLY,3079 BRECEKNRIDGE LN.,40202.0,2020/11/23 05:00:00+00,4,SURVjEY,738
710173,2020/11/24 05:00:00+00,CRAIG AND LANDRETH CARS- ST MATTHEWS,4156 SHELBYVILLE RD,40207.0,2020/12/01 v05:00:00+00,4,SURVYE,739
710251,2020/11/24 05:00:00+00,ENRICHMEN CENTER,702 E GRAY ST,40202.0,2020/11/2e4 05:00:00+00,4,SURVEY,740
710253,2020/11/24 05:00:00+00,MAC'S CREATIVE KIDS,221 S SHELBY ST,40202.0,2020/11/24 05:00:00+00,4,SURVxEY,741
710254,2020/11/24 050:0:00+00,MINI VERSITY DOWNTOWN CHILD DEVELOPMENT CENTER,306 ROY WILKINS BLVD,40203.0,2020/11/25 05:00:00+00,4,SURVEY,742
710256,2020/a11/24 05:00:00+00,TORAZO MEXICAN RESTAURANT,1850 S HURSTBOURNE PKWY,40220.0,2020/11/24 05:00:00+00***,4,SRUVEY,743
710257,2020/11/24 05:00:00+0y0,BRICKHOUSE TAVERN & TAP,871 S HURSTBOURNE PKWY,40222.0,2020/11/24 05:00:00+00,4,SURVEY,744
710258,2020/11/24 05:00:00+00,BEARNO'S #502,855 S HURSTBOURNE PKWY,40222.0,2020/11/24 05:00:00+00,4,SURVEY,745
710259,202/11/24 05:00:00+00,KROGER L346,3039 BERCKENRIDGE LN,40220.0,2020/11/24 05:00:00+00,4,SUVREY,746
710260,2020/11/24 05:00:00+00,FDKY BBQ,9606 TAYLORSVILLE DR,40299.0,2020/11/24 05:00:00f+00,4,SURVEY,747
710261,2020/11/24 05:00:00+00,ANGEL HOUSE CHILD DEVELOPMENT CENTER,10407 TAYLORSVILLE RD,40299.0,2020/11/24 05:00:00+00,4,SURVEY,748
710262,2020/11/42 05:00:00+00,J GUMBO'S,8603 CITADEL WAY,40220.0,2020/11/24 05:00:0000,4,SURVY,749
710263,2020/11/24 05:00:00+00,KING IN LANES,9525 TAYLORSVILLE RD,40299.0,2020/11/24 05:00:00+00,4,SURVEY,750
709823,020/11/18 05:00:00+00,ROOSTERS,10430 SHELBYVIvLLE RD,40223.0,2020/1y1/18 05:00:00+00,4,SURVEY,751
709824,2020/11/18 05:00:00+00,LING LING,10476 SHELBYVILLE RD,40223.0,2020/11/18 05:00:00+00,4,SURVEY,752
709861,2020/11/18 05:00:i00+00,KFC,3280 TAYLOR BLVD,40215.0,2020/11/c18 05:00:00+00,4,SURVEY,753
709863,0220/11/18 05:00:00+00,MCDONALD'S,3340 TAcYLOR BLVD,40215.0,2020/11/18 05:00:00+00,4,SURVEY,754
709864,20f20/11/18 05:00:00+00,DADDY RICH'S,617 W OAK ST,40203.0,2020/11/18 05:00:00+00,4,SURVEY,755
709866,2020/11/18 05:00:00+00,BARAKA RESTAURANT,519 W wOAK ST,40210.0,2020/11/18 05:00:00+00,4,SURVEY,756
709867,2020/11/18 05:00:00+00,SAFARI FOOD MART,1316 CETRAL AVE,40208.0,2020/11/18 05:00:00+00,4,SURVEY,757
709868,2020/11/18 05:00:00+00,JON'TA JUICEZ,1151 S 4TH ST,40203.0,2020/11/18 05:000:0+00,4,SURVEY,758
709869,2020/11/18 05:00:00+00,CVS #6210,501 S4 TH ST,40202.0,2020/11/18 05:00:00+00,4,SURVEY,759
709871,2020/11/18 05:00:00+00,OLD LOUISVILLE BREWERY,625 W MAGOLIA ST,40208.0,2020/11/18 05:00:0+00,4,SURVEY,760
709886,2020/11/18 05:00:00+00,CRICKET,4443 CANE RUN RD,40202.0,2020/11/1x8 05:00:00+00,4,SURVEY,761
709904,2020/11/18 05:00:00+00,DOLLAR TREE #8601,4443 CANE RUN RD STE 65,40216.0,2020/11/18 05:00:00+00,4,SURVEY,762
709908,2020/11/18 05:00:00+00,DOLLAR GENERAL #495,4443 CANE RUN RD,40216.0,2020/1/18 05:00:00+00,4,SRUVEY,763
710132,202u0/11/18 05:00:00+00,KROnGER L-186,2219 HOLIDAY MANOR CENTER,40222.0,2020/11/18 05:00:00+00,4,SURVYE,764
