reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc,object_id
713556,2020/12/16 05:00:00+00,IDEAL IMAGE,4600 SHELBYVILLE RD.,40206.0,2020/12/16 05:00:00+00,4,SURVEY,1803
713557,2020/12/16 05:00:00+00,GUITAR CENTER,4600 SHELBYVILLE RD.,40206.0,2020/12/16 05:00:00+00,4,SURVEY,1804
713558,2020/12/16 05:00:00+00,BUFF CITY SOAP,4600 SHELBYVILLE RD.,40206.0,2020/12/16 05:00:00+00,4,SURVEY,1805
713559,2020/12/16 05:00:00+00,VITAMIN SHOPPE,4600 SHELBYVILLE RD.,40206.0,2020/12/16 05:00:00+00,4,SURVEY,1806
713648,2020/12/16 05:00:00+00,MICASITA ON 4TH,520 SOUTH 4TH ST,40202.0,2020/12/16 05:00:00+00,4,SURVEY,1807
713649,2020/12/16 05:00:00+00,WALGREENS,532 SOUTH 4TH ST,40202.0,2020/12/16 05:00:00+00,4,SURVEY,1808
713650,2020/12/16 05:00:00+00,DERBY CITY TABACCO & LIQUOR,207 SOUTH 5TH ST,40202.0,2020/12/16 05:00:00+00,4,SURVEY,1809
713651,2020/12/16 05:00:00+00,440 MARKET,440 WEST MARKET ST,40202.0,2020/12/16 05:00:00+00,4,SURVEY,1810
713652,2020/12/16 05:00:00+00,DISH ON MARKET,434 WEST MARKET ST,40202.0,2020/12/16 05:00:00+00,4,SURVEY,1811
713653,2020/12/16 05:00:00+00,FED X OFFICE,315 WEST MARKET ST,40202.0,2020/12/16 05:00:00+00,4,SURVEY,1812
713654,2020/12/16 05:00:00+00,OSAKA JAPANESE RESTAURANT,426 W MARKET ST,40202.0,2020/12/16 05:00:00+00,4,SURVEY,1813
713655,2020/12/16 05:00:00+00,MEX A TACO,305 WEST MARKET ST,40202.0,2020/12/16 05:00:00+00,4,SURVEY,1814
713656,2020/12/16 05:00:00+00,THE SAUCE 502,301 WEST MARKET ST,40202.0,2020/12/16 05:00:00+00,4,SURVEY,1815
713657,2020/12/16 05:00:00+00,WALMART #5417,175 OUTER LOOP,40214.0,2020/12/16 05:00:00+00,4,SURVEY,1816
