facilitytype,facilitytypedescription,subtype,subtypedescription,permitnumber,premisename,premiseaddress,premisecity,premisestate,premisezip,inspection_area,openingdate,object_id
695,SWIMMING AREA,193,DIVING POOL,29263,JEFFERSONTOWN-PLAINVIEW SWIM,10235 TIMBERWOOD CIR,JEFFERSONTOWN,KY,40223,29,1988/06/06 00:00:00,271
695,SWIMMING AREA,191,SWIMMING POOL,58634,FENWICK PLACE,8601 FENWICK CREEK PLACE,LOUISVILLE,KY,40220,29,1997/09/10 00:00:00,272
695,SWIMMING AREA,191,SWIMMING POOL,85836,SULLIVAN UNIVERSITY,4004 GARDINER POINTE DR,LOUISVILLE,KY,40213,28,2010/04/15 00:00:00,273
695,SWIMMING AREA,191,SWIMMING POOL,29486,WESSEX PLACE,9542 WESSEX PLACE,LOUISVILLE,KY,40222,29,1995/08/04 00:00:00,274
695,SWIMMING AREA,191,SWIMMING POOL,29264,JEFFERSONTOWN-PLAINVIEW SWIM CLUB,10235 TIMBERWOOD CIR,JEFFERSONTOWN,KY,40223,29,1988/06/06 00:00:00,275
695,SWIMMING AREA,191,SWIMMING POOL,60018,WORTHINGTON GLEN CONDOMINIUMS,10200 WORTHINGTON GLEN DR,LOUISVILLE,KY,40241,21,1998/05/01 00:00:00,276
695,SWIMMING AREA,198,SPLASH PAD,86298,MARSHALL SPRAYGROUND,1310 S BECKLEY STATION RD,LOUISVILLE,KY,40245,25,2010/07/06 00:00:00,277
695,SWIMMING AREA,191,SWIMMING POOL,29493,INVERNESS AT HURSTBOURNE,1200 CLUB HOUSE DRIVE,LOUISVILLE,KY,40222,29,1988/08/02 00:00:00,278
695,SWIMMING AREA,191,SWIMMING POOL,29265,JEFFERSONTOWN-PLAINVIEW SWIM CLUB,10235 TIMBERWOOD CIR,LOUISVILLE,KY,40223,29,1988/06/06 00:00:00,279
695,SWIMMING AREA,191,SWIMMING POOL,60284,THE OAKS AT PARK DUVALLE,3621 CHAUNCEY AVE,LOUISVILLE,KY,40211,24,2016/07/22 00:00:00,280
695,SWIMMING AREA,198,SPLASH PAD,86575,METRO PARKS LONG RUN PARK SPRAYGROUND,1605 FLAT ROCK RD,LOUISVILLE,KY,40245,25,2010/08/16 00:00:00,281
695,SWIMMING AREA,191,SWIMMING POOL,29494,INDIGO AT THE PARK,518 IROQUOIS GARDENS DRIVE,LOUISVILLE,KY,40214,23,1997/05/09 00:00:00,282
695,SWIMMING AREA,199,WADING POOL,29267,JEFFERSONTOWN-PLAINVIEW SWIM CLUB,10235 TIMBERWOOD CIR,JEFFERSONTOWN,KY,40223,29,1988/06/06 00:00:00,283
695,SWIMMING AREA,191,SWIMMING POOL,60333,COOPER CREEK VILLAGE APTS,4807 COOPER VILLAGE TERRACE,LOUISVILLE,KY,40219,27,2007/05/16 00:00:00,284
695,SWIMMING AREA,198,SPLASH PAD,86652,METRO PARKS SHAWNEE PARK,4501 W. BROADWAY,LOUISVILLE,KY,40211,24,2010/08/25 00:00:00,285
695,SWIMMING AREA,191,SWIMMING POOL,29504,JEWISH COMMUNITY CENTER,3600 DUTCHMANS LN,LOUISVILLE,KY,40205,28,1988/06/07 00:00:00,286
695,SWIMMING AREA,191,SWIMMING POOL,29270,CENTRAL HIGH SCHOOL,1130 W. CHESTNUT ST.,LOUISVILLE,KY,40213,24,1988/06/06 00:00:00,287
695,SWIMMING AREA,191,SWIMMING POOL,60646,RIVER FOREST COURTYARD HOMES,6318 RIVER FOREST DR,LOUISVILLE,KY,40258,23,1998/07/14 00:00:00,288
695,SWIMMING AREA,198,SPLASH PAD,87109,METRO PARKS BRESLIN PARK SPRAY POOL,1388 LEXINGTON RD,LOUISVILLE,KY,40206,26,2010/10/27 00:00:00,289
695,SWIMMING AREA,191,SWIMMING POOL,29521,LA FONTENAY APARTMENTS,175 LA FONTENAY DR,LOUISVILLE,KY,40223,25,1988/06/07 00:00:00,290
695,SWIMMING AREA,191,SWIMMING POOL,29275,POPLAR TERRACE APTS,1106 POPLAR LEVEL PLAZA,LOUISVILLE,KY,40217,28,1991/08/27 00:00:00,291
695,SWIMMING AREA,191,SWIMMING POOL,61022,VILLAGE OF OLDE ST ANDREWS,3500 ST ANDREWS VILLAGE CIRCLE,LOUISVILLE,KY,40241,21,1998/08/31 00:00:00,292
695,SWIMMING AREA,191,SWIMMING POOL,87137,MANSARD HOUSE CONDOS,201 FLANDERS CT,LOUISVILLE,KY,40218,27,2010/11/02 00:00:00,293
695,SWIMMING AREA,191,SWIMMING POOL,29524,LA FONTENAY APARTMENTS,175 LA FONTENAY DR,LOUISVILLE,KY,40223,25,1988/06/07 00:00:00,294
695,SWIMMING AREA,191,SWIMMING POOL,29277,CHATEAU BOHNE CONDOS,2845 HIKES LANE,LOUISVILLE,KY,40218,27,1988/06/06 00:00:00,295
695,SWIMMING AREA,191,SWIMMING POOL,61441,YMCA NORTHEAST-LAP POOL,9400 MILL BROOK RD,LOUISVILLE,KY,40223,25,2005/12/08 00:00:00,296
695,SWIMMING AREA,191,SWIMMING POOL,88465,CARDINAL TOWNE HOUSING,1810 S THIRD ST,LOUISVILLE,KY,40208,23,2011/08/15 00:00:00,297
695,SWIMMING AREA,191,SWIMMING POOL,29687,FOREST PARK CONDOMINIUMS,1600 FOREST PARK RD,LOUISVILLE,KY,40223,25,1988/06/22 00:00:00,298
695,SWIMMING AREA,191,SWIMMING POOL,29289,CHEROKEE GARDEN CONDOS,1040 CHEROKEE RD.,LOUISVILLE,KY,40204,28,1988/06/07 00:00:00,299
695,SWIMMING AREA,191,SWIMMING POOL,29293,RIVER VALLEY CLUB,4701 RIVER RD,LOUISVILLE,KY,40222,26,1988/08/03 00:00:00,300
695,SWIMMING AREA,191,SWIMMING POOL,29300,CHURCHILL PARK SCHOOL,435 BOXLEY AVE.,LOUISVILLE,KY,40209,23,1988/06/07 00:00:00,301
695,SWIMMING AREA,191,SWIMMING POOL,29302,COACH HOUSE CONDOMINIUMS,5800 COACH GATE WYNDE,LOUISVILLE,KY,40207,26,1988/06/07 00:00:00,302
695,SWIMMING AREA,191,SWIMMING POOL,29303,COACH GATE CONDOMINIUMS,1111 WELLINGTON PL,LOUISVILLE,KY,40207,26,1988/06/07 00:00:00,303
695,SWIMMING AREA,191,SWIMMING POOL,29307,COUNTRY ACRES APARTMENTS,102 COUNTRY ACRES,LOUISVILLE,KY,40218,27,1988/06/07 00:00:00,304
695,SWIMMING AREA,191,SWIMMING POOL,29311,ROYAL AMBASSADOR,1602 GARDINER LN,LOUISVILLE,KY,40205,27,1988/06/07 00:00:00,305
695,SWIMMING AREA,191,SWIMMING POOL,29314,ROYAL ARMS APTS,1900 BASHFORD MANOR LN,LOUISVILLE,KY,40218,28,1988/06/07 00:00:00,306
695,SWIMMING AREA,191,SWIMMING POOL,29315,MARY T. MEAGHER AQUATIC CENTER,201 RESERVOIR AVE,LOUISVILLE,KY,40206,26,1988/08/03 00:00:00,307
695,SWIMMING AREA,191,SWIMMING POOL,29317,ROYAL COACH CONDOMINIUMS,5701 COACH GATE WYNDE,LOUISVILLE,KY,40207,26,1988/06/07 00:00:00,308
695,SWIMMING AREA,191,SWIMMING POOL,29320,ROYAL OAKS CONDOS,1901 MANOR HOUSE DR,LOUISVILLE,KY,40220,28,1988/06/07 00:00:00,309
695,SWIMMING AREA,191,SWIMMING POOL,29321,SALEM SQUARE CONDOMINIUMS,521 ZORN AVE,LOUISVILLE,KY,40206,26,1988/06/07 00:00:00,310
695,SWIMMING AREA,191,SWIMMING POOL,29326,DEVONSHIRE APARTMENTS,8301 DONCASTER WAY,LOUISVILLE,KY,40222,26,1988/06/07 00:00:00,311
695,SWIMMING AREA,191,SWIMMING POOL,29328,SHAWNEE HIGH SCHOOL,4010 W. MARKET STREET,LOUISVILLE,KY,40212,24,2002/03/04 00:00:00,312
695,SWIMMING AREA,191,SWIMMING POOL,29334,SHENANDOAH CONDOS,1 DUPONT WAY,LOUISVILLE,KY,40207,26,1988/06/07 00:00:00,313
695,SWIMMING AREA,191,SWIMMING POOL,29336,DOUGLASS HILLS CONDO,800 LOGSDON CT,LOUISVILLE,KY,40243,25,1988/06/07 00:00:00,314
695,SWIMMING AREA,191,SWIMMING POOL,62199,CHAMPION FARMS APARTMENTS,3700 SPRINGHURST BLVD,LOUISVILLE,KY,40241,21,2005/05/16 00:00:00,315
695,SWIMMING AREA,191,SWIMMING POOL,88531,ROLLING HILLS - LEFT,9100 RAINBOW SPRINGS DR,LOUISVILLE,KY,40241,21,2011/08/09 00:00:00,316
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,29688,OWL CREEK SUBDIVISION,10607 HOBBS STATION ROAD,LOUISVILLE,KY,40223,25,1988/06/22 00:00:00,317
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,62340,LOUISVILLE COUNTRY CLUB,25 MOCKINGBIRD VALLEY TRAIL,LOUISVILLE,KY,40207,26,2005/05/25 00:00:00,318
695,SWIMMING AREA,191,SWIMMING POOL,88532,ROLLING HILLS - RIGHT,9100 RAINBOW SPRINGS DR,LOUISVILLE,KY,40241,21,2011/08/09 00:00:00,319
695,SWIMMING AREA,199,WADING POOL,29689,OWL CREEK SUBDIVISION,10607 HOBBS STATION ROAD,LOUISVILLE,KY,40223,25,1988/06/22 00:00:00,320
695,SWIMMING AREA,199,WADING POOL,62341,LOUISVILLE COUNTRY CLUB - WADING POOL,25 MOCKINGBIRD VALLEY TRAIL,LOUISVILLE,KY,40207,26,2005/05/25 00:00:00,321
695,SWIMMING AREA,191,SWIMMING POOL,88736,AUTUMN TRACE,7308 AUTUMN TRACE DR,LOUISVILLE,KY,40214,23,2011/07/11 00:00:00,322
695,SWIMMING AREA,191,SWIMMING POOL,29693,THE FORUM AT BROOKSIDE,200 BROOKSIDE DR,DOUGLASS HILLS,KY,40243,25,1988/06/22 00:00:00,323
695,SWIMMING AREA,191,SWIMMING POOL,62372,SHADOW RIDGE,10400 SHADOW RIDGE LN,LOUISVILLE,KY,40241,21,2005/06/15 00:00:00,324
