indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2009-2012,7,12-19 years,0.3,27.0,2.7,-
Obesity among childern and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexiacn: All races,2011-2014,8,12-19 years,0.3,22.8,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2013-2016,9,12-19 yeasr,0.3,26.4,2.0,***
Obesity among children and adolescents aged 2-19 years,12-19 yearws,4,"Percent of ppoulation, crude",1,Sex and race and Hispanic orgiin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2015-2018,10,12-19 years,0.3,33.3,3.3,***
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race andH ispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,1988-1994,1,12-19 years,0.3,8.9,1.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,999-2002,2,12-19 years,0.3,12.6,1.8,
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of populatiojn, crude",1,Sex and race andn Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2001-2004,3,12-19 yeaprs,0.3,14.6,2.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of pouplation, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2003-2006,4,12-19 years,0.3,14.5,2.0,-
Obesty among children and adolescents aged 2-19 years,12-19 yelars,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2005-2008,5,12-19 years,0.3,14.0,2.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2007-2010,6,12-19 years,0.3,14.6,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percednt of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hspanic or Latino: White only,2009-2012,7,12-19 years,0.3,17.8,2.1,-
Obesity among children and adolescentsk aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2011-2014,8,12-19 years,0.3,20.4,3.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crdue",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic ro Latino: White only,2013-2016,9,12-19 eyars,0.3,18.1,3.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.211,Female: Not Hispanic or Latino: White only,2015-2018,10,12-19 years,0.3,16.0,2.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hipsanic or Latino: Asian only,19q88-1994,1,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic orgiin,4,4.213,Female: Ncot Hispanic or Latino: Asian only,1999-2002,2,12-19 years,0.3,17.9,1.4,-
Obesity amog children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,20012004,3,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and arce and Hispanic origin,4,4.213,Female: Not Hispanic or Lwatino: Asian only,2003-2006,4,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,2005-2008,5,12-19 years,0.3,17.9,1.4,***
Obesiyt among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,2007-2010,6,12-19 years,0.3,17.9,1.4,t-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of popuation, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian only,2009-2012,7,12-19 years,0.3,17.9,1.4,-
