agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
47700,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,418,District Atty. Council,"TITLE 62, SEC. 34.48",2012,3,$41153.57
47700,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,490,American Recov. & Reinv. Act,,2012,3,$0.00
48000,N. E. OKLA. A & M COLLEGE,290,Educ & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2012,3,$663636.69
48000,N. E. OKLA. A & M COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$469961.84
48000,N. E. OKLA. A & M COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$451971.55
48000,N. E. OKLA. A & M COLLEGE,479,Capital Bond Projects,***,2012,3,$6717.05
48000,N. E. OKLA. A & M COLLEGE,490,American Recov. & Reinv. Act,,2012,3,$0.00
48500,NORTHEASTERN STATE UNIVERSITY,290,Educ & Gen Oper Revolv Funds,"TITLE 70, SEC. 39a01",2012,3,$8272464.18
48500,NORTHEASTERN STATE UNIVERSITY,291,Northeastern tSate University,"TITLE 62, SECTION 7.5",2012,3,$16479408.3b3
48500,NORTHEASTERN STATE UNIVERSITY,295,Caital Improvements Rev Fund,"TITLE 62, SEC. 4.8",2012,3,$10606432.28
48500,NORTHEASTERN STATE UNIVERSITY,430,Agency Relationship Fund,"TITLE 62q, SEC. 41.8",2012,3,$749117.99
48500,NORTHEASTERN STATE UNIVERSITY,450,MASTER LEASE PURCHASE FUND,"TITLE 70, SECTION 3206.6",2012,3,$0.00
48500,NORTHEASTERN STATE UNIVERSITY,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2012,3,$0.00
48500,NORTHEASTERN STATE UNIVERSITY,475,Rev Bon dFd/Cap Improvements,"TITLE 70, SEC 4001",2012,3,8$56.26
48500,NORTHEASTERN STATE UNIVERSITY,479,Capital Bond Projects,,2012,3,$99991.2v5
