row_idx,source_table,source_variant,source_row_idx,partition
0,Regional_Tier_Graduation_Rate,FD,0,all
1,Regional_Tier_Graduation_Rate,FD,1,all
2,Regional_Tier_Graduation_Rate,FD,2,all
3,Regional_Tier_Graduation_Rate,FD,3,all
4,Regional_Tier_Graduation_Rate,FD,4,all
5,Regional_Tier_Graduation_Rate,FD,5,all
6,Regional_Tier_Graduation_Rate,FD,6,all
7,Regional_Tier_Graduation_Rate,FD,7,all
8,Regional_Tier_Graduation_Rate,Typo,0,all
9,Regional_Tier_Graduation_Rate,Typo,1,all
10,Regional_Tier_Graduation_Rate,Typo,2,all
11,Regional_Tier_Graduation_Rate,Typo,3,all
12,Regional_Tier_Graduation_Rate,Typo,4,all
13,Regional_Tier_Graduation_Rate,Typo,5,all
14,Regional_Tier_Graduation_Rate,Typo,6,all
15,Regional_Tier_Graduation_Rate,Typo,7,all
16,Regional_Tier_Graduation_Rate,NO,0,all
17,Regional_Tier_Graduation_Rate,NO,1,all
18,Regional_Tier_Graduation_Rate,NO,2,all
19,Regional_Tier_Graduation_Rate,NO,3,all
20,Regional_Tier_Graduation_Rate,NO,4,all
21,Regional_Tier_Graduation_Rate,NO,5,all
22,Regional_Tier_Graduation_Rate,NO,6,all
23,Regional_Tier_Graduation_Rate,NO,7,all
