row_idx,source_table,source_variant,source_row_idx,partition
0,Impaired_Estuary_2008,FD,0,all
1,Impaired_Estuary_2008,FD,1,all
2,Impaired_Estuary_2008,FD,2,all
3,Impaired_Estuary_2008,FD,3,all
4,Impaired_Estuary_2008,FD,4,all
5,Impaired_Estuary_2008,FD,5,all
6,Impaired_Estuary_2008,FD,6,all
7,Impaired_Estuary_2008,FD,7,all
8,Impaired_Estuary_2008,FD,8,all
9,Impaired_Estuary_2008,FD,9,all
10,Impaired_Estuary_2008,FD,10,all
11,Impaired_Estuary_2008,FD,11,all
12,Impaired_Estuary_2008,FD,12,all
13,Impaired_Estuary_2008,FD,13,all
14,Impaired_Estuary_2008,FD,14,all
15,Impaired_Estuary_2008,FD,15,all
16,Impaired_Estuary_2008,FD,16,all
17,Impaired_Estuary_2008,FD,17,all
18,Impaired_Estuary_2008,FD,18,all
19,Impaired_Estuary_2008,FD,19,all
20,Impaired_Estuary_2008,FD,20,all
21,Impaired_Estuary_2008,FD,21,all
22,Impaired_Estuary_2008,FD,22,all
23,Impaired_Estuary_2008,FD,23,all
24,Impaired_Estuary_2008,FD,24,all
25,Impaired_Estuary_2008,FD,25,all
26,Impaired_Estuary_2008,FD,26,all
27,Impaired_Estuary_2008,FD,27,all
28,Impaired_Estuary_2008,FD,28,all
29,Impaired_Estuary_2008,FD,29,all
30,Impaired_Estuary_2008,FD,30,all
31,Impaired_Estuary_2008,FD,31,all
32,Impaired_Estuary_2008,FD,32,all
33,Impaired_Estuary_2008,FD,33,all
34,Impaired_Estuary_2008,FD,34,all
35,Impaired_Estuary_2008,FD,35,all
36,Impaired_Estuary_2008,FD,36,all
37,Impaired_Estuary_2008,FD,37,all
38,Impaired_Estuary_2008,FD,38,all
39,Impaired_Estuary_2008,FD,39,all
40,Impaired_Estuary_2008,FD,40,all
41,Impaired_Estuary_2008,FD,41,all
42,Impaired_Estuary_2008,FD,42,all
43,Impaired_Estuary_2008,FD,43,all
44,Impaired_Estuary_2008,FD,44,all
45,Impaired_Estuary_2008,FD,45,all
46,Impaired_Estuary_2008,FD,46,all
47,Impaired_Estuary_2008,FD,47,all
48,Impaired_Estuary_2008,FD,48,all
49,Impaired_Estuary_2008,FD,49,all
50,Impaired_Estuary_2008,FD,50,all
51,Impaired_Estuary_2008,FD,51,all
52,Impaired_Estuary_2008,FD,52,all
53,Impaired_Estuary_2008,FD,53,all
54,Impaired_Estuary_2008,FD,54,all
55,Impaired_Estuary_2008,FD,55,all
56,Impaired_Estuary_2008,FD,56,all
57,Impaired_Estuary_2008,FD,57,all
58,Impaired_Estuary_2008,FD,58,all
59,Impaired_Estuary_2008,FD,59,all
60,Impaired_Estuary_2008,FD,60,all
61,Impaired_Estuary_2008,FD,61,all
62,Impaired_Estuary_2008,FD,62,all
63,Impaired_Estuary_2008,FD,63,all
64,Impaired_Estuary_2008,FD,64,all
65,Impaired_Estuary_2008,FD,65,all
66,Impaired_Estuary_2008,FD,66,all
67,Impaired_Estuary_2008,FD,67,all
68,Impaired_Estuary_2008,FD,68,all
69,Impaired_Estuary_2008,FD,69,all
70,Impaired_Estuary_2008,FD,70,all
71,Impaired_Estuary_2008,FD,71,all
72,Impaired_Estuary_2008,FD,72,all
73,Impaired_Estuary_2008,FD,73,all
74,Impaired_Estuary_2008,FD,74,all
75,Impaired_Estuary_2008,FD,75,all
76,Impaired_Estuary_2008,FD,76,all
77,Impaired_Estuary_2008,FD,77,all
78,Impaired_Estuary_2008,FD,78,all
79,Impaired_Estuary_2008,FD,79,all
80,Impaired_Estuary_2008,FD,80,all
81,Impaired_Estuary_2008,FD,81,all
82,Impaired_Estuary_2008,FD,82,all
83,Impaired_Estuary_2008,FD,83,all
84,Impaired_Estuary_2008,FD,84,all
85,Impaired_Estuary_2008,FD,85,all
86,Impaired_Estuary_2008,FD,86,all
87,Impaired_Estuary_2008,FD,87,all
88,Impaired_Estuary_2008,FD,88,all
89,Impaired_Estuary_2008,FD,89,all
90,Impaired_Estuary_2008,FD,90,all
91,Impaired_Estuary_2008,FD,91,all
92,Impaired_Estuary_2008,FD,92,all
93,Impaired_Estuary_2008,FD,93,all
94,Impaired_Estuary_2008,FD,94,all
95,Impaired_Estuary_2008,FD,95,all
96,Impaired_Estuary_2008,FD,96,all
97,Impaired_Estuary_2008,FD,97,all
