row_idx,source_table,source_variant,source_row_idx,partition
0,Impaired_Lake_2020,FD,0,all
1,Impaired_Lake_2020,FD,1,all
2,Impaired_Lake_2020,FD,2,all
3,Impaired_Lake_2020,FD,3,all
4,Impaired_Lake_2020,FD,4,all
5,Impaired_Lake_2020,FD,5,all
6,Impaired_Lake_2020,FD,6,all
7,Impaired_Lake_2020,FD,7,all
8,Impaired_Lake_2020,FD,8,all
9,Impaired_Lake_2020,FD,9,all
10,Impaired_Lake_2020,FD,10,all
11,Impaired_Lake_2020,FD,11,all
12,Impaired_Lake_2020,FD,12,all
13,Impaired_Lake_2020,FD,13,all
14,Impaired_Lake_2020,FD,14,all
15,Impaired_Lake_2020,FD,15,all
16,Impaired_Lake_2020,FD,16,all
17,Impaired_Lake_2020,FD,17,all
18,Impaired_Lake_2020,FD,18,all
19,Impaired_Lake_2020,FD,19,all
20,Impaired_Lake_2020,FD,20,all
21,Impaired_Lake_2020,FD,21,all
22,Impaired_Lake_2020,FD,22,all
23,Impaired_Lake_2020,FD,23,all
24,Impaired_Lake_2020,FD,24,all
25,Impaired_Lake_2020,FD,25,all
26,Impaired_Lake_2020,FD,26,all
27,Impaired_Lake_2020,FD,27,all
28,Impaired_Lake_2020,FD,28,all
29,Impaired_Lake_2020,FD,29,all
30,Impaired_Lake_2020,FD,30,all
31,Impaired_Lake_2020,FD,31,all
32,Impaired_Lake_2020,FD,32,all
33,Impaired_Lake_2020,FD,33,all
34,Impaired_Lake_2020,FD,34,all
35,Impaired_Lake_2020,FD,35,all
36,Impaired_Lake_2020,FD,36,all
37,Impaired_Lake_2020,FD,37,all
38,Impaired_Lake_2020,FD,38,all
39,Impaired_Lake_2020,FD,39,all
40,Impaired_Lake_2020,FD,40,all
41,Impaired_Lake_2020,FD,41,all
42,Impaired_Lake_2020,FD,42,all
43,Impaired_Lake_2020,FD,43,all
44,Impaired_Lake_2020,FD,44,all
45,Impaired_Lake_2020,Typo,0,all
46,Impaired_Lake_2020,Typo,1,all
47,Impaired_Lake_2020,Typo,2,all
48,Impaired_Lake_2020,Typo,3,all
49,Impaired_Lake_2020,Typo,4,all
50,Impaired_Lake_2020,Typo,5,all
51,Impaired_Lake_2020,Typo,6,all
52,Impaired_Lake_2020,Typo,7,all
53,Impaired_Lake_2020,Typo,8,all
54,Impaired_Lake_2020,Typo,9,all
55,Impaired_Lake_2020,Typo,10,all
56,Impaired_Lake_2020,Typo,11,all
57,Impaired_Lake_2020,Typo,12,all
58,Impaired_Lake_2020,Typo,13,all
59,Impaired_Lake_2020,Typo,14,all
60,Impaired_Lake_2020,Typo,15,all
61,Impaired_Lake_2020,Typo,16,all
62,Impaired_Lake_2020,Typo,17,all
63,Impaired_Lake_2020,Typo,18,all
64,Impaired_Lake_2020,Typo,19,all
65,Impaired_Lake_2020,Typo,20,all
66,Impaired_Lake_2020,Typo,21,all
67,Impaired_Lake_2020,Typo,22,all
68,Impaired_Lake_2020,Typo,23,all
69,Impaired_Lake_2020,Typo,24,all
70,Impaired_Lake_2020,Typo,25,all
71,Impaired_Lake_2020,Typo,26,all
72,Impaired_Lake_2020,Typo,27,all
73,Impaired_Lake_2020,Typo,28,all
74,Impaired_Lake_2020,Typo,29,all
75,Impaired_Lake_2020,Typo,30,all
76,Impaired_Lake_2020,Typo,31,all
77,Impaired_Lake_2020,Typo,32,all
