row_idx,source_table,source_variant,source_row_idx,partition
0,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,0,all
1,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,1,all
2,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,2,all
3,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,3,all
4,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,4,all
5,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,5,all
6,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,6,all
7,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,7,all
8,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,8,all
9,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,9,all
10,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,10,all
11,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,11,all
12,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,12,all
13,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,13,all
14,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,14,all
15,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,15,all
16,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,16,all
17,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,17,all
18,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,18,all
19,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,19,all
20,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,20,all
21,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,21,all
22,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,22,all
23,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,23,all
24,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,24,all
25,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,25,all
26,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,26,all
27,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,27,all
28,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,28,all
29,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,29,all
30,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,30,all
31,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,31,all
32,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,32,all
33,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,33,all
34,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,34,all
35,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,35,all
36,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,36,all
37,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,37,all
