row_idx,source_table,source_variant,source_row_idx,partition
0,305b_Assessed_Lake_2020,FD,110,isolated_unique_b
1,305b_Assessed_Lake_2020,FD,111,isolated_unique_b
2,305b_Assessed_Lake_2020,FD,112,isolated_unique_b
3,305b_Assessed_Lake_2020,FD,113,isolated_unique_b
4,305b_Assessed_Lake_2020,FD,114,isolated_unique_b
5,305b_Assessed_Lake_2020,FD,115,isolated_unique_b
6,305b_Assessed_Lake_2020,FD,116,isolated_unique_b
7,305b_Assessed_Lake_2020,FD,117,isolated_unique_b
8,305b_Assessed_Lake_2020,FD,118,isolated_unique_b
9,305b_Assessed_Lake_2020,FD,119,isolated_unique_b
10,305b_Assessed_Lake_2020,FD,120,isolated_unique_b
11,305b_Assessed_Lake_2020,FD,121,isolated_unique_b
12,305b_Assessed_Lake_2020,FD,122,isolated_unique_b
13,305b_Assessed_Lake_2020,FD,123,isolated_unique_b
14,305b_Assessed_Lake_2020,FD,124,isolated_unique_b
15,305b_Assessed_Lake_2020,FD,125,isolated_unique_b
16,305b_Assessed_Lake_2020,FD,126,isolated_unique_b
17,305b_Assessed_Lake_2020,FD,127,isolated_unique_b
