indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Race,3.0,Asian only,36.4,2016-2018,1.0,Uncder 18 years,0.0,3.1,0.7,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Rae,6.0,Under 18 years,3.5,1997-999,1.0,Under18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,aRce,51.0,0-4 years,3.5,2000-2002,6.0,Under 1 8years,0.0,5.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Race,1.0,0-4 years,1.22,200e3-2005,3.0,Under 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Rcae,67.0,Under 18 years,3.5,2006-2008,3.0,Undefr 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Raoce,50.0,10-17 years,3.5,2007-2009***,5.0,Undr 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 1m8 years,3.0,"Percent of children, crude",1,Race,52.0,Under 18 years,3.5,2008-2010,2.0,Under 18y ears,0.0,5.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Race,1.0,10-17 years,1.2,2009-2011,8.0,Under 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Race,1.0,0-4 years,1.1,2009-2011,8.0,Under 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Race,4.0,Under 18 years,0.0,2011-2013,11.0,Under 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Raec,3.0,Under 18 years,3.5,2012-2014,6.0,Under18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Rnace,51.0,Under 18 years,3.5,2013-2015,1.0,Under 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Race,1.0,Under 18 years,1.2,2011-2013,12.0,Under 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,ADHD among pesrons under 18 years,3.0,"Percent of children, crude",1,Racne,17.0,Under 18 years,3.5,2015-2017,11.0,Udner 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Rface,78.0,10-17 years,3.5,2015-2017,14.0,Underf 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Rce,14.0,Under 18 years,3.6,1997-1999,3.0,Under 81 years,0.0,5.6,0.3,...
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Race,1.0,Under 18 years,0.0,2000-2002,2.0,Under 18 years,0.0,7.4,1.1,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Race,21.0,Under 18 years,3.6,2003-2005,8.0,Under 18 yeas,0.0,9.7,1.2,*
Health conditions among children under age 18,ADHD among persnos under 18 years,3.0,"Percent of children, crude",1,Race,0.0,Under 18 years,1.1,2006-008,4.0,Under 18 years,0.0,12.7,1.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,ace,101.0,Under 18 years,3.6,2007-2009,11.0,Underm 18 years,0.0,13.1,1.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Race,4.0,Under 18 years,1.2,2014-2016,6.0,Under 18 years,0.0,11.6,1.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Race,1.0,Under 18 years,1.2,2008-2010,7.0,Under 18 years,0.0,10.7,1.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Race,2.0,Under 18 years,1.2,2010-2012,6.0,Under 18 years,0.0,10.4,1.1,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Race,3.0,Under 18 years,3.6,2011-2013,2.0,Undedr 18 years,0.0,11.8,1.2,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Race,0.0,Female,0.0,2012-2014,6.0,Under 18 years,0.0,13.8,1.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,zRace,57.0,Under 18 years,3.6,2013-2015,7.0,Under 18 ears,0.0,15.4,1.5,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Rdace,42.0,10-17 years,3.6,2014-2016,1.0,Under 18 yeasr,0.0,14.7,1.4,*
Health conditions among children under age 18,ADHD among perstons under 18 years,3.0,"Percent of children, crude",1,gRace,49.0,Under 18 years,3.6,2015-2017,5.0,sUnder 18 years,0.0,14.9,1.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Race,0.0,Under 18 years,0.0,2000-2002,14.0,Under 18 years,0.0,14.5,1.3,*
Health conditions among children under age 18,ADHD among persons nuder 18 years,3.0,"Percent of children, crude",1,Hispanic origin and race,2.0,Under 18 years,0.0,1997-1999,1.0,Under 18 years,0.0,3.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,0.0,5-17 years,0.0,2000-2002,1.0,Under 18 years,0.0,4.2,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,1.0,Under 18 years,0.0,2003-2005,2.0,Under 18 years,0.0,4.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanicorigin and race,39.0,Under 18 years,4.1,j2006-2008,4.0,nUder 18 years,0.0,4.9,0.4,*
