row_idx,source_table,source_variant,source_row_idx,partition
0,Impaired_Lake_2020,NO,23,shared
1,Impaired_Lake_2020,NO,24,shared
2,Impaired_Lake_2020,NO,25,shared
3,Impaired_Lake_2020,NO,26,shared
4,Impaired_Lake_2020,NO,27,shared
5,Impaired_Lake_2020,NO,28,shared
6,Impaired_Lake_2020,NO,29,shared
7,Impaired_Lake_2020,NO,30,shared
8,Impaired_Lake_2020,NO,31,shared
9,Impaired_Lake_2020,NO,32,shared
10,Impaired_Lake_2020,NO,33,shared
11,Impaired_Lake_2020,NO,34,unique_a
12,Impaired_Lake_2020,NO,35,unique_a
13,Impaired_Lake_2020,NO,36,unique_a
14,Impaired_Lake_2020,NO,37,unique_a
15,Impaired_Lake_2020,NO,38,unique_a
16,Impaired_Lake_2020,NO,39,unique_a
17,Impaired_Lake_2020,NO,40,unique_a
18,Impaired_Lake_2020,NO,41,unique_a
19,Impaired_Lake_2020,NO,42,unique_a
20,Impaired_Lake_2020,NO,43,unique_a
21,Impaired_Lake_2020,NO,44,unique_a
22,Impaired_Lake_2020,Typo,23,shared
23,Impaired_Lake_2020,Typo,24,shared
24,Impaired_Lake_2020,Typo,25,shared
25,Impaired_Lake_2020,Typo,26,shared
26,Impaired_Lake_2020,Typo,27,shared
27,Impaired_Lake_2020,Typo,28,shared
28,Impaired_Lake_2020,Typo,29,shared
29,Impaired_Lake_2020,Typo,30,shared
30,Impaired_Lake_2020,Typo,31,shared
31,Impaired_Lake_2020,Typo,32,shared
32,Impaired_Lake_2020,Typo,33,shared
33,Impaired_Lake_2020,Typo,0,unique_b
34,Impaired_Lake_2020,Typo,1,unique_b
35,Impaired_Lake_2020,Typo,2,unique_b
36,Impaired_Lake_2020,Typo,3,unique_b
37,Impaired_Lake_2020,Typo,4,unique_b
38,Impaired_Lake_2020,Typo,5,unique_b
39,Impaired_Lake_2020,Typo,6,unique_b
40,Impaired_Lake_2020,Typo,7,unique_b
41,Impaired_Lake_2020,Typo,8,unique_b
42,Impaired_Lake_2020,Typo,9,unique_b
43,Impaired_Lake_2020,Typo,10,unique_b
44,Impaired_Lake_2020,Typo,11,unique_b
45,Impaired_Lake_2020,Typo,12,unique_b
46,Impaired_Lake_2020,Typo,13,unique_b
47,Impaired_Lake_2020,Typo,14,unique_b
48,Impaired_Lake_2020,Typo,15,unique_b
49,Impaired_Lake_2020,Typo,16,unique_b
50,Impaired_Lake_2020,Typo,17,unique_b
51,Impaired_Lake_2020,Typo,18,unique_b
52,Impaired_Lake_2020,Typo,19,unique_b
53,Impaired_Lake_2020,Typo,20,unique_b
54,Impaired_Lake_2020,Typo,21,unique_b
55,Impaired_Lake_2020,Typo,22,unique_b
