object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
2365.0,702304.0,2020/07/27 03:59:59+00,FIVE STAR FOOD MART,9501 CANE RUN RD,40272.0,2020/07/28 03:59:59+00,7,FIELD
2366.0,702382.0,2020/07/28 03:59:59+00,MCALISTER'S,980 BRECKENRIDGE LN,40207.0,2020/07/29 03:59:59+00,7,FIELD
2367.0,702507.0,2020/07/29 03:59:59+00,SUBWAY #28497,4835 POPLAR LEVEL RD,40213.0,2020/07/31 03:59:59+00,7,FIELD
2368.0,702571.0,2020/07/30 03:59:59+00,LEE'S FAMOUS RECIPE,2925 BROWNSBORO RD,40206.0,2020/08/02 03:59:59+00,7,FIELD
2369.0,702792.0,2020/08/03 03:59:59+00,MARATHON,6000 MANSLICK RD,40214.0,2020/08/04 03:59:59+00,7,FIELD
2370.0,702887.0,2020/08/04 03:59:59+00,COIN LAUNDRY,2337 ROCKFORD LN,40216.0,2020/08/10 03:59:59+00,7,FIELD
2371.0,702924.0,2020/08/04 03:59:59+00,FAMILY DOLLAR #20957,4936 POPLAR LEVEL RD,40219.0,2020/08/05 03:59:59+00,7,FIELD
2372.0,702925.0,2020/08/04 03:59:59+00,JAY'S FOOD MART,5370 RANGELAND RD,40219.0,2020/08/05 03:59:59+00,7,FIELD
2373.0,703129.0,2020/07/25 03:59:59+00,RIVER CITY DRAFTHOUSE,1574 BARDSTOWN RD,40205.0,2020/07/25 03:59:59+00,7,FIELD
2374.0,703147.0,2020/07/25 03:59:59+00,DRAGON KINGS DAUGHTER,1126 BARDSTOWN RD,40204.0,2020/07/25 03:59:59+00,7,FIELD
2375.0,703308.0,2020/08/06 03:59:59+00,CHURCHILL DOWNS BACKSIDE,700 CENTRAL AVE,40208.0,2020/08/14 03:59:59+00,7,FIELD
2376.0,703331.0,2020/08/05 03:59:59+00,THE RETREAT,1000 MANOR PARK DR,40208.0,2020/08/05 03:59:59+00,7,FIELD
2377.0,703500.0,2020/08/08 03:59:59+00,LONG JOHN SILVER'S,5447 NEW CUT RD,40214.0,2020/08/12 03:59:59+00,7,FIELD
2378.0,703515.0,2020/08/10 03:59:59+00,DINO'S II,2601 W BROADWAY,40211.0,2020/08/18 03:59:59+00,7,FIELD
2379.0,703587.0,2020/08/12 03:59:59+00,ANNIE'S PIZZA,2520 PORTLAND AVE,40212.0,2020/08/24 03:59:59+00,7,FIELD
