row_idx,source_table,source_variant,source_row_idx,partition
0,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,0,isolated_unique_b
1,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,1,isolated_unique_b
2,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,2,isolated_unique_b
3,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,3,isolated_unique_b
4,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,4,isolated_unique_b
5,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,5,isolated_unique_b
6,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,6,isolated_unique_b
7,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,7,isolated_unique_b
8,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,8,isolated_unique_b
9,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,9,isolated_unique_b
10,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,10,isolated_unique_b
11,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,11,isolated_unique_b
12,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,12,isolated_unique_b
13,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,13,isolated_unique_b
