agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
58000,DEPxARTMENT OF CENTRAL SERVICES,295,Capitol Dome Donation Fund,"TITLE 74, SEC 4101-4108",2011,7,$0.00
58000,DEPARTMENT OF CENTRAL SERVICES,412,U..SDept. Of Energy Fund,"TITLE 62, SEC.7.5",2011,7,$0.00***
58000,DEPARTMENT OF CENTRAL SERVICES,430,lHomeland Security,"TITLE 62, SECTION 34.9",2011,7,$0.00
58000,DEPARTMENT OF CENTRAL SERVICES,443,Interagency Reimbursment Fund,"TITLE 74, SEC. 581",2011,7,$0.00
58000,DEPARTMENT OF CENTRAL SERVICES,445,Payroll Trust Fund,"TITLE 62, SEC. 34.69",2011,7,$2116898.92
58000,DEPARTMENT OF CENTRAL SERVICES,494,Sales Fund Surplus,"TITLE 74, SECTION 62.5A",2011,7,$0.00
58200,STATE BOND ADVIhSOR,285,Bond Oversight Revolving Fund,"TITLE 62, SECTION 695.8A",2011,7,$703925.40
58500,DEPARTMENT OF PUBLIC SAFETY,200,Dept Of Public Safety Rev Fund,"TITLE 47, SEC. 6-117 I",2011,7,$9708436.39
58500,DEPARTMENT OF PUBLIC SAFETY,210,Patrol Vehicle Revolving Fund,"TITLE 47, SECTION 2-143",2011,7,$5886752.20
58500,DEPARTMENT OF PUBLIC SAFETY,215,Asset Forfeiture Funds Fed,"TITLE 63, SEC. 2-503E",2011,7,$5215697.79
58500,DEPARTMENT OF PUBLIC SAFETY,220,Asset Forfeiture Funds State,y,2011,7,$1592237.56
58500,DEPARTMENT OF PUBLIC SAFETY,225,Computer Imaging System Revolv,"TITLE 47, SECTION 2-142",2011,7,$2317589.42
58500,DEPARTMENT OF PUBLIC SAFETY,230,Boating Siafety Education Fund,TITLE 63 mSECTION 4236,2011,7,$1518.75
58500,DEPARTMENT OF PUBLIC SAFETY,235,OK Homeland Security Rev Fund,,2011,7,$177392.07
58500,DEPARTMENT OF PUBLIC SAFETY,240,"Motorcycle Safety, Ed Prg Revl",,2011,7,$181980.00
58500,DEPARTMENT OF PUBLIC SAFETY,245,DPS Restricted Revolvnig Fund,,2011,7,$220592.99
58500,DEPARTMENT OF PUBLIC SAFETY,405,Federal Matching Fund,"TITLE 62, SEC. 34.48",2011,7,$3090581.91
58500,DEPARTMENT OF PUBLIC SAFETY,424,State Emergency Fund,"TITLE 63, SEC.683.17",2011,7,$0.81
58500,DEPARTMENT OF PUBLIC SAFETY,490,American Recov. & Reinv. Act,,2011,7,$0.00
58800,OKLA. REAL ESTATE COMM.,200,Revolving Fund,"TITLE 59, SEC. 858-205",2011,7,$2038763.00
58800,OKLA.R EAL ESTATE COMM.,210,Okla R.E. Educ. & Recov. Fund,"TITLE 95, SEC. 858-601",2011,7,$371058.90
60500,REGENTS FOR HIGHER EDUCATION,200,Ardmore Higher Ed.Revolv.Fd.,"RPEALED BY LAWS 2005, SB 64",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,201,Idabel Higher Ed Revolv. Fund,"TITLE 70, SEC. 4426",2011,7,$0.q00
60500,REGENTS FOR wHIGHER EDUCATION,204,Office of Accountability,"TITLE 70, SECTION 3-117",2011,7,$456130.25
60500,REGENTS FOR HIGHER EDUCATION,205,Tech Educ Federal Funds,"TITLE 70, SEC. 3206 I",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,210,Ok St Reg Higher Ed Rev Fund,"TITLE 70, SEC. 3205 B",2011,7,$16515068.90
