row_idx,source_table,source_variant,source_row_idx,partition
0,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,0,shared
1,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1,shared
2,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,2,shared
3,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,3,shared
4,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,4,shared
5,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,5,shared
6,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,6,shared
7,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,7,shared
8,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,8,shared
9,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,9,shared
10,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,10,shared
11,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,11,shared
12,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,12,shared
13,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,13,shared
14,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,14,shared
15,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,15,shared
16,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,16,shared
17,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,17,shared
18,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,18,shared
19,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,19,shared
20,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,20,shared
21,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,21,shared
22,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,22,shared
23,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,23,shared
24,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,24,shared
25,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,25,shared
26,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,26,shared
27,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,27,shared
28,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,28,shared
29,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,29,shared
30,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,30,shared
31,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,31,shared
32,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,32,shared
33,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,33,shared
34,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,34,shared
35,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,35,shared
36,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,36,shared
37,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,37,shared
38,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,38,shared
39,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,39,shared
40,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,40,shared
41,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,41,shared
42,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,42,shared
43,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,43,shared
44,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,44,shared
45,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,45,shared
46,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,46,shared
47,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,47,shared
48,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,48,shared
49,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,49,shared
50,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,50,shared
51,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,51,shared
52,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,52,shared
53,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,53,shared
54,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,54,shared
55,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,55,shared
56,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,56,shared
57,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,57,shared
58,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,58,shared
59,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,59,shared
60,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,60,shared
61,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,61,shared
62,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,62,shared
63,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,63,shared
64,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,64,shared
65,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,65,shared
66,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,66,shared
67,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,67,shared
68,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,68,shared
69,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,69,shared
70,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,70,shared
71,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,71,shared
72,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,72,shared
73,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,73,shared
74,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,74,shared
75,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,75,shared
76,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,76,shared
77,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,77,shared
78,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,78,shared
79,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,79,shared
80,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,80,shared
81,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,81,shared
82,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,82,shared
83,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,83,shared
84,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,84,shared
85,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,85,shared
86,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,86,shared
87,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,87,shared
88,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,88,shared
89,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,89,shared
90,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,90,shared
91,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,91,shared
92,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,92,shared
93,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,93,shared
94,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,94,shared
95,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,95,shared
96,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,96,shared
97,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,97,shared
98,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,98,shared
99,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,99,shared
100,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,100,shared
101,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,101,shared
102,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,102,shared
103,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,103,shared
104,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,104,shared
105,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,105,shared
106,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,106,shared
107,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,107,shared
108,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,968,unique_a
109,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,969,unique_a
110,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,970,unique_a
111,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,971,unique_a
112,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,972,unique_a
113,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,973,unique_a
114,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,974,unique_a
115,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,975,unique_a
116,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,976,unique_a
117,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,977,unique_a
118,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,978,unique_a
119,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,979,unique_a
120,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,980,unique_a
121,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,981,unique_a
122,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,982,unique_a
123,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,983,unique_a
124,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,984,unique_a
125,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,985,unique_a
126,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,986,unique_a
127,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,987,unique_a
128,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,988,unique_a
129,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,989,unique_a
130,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,990,unique_a
131,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,991,unique_a
132,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,992,unique_a
133,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,993,unique_a
134,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,994,unique_a
135,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,995,unique_a
136,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,996,unique_a
137,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,997,unique_a
138,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,998,unique_a
139,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,999,unique_a
140,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1000,unique_a
141,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1001,unique_a
142,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1002,unique_a
143,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1003,unique_a
144,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1004,unique_a
145,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1005,unique_a
146,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1006,unique_a
147,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1007,unique_a
148,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1008,unique_a
149,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1009,unique_a
150,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1010,unique_a
151,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1011,unique_a
152,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1012,unique_a
153,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1013,unique_a
154,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1014,unique_a
155,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1015,unique_a
156,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1016,unique_a
157,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1017,unique_a
158,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1018,unique_a
159,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1019,unique_a
160,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1020,unique_a
161,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1021,unique_a
162,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1022,unique_a
163,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1023,unique_a
164,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1024,unique_a
165,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1025,unique_a
166,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1026,unique_a
167,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1027,unique_a
168,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1028,unique_a
169,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1029,unique_a
170,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1030,unique_a
171,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1031,unique_a
172,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1032,unique_a
173,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1033,unique_a
174,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1034,unique_a
175,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1035,unique_a
176,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1036,unique_a
177,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1037,unique_a
178,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1038,unique_a
179,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1039,unique_a
180,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1040,unique_a
181,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1041,unique_a
182,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1042,unique_a
183,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1043,unique_a
184,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1044,unique_a
185,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1045,unique_a
186,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1046,unique_a
187,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1047,unique_a
188,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1048,unique_a
189,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1049,unique_a
190,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1050,unique_a
191,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1051,unique_a
192,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1052,unique_a
193,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1053,unique_a
194,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1054,unique_a
195,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1055,unique_a
196,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1056,unique_a
197,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1057,unique_a
198,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1058,unique_a
199,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1059,unique_a
200,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1060,unique_a
201,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1061,unique_a
202,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1062,unique_a
203,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1063,unique_a
204,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1064,unique_a
205,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1065,unique_a
206,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1066,unique_a
207,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1067,unique_a
208,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1068,unique_a
209,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1069,unique_a
210,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1070,unique_a
211,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1071,unique_a
212,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1072,unique_a
213,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1073,unique_a
214,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1074,unique_a
215,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1075,unique_a
216,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1076,unique_a
217,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1077,unique_a
218,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1078,unique_a
219,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1079,unique_a
220,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1080,unique_a
221,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1081,unique_a
222,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1082,unique_a
223,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1083,unique_a
224,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1084,unique_a
225,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1085,unique_a
226,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1086,unique_a
227,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1087,unique_a
228,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1088,unique_a
229,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1089,unique_a
230,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1090,unique_a
231,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1091,unique_a
232,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1092,unique_a
233,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1093,unique_a
234,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1094,unique_a
235,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1095,unique_a
236,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1096,unique_a
237,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1097,unique_a
238,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1098,unique_a
239,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1099,unique_a
240,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1100,unique_a
241,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1101,unique_a
242,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1102,unique_a
243,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1103,unique_a
244,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1104,unique_a
245,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1105,unique_a
246,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1106,unique_a
247,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1107,unique_a
248,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1108,unique_a
249,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1109,unique_a
250,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1110,unique_a
251,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1111,unique_a
252,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1112,unique_a
253,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1113,unique_a
254,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1114,unique_a
255,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1115,unique_a
256,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1116,unique_a
257,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1117,unique_a
258,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1118,unique_a
259,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1119,unique_a
260,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1120,unique_a
261,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1121,unique_a
262,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1122,unique_a
263,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1123,unique_a
264,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1124,unique_a
265,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1125,unique_a
266,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1126,unique_a
267,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1127,unique_a
268,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1128,unique_a
269,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1129,unique_a
270,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1130,unique_a
271,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1131,unique_a
272,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1132,unique_a
273,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1133,unique_a
274,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1134,unique_a
275,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1135,unique_a
276,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1136,unique_a
277,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1137,unique_a
278,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1138,unique_a
279,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1139,unique_a
280,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1140,unique_a
281,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1141,unique_a
282,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1142,unique_a
283,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1143,unique_a
284,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1144,unique_a
285,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1145,unique_a
286,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1146,unique_a
287,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1147,unique_a
288,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1148,unique_a
289,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1149,unique_a
290,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1150,unique_a
291,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1151,unique_a
292,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1152,unique_a
293,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1153,unique_a
294,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1154,unique_a
295,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1155,unique_a
296,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1156,unique_a
297,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1157,unique_a
298,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1158,unique_a
299,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1159,unique_a
300,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1160,unique_a
301,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1161,unique_a
302,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1162,unique_a
303,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1163,unique_a
304,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1164,unique_a
305,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1165,unique_a
306,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1166,unique_a
307,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1167,unique_a
308,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1168,unique_a
309,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1169,unique_a
310,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1170,unique_a
311,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1171,unique_a
312,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1172,unique_a
313,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1173,unique_a
314,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1174,unique_a
315,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1175,unique_a
316,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1176,unique_a
317,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1177,unique_a
318,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1178,unique_a
319,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1179,unique_a
320,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1180,unique_a
321,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1181,unique_a
322,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1182,unique_a
323,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1183,unique_a
324,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1184,unique_a
325,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1185,unique_a
326,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1186,unique_a
327,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1187,unique_a
328,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1188,unique_a
329,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1189,unique_a
330,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1190,unique_a
331,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1191,unique_a
332,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1192,unique_a
333,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1193,unique_a
334,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1194,unique_a
335,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1195,unique_a
336,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1196,unique_a
337,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,1197,unique_a
