row_idx,source_table,source_variant,source_row_idx,partition
0,State_of_Oklahoma_Revolving_Funds_-_2012,NO,876,isolated_unique_a
1,State_of_Oklahoma_Revolving_Funds_-_2012,NO,877,isolated_unique_a
2,State_of_Oklahoma_Revolving_Funds_-_2012,NO,878,isolated_unique_a
3,State_of_Oklahoma_Revolving_Funds_-_2012,NO,879,isolated_unique_a
4,State_of_Oklahoma_Revolving_Funds_-_2012,NO,880,isolated_unique_a
5,State_of_Oklahoma_Revolving_Funds_-_2012,NO,881,isolated_unique_a
6,State_of_Oklahoma_Revolving_Funds_-_2012,NO,882,isolated_unique_a
7,State_of_Oklahoma_Revolving_Funds_-_2012,NO,883,isolated_unique_a
8,State_of_Oklahoma_Revolving_Funds_-_2012,NO,884,isolated_unique_a
9,State_of_Oklahoma_Revolving_Funds_-_2012,NO,885,isolated_unique_a
10,State_of_Oklahoma_Revolving_Funds_-_2012,NO,886,isolated_unique_a
11,State_of_Oklahoma_Revolving_Funds_-_2012,NO,887,isolated_unique_a
12,State_of_Oklahoma_Revolving_Funds_-_2012,NO,888,isolated_unique_a
13,State_of_Oklahoma_Revolving_Funds_-_2012,NO,889,isolated_unique_a
14,State_of_Oklahoma_Revolving_Funds_-_2012,NO,890,isolated_unique_a
15,State_of_Oklahoma_Revolving_Funds_-_2012,NO,891,isolated_unique_a
16,State_of_Oklahoma_Revolving_Funds_-_2012,NO,892,isolated_unique_a
17,State_of_Oklahoma_Revolving_Funds_-_2012,NO,893,isolated_unique_a
18,State_of_Oklahoma_Revolving_Funds_-_2012,NO,894,isolated_unique_a
19,State_of_Oklahoma_Revolving_Funds_-_2012,NO,895,isolated_unique_a
20,State_of_Oklahoma_Revolving_Funds_-_2012,NO,896,isolated_unique_a
21,State_of_Oklahoma_Revolving_Funds_-_2012,NO,897,isolated_unique_a
22,State_of_Oklahoma_Revolving_Funds_-_2012,NO,898,isolated_unique_a
23,State_of_Oklahoma_Revolving_Funds_-_2012,NO,899,isolated_unique_a
24,State_of_Oklahoma_Revolving_Funds_-_2012,NO,900,isolated_unique_a
