objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_length(double precision),shape_area(double precision)
22.0,2008,CT-E1_025-SB,"LIS EB Inner - Black Hall River (mouth), Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Black Hall River from outlet southest of Great Island, US to Route 156 crossing, Old Lyme.",0.11546758,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,23211.7382205628,3219051.4642989
23.0,2008,CT-W1_004,"LIS WB Inner - Pine Creek, Fairfield","See Map for Boundaries. Western portion of LIS, Inner Estuary, from mouth at Pine Creek Point, US to saltwater limit at Oldfield Road crossing, Fairfield.",0.06010024,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,32505.3262816607,1675498.77688769
24.0,2008,CT-C2_002,"LIS CB Shore - Westbrook Harbor (West), Westbrook","See Map for Boundaries. Central portion of LIS from Portside Drive near Patchogue River outlet to Fiske Lane (includes Westbrook Town Beach), out approximately 1000 ft offshore, Westbrook.",0.23066178,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,14980.2404509242,6430481.45745087
25.0,2008,CT-C2_003,"LIS CB Shore - Clinton Beach, Clinton","See Map for Boundaries. Central portion of LIS from Kelsey Point to Grove Beach Point area (to Portside Drive, includes Patchogue River outlet), out approximately 1000 ft offshore, Clinton/Westbrook.",0.51580599,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,32526.4247364012,14379845.9508928
26.0,2008,CT-C2_022-SB,"LIS CB Shore - The Gulf, Milford","See Map for Boundaries. Central portion of LIS from SA/SB WQ line at Western end of Silver Sands State Park Beach to SA/SB WQ line at Welches Point area (includes Silver Sands & Gulf Beaches) all SB water in The Gulf out to Charles Island, Milford.",0.59345761,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,28336.8415486107,16544648.7813266
27.0,2008,CT-W2_013,"LIS WB Shore - Outer Norwalk Harbor(West), Norwalk","See Map for Boundaries. Western portion of LIS from just west of Hoyt Island to midpoint of outer Norwalk Harbor (includes Hickory Bluff Beach, Hoyt Island, Keyser Point) out approximately 1000 ft offshore, Norwalk.",0.36539041,Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,35295.4720114574,10186500.1933295
28.0,2008,CT-C2_005,"LIS CB Shore - Hammonasset Beach, Madison","See Map for Boundaries. Central portion of LIS from Webster Point to West Rock area (includes Hammonasset State Park Beach), out approximately 1000 ft offshore, Madison.",0.58325977,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,45849.5071753142,16260349.2561152
29.0,2008,CT-E3_001,LIS EB Midshore - Stonington,"See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore (Little Narragansett Bay), out to CT/NY State line.",0.58491497,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,20298.6332629908,16306493.5964242
30.0,2008,CT-E2_001,"LIS EB Shore - Wequetequock Cove, Stonington","See Map for Boundaries. Eastern portion of LIS from RR crossing on east side of Wequetequock cove to mouth of Pawcatuck River, out approximately 1000 ft offshore (Little Narragansett Bay).",0.61929586,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,59702.8831910893,17264977.8424755
31.0,2008,CT-W2_010,"LIS WB Shore - Compo Beach, Cedar Point, Westport","See Map for Boundaries. Western portion of LIS from Saugatuck Shores area to Compo Cove (includes Compo Beach, Cedar Point, Saugatuck River outlet, Owenoke) out approximately 1000 ft offshore, Westport.",0.41875298,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,25238.8473509162,11674163.2915251
32.0,2008,CT-W3_006,"LIS WB Midshore - Sherwood Point, Westport","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Saugatuck River mouth, Compo Cove, Sherwood Island Sate Park area), out to 50 ft contour, Westport.",9.68987591,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,75378.0956925817,270138236.835778
33.0,2008,CT-C3_016,LIS CB Midshore - West Haven,"See Map for Boundaries. Central portion of LIS, SA water from SA/SB water boundary along outer New Haven Harbor, out to 50 ft contour, West Haven.",6.12085444,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,58735.5333781603,170639628.623612
