row_idx,source_table,source_variant,source_row_idx,partition
0,305b_Assessed_2008_Estuary,NO,105,isolated_unique_b
1,305b_Assessed_2008_Estuary,NO,106,isolated_unique_b
2,305b_Assessed_2008_Estuary,NO,107,isolated_unique_b
3,305b_Assessed_2008_Estuary,NO,108,isolated_unique_b
4,305b_Assessed_2008_Estuary,NO,109,isolated_unique_b
5,305b_Assessed_2008_Estuary,NO,110,isolated_unique_b
6,305b_Assessed_2008_Estuary,NO,111,isolated_unique_b
7,305b_Assessed_2008_Estuary,NO,112,isolated_unique_b
8,305b_Assessed_2008_Estuary,NO,113,isolated_unique_b
9,305b_Assessed_2008_Estuary,NO,114,isolated_unique_b
10,305b_Assessed_2008_Estuary,NO,115,isolated_unique_b
11,305b_Assessed_2008_Estuary,NO,116,isolated_unique_b
12,305b_Assessed_2008_Estuary,NO,117,isolated_unique_b
13,305b_Assessed_2008_Estuary,NO,118,isolated_unique_b
14,305b_Assessed_2008_Estuary,NO,119,isolated_unique_b
15,305b_Assessed_2008_Estuary,NO,120,isolated_unique_b
16,305b_Assessed_2008_Estuary,NO,121,isolated_unique_b
17,305b_Assessed_2008_Estuary,NO,122,isolated_unique_b
18,305b_Assessed_2008_Estuary,NO,123,isolated_unique_b
19,305b_Assessed_2008_Estuary,NO,124,isolated_unique_b
20,305b_Assessed_2008_Estuary,NO,125,isolated_unique_b
