row_idx,source_table,source_variant,source_row_idx,partition
0,305b_Assessed_Lake_2020,Typo,0,isolated_unique_a
1,305b_Assessed_Lake_2020,Typo,1,isolated_unique_a
2,305b_Assessed_Lake_2020,Typo,2,isolated_unique_a
3,305b_Assessed_Lake_2020,Typo,3,isolated_unique_a
4,305b_Assessed_Lake_2020,Typo,4,isolated_unique_a
5,305b_Assessed_Lake_2020,Typo,5,isolated_unique_a
6,305b_Assessed_Lake_2020,Typo,6,isolated_unique_a
7,305b_Assessed_Lake_2020,Typo,7,isolated_unique_a
8,305b_Assessed_Lake_2020,Typo,8,isolated_unique_a
9,305b_Assessed_Lake_2020,Typo,9,isolated_unique_a
10,305b_Assessed_Lake_2020,Typo,10,isolated_unique_a
11,305b_Assessed_Lake_2020,Typo,11,isolated_unique_a
12,305b_Assessed_Lake_2020,Typo,12,isolated_unique_a
13,305b_Assessed_Lake_2020,Typo,13,isolated_unique_a
14,305b_Assessed_Lake_2020,Typo,14,isolated_unique_a
15,305b_Assessed_Lake_2020,Typo,15,isolated_unique_a
16,305b_Assessed_Lake_2020,Typo,16,isolated_unique_a
17,305b_Assessed_Lake_2020,Typo,17,isolated_unique_a
18,305b_Assessed_Lake_2020,Typo,18,isolated_unique_a
