objectid,cyclevalue,assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize,units,ctlakeid,nhdbasin,classid,useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length,shape_area
57,2020,CT3108-02-1-L3_01,"Bolton Lake, Lower (Bolton/Vernon)","Mostly in NE corner of Bolton, continues into SE corner of Vernon.","LAKE, FRESHWATER",176.46,Acres,265,1100002,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,14188.1128171674,7686569.5593503
58,2020,CT3100-00-3-L1_01,Eagleville Pond (Coventry/Mansfield),"Impoundment of Willimantic River, just south of Mansfield Depot, along Mansfield/ Coventry border.","LAKE, FRESHWATER",79.49,Acres,792,1100002,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,17987.1309552964,3462805.21049851
59,2020,CT3105-00-1-L1_01,Coventry (Wangumbaug) Lake,"East - Central Coventry. Lake name on TOPO map is Wangumbaug Lake, DEEP state boat launch on this lake referred to as Coventry Lake. WT","LAKE, FRESHWATER",374.45,Acres,3387,1100002,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,28780.0565177026,16310861.2067953
60,2020,CT3502-07-1-L1_01,Moosup Pond (Plainfield),Northeast section of Plainfield.,"LAKE, FRESHWATER",89.27,Acres,1906,1100001,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,8348.27434824061,3888701.76511075
61,2020,CT3900-00-4-L1_01,Fitchville Pond (Bozrah),"Split by Rte 2 in Bozrah, impoundment of Yantic River.","LAKE, FRESHWATER",58.54,Acres,915,1100003,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,13949.1101671157,2549905.95843891
62,2020,CT3900-01-1-L1_01,Red Cedar Lake (Lebanon),South corner of Lebanon.,"LAKE, FRESHWATER",132.92,Acres,2368,1100003,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,19134.1142548049,5789932.6763013
63,2020,CT1002-00-1-L1_01,Green Falls Reservoir (Voluntown),"Southeast Voluntown, east Route 49, south of Route 138. Includes CT DEEP swimming area in Pachaug State Forest camping area.","LAKE, FRESHWATER",46.15,Acres,1075,1090005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,10451.5622689073,2010121.45604685
64,2020,CT3906-00-1-L1_01,Gardner Lake (Salem/Montville/Bozrah),"CT DEEP Gardner Lake State Park. At junction of Salem, Montville and Bozrah.","LAKE, FRESHWATER",527.29,Acres,985,1100003,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,30886.4049147694,22968962.6670846
65,2020,CT3002-02-1-L2_01,Amos Lake (Preston),"East of Rte 164, Preston.","LAKE, FRESHWATER",112.42,Acres,33,1100003,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,Yes,13730.4604964013,4897161.93134104
66,2020,CT3605-00-1-L1_01,Billings Lake (North Stonington),North central North Stonington.,"LAKE, FRESHWATER",94.88,Acres,216,1100001,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,17083.5185930168,4132840.53157222
67,2020,CT3605-01-1-L1_01,Anderson Pond (North Stonington),North central North Stonington,"LAKE, FRESHWATER",49.18,Acres,35,1100001,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,10054.1435736335,2142210.92544215
68,2020,CT3002-04-1-L1_01,Avery Pond (Preston),"East of Rte 164, north of Rte 2, Preston.","LAKE, FRESHWATER",45.62,Acres,80,1100003,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,5721.77159239972,1987174.78589208
69,2020,CT1001-00-1-L1_01,Wyassup Lake (North Stonington),"North central North Stonington, east of Rte 49. Headwaters of Wyassup Brook.","LAKE, FRESHWATER",98.94,Acres,3586,1090005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,13629.450663532,4309780.11882848
70,2020,CT3600-00-1-L1_01,Beach Pond (Voluntown/Rhode Island),Eastern border of Voluntown with RI.,"LAKE, FRESHWATER",407.6,Acres,142,1100001,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,36181.8914183612,17755106.5457513
71,2020,CT3002-06-1-L1_01,Lake Of Isles (North Stonington),"Near western border of North Stonington, north of Rte 2.","LAKE, FRESHWATER",91.25,Acres,1530,1100003,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,18330.7087111275,3974740.96645567
