row_idx,source_table,source_variant,source_row_idx,partition
0,Impaired_Estuary_2008,NO,108,isolated_unique_b
1,Impaired_Estuary_2008,NO,109,isolated_unique_b
2,Impaired_Estuary_2008,NO,110,isolated_unique_b
3,Impaired_Estuary_2008,NO,111,isolated_unique_b
4,Impaired_Estuary_2008,NO,112,isolated_unique_b
5,Impaired_Estuary_2008,NO,113,isolated_unique_b
6,Impaired_Estuary_2008,NO,114,isolated_unique_b
7,Impaired_Estuary_2008,NO,115,isolated_unique_b
8,Impaired_Estuary_2008,NO,116,isolated_unique_b
9,Impaired_Estuary_2008,NO,117,isolated_unique_b
10,Impaired_Estuary_2008,NO,118,isolated_unique_b
11,Impaired_Estuary_2008,NO,119,isolated_unique_b
12,Impaired_Estuary_2008,NO,120,isolated_unique_b
13,Impaired_Estuary_2008,NO,121,isolated_unique_b
14,Impaired_Estuary_2008,NO,122,isolated_unique_b
15,Impaired_Estuary_2008,NO,123,isolated_unique_b
16,Impaired_Estuary_2008,NO,124,isolated_unique_b
17,Impaired_Estuary_2008,NO,125,isolated_unique_b
