reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc,object_id(long)
709271,2020/11/05 05:00:00+00,HIBACHI BUFFET,5372 DIXIE HWY,40216.0,2020/11/05 05:00:00+00,4,SURVEY,302
709279,2020/11/05 05:00:00+00,JOHN O'BRYAN'S,4123 FLINTLOCK DR,40216.0,2020/11/05 05:00:00+00,4,SURVEY,303
709280,2020/11/05 05:00:00+00,EL RODEO MEXICAN RESTAURANT,5204 ELZIE RD,40258.0,2020/11/05 05:00:00+00,4,SURVEY,304
709282,2020/11/05 05:00:00+00,MARK'S FEED STORE,10316 DIXIE HWY,40272.0,2020/11/05 05:00:00+00,4,SURVEY,305
709283,2020/11/05 05:00:00+00,PRICELESS FOODS,10986 DIXIE HWY,40272.0,2020/11/05 05:00:00+00,4,SURVEY,306
709285,2020/11/05 05:00:00+00,THE LOCKER ROOM PUB,12812 DIXIE HWY,40272.0,2020/11/05 05:00:00+00,4,SURVEY,307
709305,2020/11/05 05:00:00+00,B QUICK FOOD MART,7600 3RD STREET RD,40214.0,2020/11/09 05:00:00+00,4,SURVEY,308
709578,2020/11/05 05:00:00+00,BRISTOL BAR & GRILLE,300 N HURSTBOURNE PKWY,40222.0,2020/11/05 05:00:00+00,4,SURVEY,309
710000,2020/11/05 05:00:00+00,CORNER PIZZA & PUB,4111 MURPHY LN,40241.0,2020/11/05 05:00:00+00,4,SURVEY,310
710003,2020/11/05 05:00:00+00,CUNNINGHAM'S CREEKSIDE,6301 UPPER RIVER RD,40027.0,2020/11/05 05:00:00+00,3,SURVEY,311
710004,2020/11/05 05:00:00+00,SEASONED PUB & GRILL,6021 TIMBER RIDGE DR,40059.0,2020/11/05 05:00:00+00,4,SURVEY,312
710005,2020/11/05 05:00:00+00,GUSTAVOS MEXICAN GRILL,6051 TIMBER RIDGE DR,40059.0,2020/11/05 05:00:00+00,4,SURVEY,313
710006,2020/11/05 05:00:00+00,BRIX WINE BAR & BISTRO,12418 LAGRANGE RD,40245.0,2020/11/05 05:00:00+00,4,SURVEY,314
708990,2020/11/06 05:00:00+00,QUICK WOK,801 W BROADWAY,40203.0,2020/11/06 05:00:00+00,4,SURVEY,315
708992,2020/11/06 05:00:00+00,FARM BOY,1200 DIXIE HWY,40210.0,2020/11/06 05:00:00+00,4,SURVEY,316
708993,2020/11/06 05:00:00+00,BP MINI MART INC,1871 BERRY BLVD,40215.0,2020/11/06 05:00:00+00,4,SURVEY,317
708994,2020/11/06 05:00:00+00,THREE BROTHERS,2001 S 7TH ST,40208.0,2020/11/06 05:00:00+00,4,SURVEY,318
709008,2020/11/06 05:00:00+00,MANSLICK ONE STOP SHOP,3700 MANSLICK RD,40215.0,2020/11/09 05:00:00+00,4,SURVEY,319
709193,2020/11/06 05:00:00+00,SUBWAY,533 N 22ND ST,40212.0,2020/11/06 05:00:00+00,4,SURVEY,320
709288,2020/11/06 05:00:00+00,HIDEOUT PIZZARIA,5620 BARRET LN,40272.0,2020/11/06 05:00:00+00,4,SURVEY,321
709289,2020/11/06 05:00:00+00,DIXIE BOWL,10526 DIXIE HWY,40272.0,2020/11/06 05:00:00+00,4,SURVEY,322
709739,2020/11/06 05:00:00+00,GANDER,111 S ENGLISH STATION RD,40245.0,2020/11/06 05:00:00+00,4,SURVEY,323
710009,2020/11/06 05:00:00+00,PANERA BREAD,1801 RUDY LN,40207.0,2020/11/06 05:00:00+00,4,SURVEY,324
710010,2020/11/06 05:00:00+00,COMMONWEALTH TAP,9411 NORTON COMMONS BLVD,40059.0,2020/11/06 05:00:00+00,5,SURVEY,325
709560,2020/11/08 05:00:00+00,BIG MOMMA'S SOUL KITCHEN,4532 W BROADWAY,40211.0,2020/11/08 05:00:00+00,2,SURVEY,326
709561,2020/11/08 05:00:00+00,METRO BY T-MOBILE,3441 W BROADWAY,40211.0,2020/11/08 05:00:00+00,4,SURVEY,327
708874,2020/11/09 05:00:00+00,TJ MAXX,4080 TAYLORSVILLE RD,40202.0,2020/11/09 05:00:00+00,4,SURVEY,328
708877,2020/11/09 05:00:00+00,GOLDEN NAILS,4076 TAYLORSVILLE RD,40202.0,2020/11/09 05:00:00+00,4,SURVEY,329
708878,2020/11/09 05:00:00+00,CLOTHES MENTOR,4064 TAYLORSVILLE RD,40202.0,2020/11/09 05:00:00+00,3,SURVEY,330
708880,2020/11/09 05:00:00+00,DOLLAR TREE #1898,4060 TAYLORSVILLE RD,40220.0,2020/11/09 05:00:00+00,4,SURVEY,331
708886,2020/11/09 05:00:00+00,CON HUEVOS,2339 FRANKFORT AVE,40206.0,2020/11/09 05:00:00+00,4,SURVEY,332
708889,2020/11/09 05:00:00+00,THORNTONS #27,2007 BROWNSBORO RD,40206.0,2020/11/09 05:00:00+00,4,SURVEY,333
708890,2020/11/09 05:00:00+00,KROGER L-224,2200 BROWNSBORO RD,40206.0,2020/11/09 05:00:00+00,4,SURVEY,334
708892,2020/11/09 05:00:00+00,WALGREENS #02924,2368 FRANKFORT AVE,40206.0,2020/11/09 05:00:00+00,4,SURVEY,335
708893,2020/11/09 05:00:00+00,RED HOG,2622 FRANKFORT AVE,40206.0,2020/11/09 05:00:00+00,4,SURVEY,336
708894,2020/11/09 05:00:00+00,BLUE DOG BAKERY & CAFE,2868 FRANKFORT AVE,40206.0,2020/11/09 05:00:00+00,4,SURVEY,337
708897,2020/11/09 05:00:00+00,STARBUCKS #10559,3702 FRANKFORT AVE,40207.0,2020/11/09 05:00:00+00,4,SURVEY,338
709012,2020/11/09 05:00:00+00,DOLLAR GENERAL #12016,3430 TAYLOR BLVD,40208.0,2020/11/09 05:00:00+00,4,SURVEY,339
709014,2020/11/09 05:00:00+00,TAYLOR BLVD VALERO,3039 TAYLOR BLVD,40208.0,2020/11/09 05:00:00+00,4,SURVEY,340
709015,2020/11/09 05:00:00+00,SPEEDWAY #9678,3030 TAYLOR BLVD,40208.0,2020/11/09 05:00:00+00,3,SURVEY,341
709019,2020/11/09 05:00:00+00,APPLE FOOD MART,1211 W BROADWAY,40203.0,2020/11/09 05:00:00+00,4,SURVEY,342
709021,2020/11/09 05:00:00+00,ABYSSINIA ETHIOPIAN RESTAURANT,558 S 5TH ST,40202.0,2020/11/09 05:00:00+00,4,SURVEY,343
709022,2020/11/09 05:00:00+00,HAPPY'S FOOD MART,1397 S 2ND ST,40208.0,2020/11/09 05:00:00+00,4,SURVEY,344
709026,2020/11/09 05:00:00+00,SPALDING DINING SERVICES,812 S 2ND ST,40203.0,2020/11/09 05:00:00+00,4,SURVEY,345
709308,2020/11/09 05:00:00+00,MCDONALD'S #6859,7426 OLD 3RD STREET RD,40214.0,2020/11/09 05:00:00+00,4,SURVEY,346
709313,2020/11/09 05:00:00+00,ZAXBY'S,4949 DIXIE HWY,40216.0,2020/11/09 05:00:00+00,4,SURVEY,347
709315,2020/11/09 05:00:00+00,PIZZA HUT #036951,5368 DIXIE HWY,40216.0,2020/11/09 05:00:00+00,5,SURVEY,348
709316,2020/11/09 05:00:00+00,QDOBA #2641,6814 DIXIE HWY,40258.0,2020/11/09 05:00:00+00,4,SURVEY,349
709317,2020/11/09 05:00:00+00,PANERA BREAD #1849,6900 DIXIE HWY,40258.0,2020/11/09 05:00:00+00,4,SURVEY,350
709171,2020/11/12 05:00:00+00,MOE'S SOUTHWEST GRILL,9310 CEDAR CENTER WAY,40291.0,2020/11/12 05:00:00+00,4,SURVEY,351
709172,2020/11/12 05:00:00+00,GAME STOP,9316 CEDAR CENTER WAY,40291.0,2020/11/12 05:00:00+00,4,SURVEY,352
709173,2020/11/12 05:00:00+00,GREAT CLIPS,9320 CEDAR CENTER WAY,40291.0,2020/11/12 05:00:00+00,4,SURVEY,353
709174,2020/11/12 05:00:00+00,KIM NAILS,9634 CEDAR CENTER WAY,40291.0,2020/11/12 05:00:00+00,4,SURVEY,354
709175,2020/11/12 05:00:00+00,NORTON'S CARE CENTER,9340 CEDAR CENTER WAY,40291.0,2020/11/12 05:00:00+00,4,SURVEY,355
709176,2020/11/12 05:00:00+00,LIQUOR PLACE,6752 BARDSTOWN RD,40291.0,2020/11/12 05:00:00+00,2,SURVEY,356
709177,2020/11/12 05:00:00+00,ADVANCE AMERICA,6754 BARDSTOWN RD,40291.0,2020/11/12 05:00:00+00,4,SURVEY,357
709178,2020/11/12 05:00:00+00,PAPA MURPHY'S,6756 BARDSTOWN RD,40291.0,2020/11/12 05:00:00+00,4,SURVEY,358
709179,2020/11/12 05:00:00+00,PRETTY NAILS,6758 BARDSTOWN RD,40291.0,2020/11/12 05:00:00+00,4,SURVEY,359
