facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,72656,COURTYARD BYMARRIOTT,10200 CHAMPION FARMS DR,LOUISVLILE,KY,40241,21,2004/0/22 00:00:00,28
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,73639,MARRIOTT LOUISVILLE DOWNTOWN,280 W JEFFERSON ST,LOUISVILLE,KY,40202,24,2005/03/21 00:00:00,29
620,HOTEL OR MOTELS,91,HOTLE / MOTEL,75024,EXTENDED STAY AMERcICA #325,6101 DUTCHMANS LN,LOUISVILLE,KY,40205,26,2005/11/08 00:00:00,30
620,HOTEL OR MOTELS,91,HOTEL / OTEL,75215,HOWARD JOHNSON,709 PHILLIPS LN,LOUISVILLE,KY,40209,28,2005/12/14 00:00:00,31
620,HOTEL OR MOTELS,91,HOTL / MOTEL,75380,HAMPTON INN & SUITES LOUISVILLE EAST,1451 ALLIANT AVE,LOUISVILLE,KY,40299,22,2006/01/26 00:00:00,32
620,HOTEL OR MOTLS,91,HOTEL / MOTEL,75650,HOMEWOOD SUIES,9401 HURSTBOURNE TRACE,LOUISVILLE***,KY,40222,25,20r06/03/08 00:00:00,33
620,HOTEL OR MOTELS,91,HOTEL /MOTEL,75780,21C MUSErUM HOTEL,700 W. MAIN ST,LOUISVILLE,KY,40202,24,2006/03/19 00:00:00,34
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,75858,RESIDENCE INN LOIUSVILLE DWNTN,333 E. MARKET ST,OUISVILLE,KY,40202,26,2006/03/28 00:00:00,35
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,78976,ECOO LODGE,6109 PRESTON HWY,LOUISVILLE,KY,40219,27,2007/08/21 00:00:00,36
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,79117,INTOWN SUITES EXTENDD STAY,11405 WESTPORT ROAD,LOUISVILLE,KY,40241,25,2009/03/18 00:00:00,37
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,79486,SPRINGHILL SUITES - LOUISVILLE AIRPORT,820 PHILLIPS LN,LOUISVIeLLE,KY,40209,28,2007/11/30 00:00:00***,38
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,79548,ECONOLODGE,9340 BLARWOOD RD,LOUISVILLE,KY,40222,29,2007/12/13 00:00:00,39
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,79635,"BROWN HOTEL, THE",335 W BROADWAY,LOUISVILLE,KY,40202,28,2008/01/11 00:00:00,40
